Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
SP125771	270	495	58	53	271	25	110	23	22	18	53	33
SP125719	17	114	40	11	72	16	0	28	2	6	0	15
SP117648	0	69	48	21	52	41	20	31	3	12	1	0
SP125760	54	154	19	13	23	43	20	30	0	6	39	9
SP125770	6351	8508	2319	1020	0	0	3460	0	7	67	0	0
SP77956	5	7	0	0	0	0	21	0	1	5439	0	0
SP125785	136	130	0	28	55	9	5	54	7	0	26	24
SP125706	94	270	0	691	69	143	14	0	36	1	40	56
SP125705	152	181	0	13	62	25	10	40	0	0	0	14
SP125715	0	23	10	0	17	45	6	0	0	1	25	0
SP116962	18	117	23	7	0	52	9	27	0	12	1	23
SP117660	59	246	18	19	24	55	43	20	8	6	6	30
SP117643	152	240	0	997	75	136	71	37	14	9	6	18
SP125713	136	109	90	1038	174	167	26	85	10	0	40	33
SP117760	0	133	103	15	31	39	34	18	4	3	15	5
SP116968	34	423	75	19	32	54	24	29	0	4	0	3
SP125775	0	127	91	8	16	34	31	9	7	9	44	16
SP125731	47	206	41	19	52	13	12	18	0	5	0	34
SP125733	48	190	46	12	47	9	14	1	7	13	31	16
SP78502	13	26	5	5	18	23	6	23	0	9	0	7
SP125791	74	258	44	11	27	54	5	39	0	0	0	1
SP125755	0	243	85	18	7	100	22	34	15	7	26	24
SP117340	242	172	55	68	90	37	0	142	4	10	0	10
SP125781	76	138	0	16	35	48	14	48	2	5	0	9
SP125783	29	137	0	21	56	17	6	35	0	20	20	16
SP116950	229	413	0	15	41	44	53	18	6	3	0	32
SP125712	79	201	0	13	40	30	78	44	5	3	40	17
SP125786	13	38	0	319	68	0	16	12	34	8	51	4
SP125693	0	467	592	11	29	65	91	21	4	1	54	0
SP116949	35	135	224	24	85	32	11	99	14	13	12	21
SP78533	25	52	0	15	37	25	8	20	0	3	0	4
SP117215	76	179	0	16	111	29	6	20	2	8	5	3
SP117040	142	314	0	10	34	43	35	43	0	16	0	23
SP117476	48	150	144	16	1	48	20	65	2	4	4	0
SP116985	87	194	1	6	31	21	25	79	3	30	0	20
SP125769	42	97	0	10	54	16	9	8	0	2	38	0
SP125778	5	96	88	1466	0	391	38	0	64	8	20	55
SP117440	88	327	6	12	63	44	19	54	1	5	2	17
SP125730	17	94	71	6	22	25	4	2	0	2	9	0
SP125686	15	279	61	15	23	56	35	30	9	6	33	6
