Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
SP112873	14	29	3	72	12	12	1	52	0	22	41	2	30
SP112959	0	2	2	0	0	3	0	0	0	0	0	0	41
SP112931	8	17	0	33	9	22	0	57	0	15	21	4	21
SP112865	4	7	45	71	7	18	0	35	0	16	32	3	25
SP113003	11	11	5	23	3	52	2	55	0	13	3	0	3
SP113001	24	26	0	73	14	16	0	40	24	7	10	1	32
SP112879	8	0	1	37	16	36	2	48	6	0	23	2	32
SP112945	13	0	1	69	11	59	2	65	50	36	18	3	14
SP112935	14	23	0	74	10	48	0	8	56	4	15	3	6
SP112863	10	25	0	178	2	47	4	42	47	20	20	5	28
SP112983	29	3	0	121	25	69	3	68	12	18	37	31	35
SP112809	33	32	7	152	16	21	0	103	40	10	37	3	9
SP112923	18	34	0	64	13	19	0	41	4	31	24	7	39
SP112853	17	31	0	37	3	36	1	36	12	2	22	5	31
SP113005	2	0	12	14	11	6	2	21	0	2	6	0	21
SP112957	4	14	0	47	0	42	0	56	25	17	14	8	36
SP112783	37	0	4	91	10	24	3	50	23	29	15	5	0
SP112943	5	0	0	22	4	18	1	17	42	20	17	2	7
SP112861	0	17	15	5	0	13	1	57	0	38	5	12	60
SP112917	35	2	2	53	4	12	2	71	52	7	3	0	15
SP112787	11	10	0	88	14	38	0	87	59	4	19	7	36
SP112995	23	17	1	58	3	40	2	52	22	18	22	1	64
SP112811	19	4	0	61	11	22	0	39	90	1	28	0	16
SP112797	27	43	0	127	10	40	2	49	23	34	21	4	2
SP112909	17	0	23	77	9	19	1	66	23	20	8	10	24
SP112781	22	1	0	60	4	29	3	65	13	16	21	1	27
SP112991	25	49	23	142	4	61	0	102	0	52	26	6	8
SP112907	17	37	21	1160	9	72	5	65	0	0	35	0	20
SP112817	213	0	176	89	6	0	0	421	0	190	0	0	0
SP112993	14	20	2	62	18	31	0	66	6	26	26	5	20
SP112827	15	0	4	70	10	35	0	28	31	27	7	2	9
SP112855	14	0	2	22	8	25	0	50	23	4	3	6	24
SP112969	8	0	20	27	7	52	1	56	0	14	0	0	49
SP112883	8	0	16	78	6	25	5	19	0	13	15	3	37
