Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
SP107553	4.05E-01	2.21E-01	2.89E-01	1.57E-01	2.13E-01	0.00E+00	4.19E-01
SP107555	2.64E+00	5.23E-01	5.05E-01	5.45E-01	8.98E-01	8.78E-02	2.61E+00
SP107446	1.19E+00	4.64E-01	3.45E-01	2.66E-01	5.46E-01	0.00E+00	1.25E+00
SP78713	8.84E+00	1.01E+00	7.44E-01	4.41E-01	1.32E+00	1.68E-01	9.02E+00
SP78720	1.48E+00	5.09E-01	3.19E-01	1.14E-01	7.59E-01	0.00E+00	1.50E+00
SP78947	1.34E+00	3.15E-01	3.75E-01	2.05E-01	5.69E-01	1.62E-01	1.54E+00
SP78875	1.10E+00	2.90E-01	2.74E-01	0.00E+00	4.00E-01	0.00E+00	1.19E+00
SP107554	5.66E+00	5.28E-01	6.22E-01	4.88E-01	1.22E+00	0.00E+00	5.53E+00
SP107407	6.54E+00	1.48E+00	1.16E+00	6.85E-01	1.57E+00	4.67E-01	6.67E+00
SP78820	2.41E+00	3.91E-01	3.75E-01	3.30E-01	8.11E-01	1.78E-01	2.50E+00
SP78668	2.83E-01	2.46E-01	1.46E-01	5.02E-01	5.28E-01	0.00E+00	4.95E-01
SP107547	1.35E+00	1.53E-01	2.33E-01	9.35E-02	4.27E-01	0.00E+00	1.31E+00
SP79148	7.51E+00	1.25E+00	5.32E-01	4.57E-01	6.78E-01	0.00E+00	7.72E+00
SP107386	5.11E+00	1.11E+00	9.60E-01	5.33E-01	9.46E-01	4.02E-01	5.03E+00
SP78921	3.38E+00	5.29E-01	6.35E-01	8.04E-01	9.60E-01	1.75E-01	3.25E+00
SP107545	2.20E+00	3.21E-01	1.41E-02	7.17E-01	6.19E-01	0.00E+00	2.46E+00
SP107440	1.69E+00	5.69E-01	4.31E-01	4.44E-01	6.11E-01	8.39E-02	1.62E+00
SP79066	5.95E-01	4.30E-01	2.58E-01	3.33E-01	6.25E-01	2.14E-01	7.01E-01
SP107473	2.43E+00	3.97E-01	3.62E-01	6.32E-01	7.11E-01	0.00E+00	2.46E+00
SP107362	3.76E+00	9.21E-01	9.47E-01	1.26E+00	1.54E+00	2.50E-01	3.98E+00
SP78722	3.24E-01	1.82E-01	0.00E+00	3.00E-01	2.47E-01	2.43E-01	1.05E-01
SP78729	4.84E+00	3.96E-01	2.53E-01	3.34E-01	4.93E-01	0.00E+00	4.84E+00
SP107441	3.66E+00	4.90E-01	1.84E-01	4.36E-01	1.03E+00	0.00E+00	3.72E+00
SP78873	2.71E+00	2.00E-01	1.28E-01	5.39E-01	6.18E-01	4.29E-01	2.80E+00
SP47708	2.80E+00	7.50E-01	1.18E+00	7.61E-01	1.89E+00	1.78E-01	2.93E+00
SP47990	7.19E-01	6.01E-01	7.05E-01	1.08E+00	1.33E+00	5.74E-01	1.16E+00
