Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
CPCT02010831T	221	85	986	65	62	96	30	154	17	173	134	43	181	102	64	0	15	8
WIDE01010428T	20	51	0	12	6	16	19	18	9	8	1	13	26	14	4	0	12	26
CPCT02290039T	1141	653	4	9	324	0	117	109	18	0	69	57	71	112	38	10	75	45
CPCT02010843T	33	23	2	0	0	49	89	13	7	8	8	39	3	22	4	24	2	9
CPCT02130103T	43	217	29	6	79	159	80	25	6	2	51	53	12	60	0	15	36	28
CPCT02070337T	49	30	35	19	11	10	80	41	9	0	326	5	45	67	22	54	10	21
WIDE01010440T	3	39	23	14	2	82	17	7	3	9	0	50	16	0	12	1	6	6
WIDE01010404T	162	129	19	7	182	18	30	54	11	24	16	0	9	110	11	0	4	0
CPCT02080229T	33	68	226	0	5	34	68	31	33	36	26	25	35	20	16	18	6	0
CPCT02050363T	60	148	41	3	121	0	80	29	26	8	17	0	89	81	10	0	9	9
CPCT02040250T	29	79	0	3	50	27	65	12	2	6	26	13	49	8	6	0	8	16
CPCT02040251T	29	44	138	1	0	45	75	41	18	19	2	66	16	0	4	3	2	23
CPCT02260022T	349	314	0	0	177	10	10	22	21	18	11	47	84	57	25	0	10	0
CPCT02340090T	115	185	22	21	61	19	16	9	18	26	19	17	12	38	14	32	17	2
CPCT02450013T	24	49	19	1	38	44	41	0	21	5	25	8	0	60	2	27	0	18
CPCT02070347T	79	267	19	0	43	214	61	67	44	5	47	123	25	29	16	0	14	35
CPCT02060140T	4	29	32	0	0	13	31	9	0	16	5	17	20	31	2	64	1	24
CPCT02020720T	0	28	14	3	0	25	47	4	7	3	0	0	16	4	0	7	10	10
CPCT02230109T	375	446	16	5	275	0	91	19	31	19	21	27	70	51	54	1	5	12
DRUP01090019T	266	166	69	6	211	68	43	50	45	93	54	31	32	5	13	31	22	3
CPCT02120144T	12	9	1	2	0	102	6	14	0	19	31	7	53	24	1	0	4	27
CPCT02080240T	45	261	197	14	20	68	19	47	6	20	24	56	60	6	10	12	0	18
CPCT02130125T	38	73	18	6	22	33	35	34	34	7	52	16	28	21	10	15	16	50
CPCT02070355T	7	3	9	1	20	27	39	11	8	8	8	1	10	23	4	2	4	15
