Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
SP117653	1.87E+00	2.46E+00	2.53E+00	4.63E-01	1.26E+00	1.26E+00	2.78E+00	8.15E-01	1.24E+00	0.00E+00	4.00E-01	4.90E-01	2.48E-01
SP117522	2.09E+00	4.54E+00	3.87E+00	6.42E-01	1.69E+00	1.72E+00	4.30E+00	2.75E+00	1.34E+00	3.28E-01	4.03E-01	5.15E-01	9.71E-01
SP125710	1.75E+00	3.84E+00	2.59E+00	5.33E-01	1.80E+00	1.70E+00	4.20E+00	2.08E+00	1.28E+00	4.07E-01	6.44E-01	1.27E+00	4.81E-01
SP117214	2.62E+00	4.81E+00	3.65E+00	6.60E-01	1.61E+00	1.94E+00	5.04E+00	1.90E+00	1.51E+00	2.26E-01	2.87E-01	8.68E-01	1.07E+00
SP125768	1.40E+01	8.79E+00	1.72E+01	9.14E-01	2.67E+00	1.65E+00	8.96E+00	2.47E+00	2.01E+00	4.42E-01	5.13E-01	1.95E+00	1.59E+00
SP117722	3.01E+00	3.26E+00	3.88E+00	5.14E-01	1.50E+00	1.68E+00	3.50E+00	1.09E+00	1.48E+00	2.14E-01	5.51E-01	6.35E-01	1.04E+00
SP125699	9.32E+00	4.27E+00	1.10E+01	5.33E-01	1.98E+00	1.86E+00	4.54E+00	1.46E+00	1.81E+00	0.00E+00	2.90E-01	4.15E-01	5.20E-01
SP125771	8.53E+00	9.98E+00	1.10E+01	1.10E+00	4.66E+00	3.71E+00	1.13E+01	4.56E+00	2.02E+00	7.08E-01	6.99E-01	2.52E+00	2.57E+00
SP125719	1.66E+00	2.66E+00	2.06E+00	4.95E-01	1.76E+00	1.56E+00	2.77E+00	3.49E-01	1.09E+00	2.06E-01	3.64E-01	4.10E-01	8.22E-01
SP117648	1.43E+00	2.30E+00	1.72E+00	6.89E-01	1.77E+00	1.77E+00	2.72E+00	8.45E-01	1.42E+00	2.19E-01	4.81E-01	4.00E-01	4.09E-01
SP125760	1.88E+00	2.44E+00	2.50E+00	5.86E-01	1.45E+00	1.48E+00	2.75E+00	1.12E+00	1.08E+00	0.00E+00	2.61E-01	1.02E+00	9.68E-01
SP125770	2.34E+02	1.68E+02	2.90E+02	9.85E+00	1.19E+01	1.02E+01	1.64E+02	1.11E+02	0.00E+00	1.30E+00	2.09E+00	2.44E+00	8.22E+00
SP77956	2.01E+00	6.55E+00	3.30E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.87E+00	0.00E+00	2.00E-01	7.28E+00	0.00E+00	0.00E+00
SP125785	3.27E+00	2.50E+00	4.10E+00	7.68E-01	1.75E+00	1.66E+00	2.46E+00	8.10E-01	1.18E+00	3.82E-01	2.03E-01	1.07E+00	7.59E-01
SP125706	2.59E+00	4.91E+00	3.78E+00	5.77E+00	3.30E+00	4.58E+00	5.34E+00	9.36E-01	1.05E+00	9.19E-01	3.63E-01	9.95E-01	5.01E+00
SP125705	3.72E+00	3.36E+00	4.81E+00	5.45E-01	1.79E+00	1.74E+00	3.85E+00	1.13E+00	1.39E+00	0.00E+00	1.46E-01	5.05E-01	7.90E-01
SP125715	3.19E-01	1.10E+00	5.67E-01	2.93E-01	1.19E+00	1.23E+00	1.42E+00	4.95E-01	3.73E-01	0.00E+00	9.90E-02	8.38E-01	4.46E-01
SP116962	1.16E+00	1.98E+00	1.43E+00	4.73E-01	9.33E-01	1.63E+00	2.27E+00	7.49E-01	1.27E+00	0.00E+00	5.14E-01	1.74E-01	8.86E-01
SP117660	2.06E+00	4.28E+00	3.63E+00	6.73E-01	1.79E+00	1.60E+00	5.19E+00	1.63E+00	1.33E+00	5.68E-01	4.70E-01	7.33E-01	1.49E+00
SP117643	4.29E+00	4.40E+00	5.39E+00	8.03E+00	3.41E+00	5.18E+00	5.06E+00	2.83E+00	2.13E+00	6.44E-01	5.56E-01	4.82E-01	7.37E+00
SP125713	4.33E+00	4.42E+00	5.34E+00	7.34E+00	5.47E+00	5.86E+00	5.49E+00	1.55E+00	2.34E+00	6.53E-01	4.16E-01	1.22E+00	6.53E+00
SP117760	1.69E+00	2.56E+00	2.22E+00	5.88E-01	1.70E+00	1.76E+00	2.17E+00	2.05E+00	1.06E+00	3.35E-01	2.97E-01	7.34E-01	7.49E-01
SP116968	2.97E+00	5.08E+00	4.31E+00	7.06E-01	1.62E+00	2.04E+00	5.42E+00	2.01E+00	1.48E+00	4.11E-02	1.63E-01	3.71E-01	1.08E+00
SP125775	1.95E+00	3.07E+00	2.91E+00	5.45E-01	1.44E+00	1.34E+00	3.28E+00	1.50E+00	7.58E-01	4.08E-01	3.86E-01	1.45E+00	9.69E-01
SP125731	2.32E+00	3.53E+00	3.56E+00	5.70E-01	1.77E+00	1.64E+00	3.46E+00	7.26E-01	1.06E+00	2.24E-01	3.04E-01	5.43E-01	1.51E+00
SP125733	2.59E+00	3.19E+00	4.00E+00	5.19E-01	1.84E+00	1.25E+00	3.67E+00	8.39E-01	8.33E-01	3.58E-01	3.96E-01	1.08E+00	1.18E+00
SP78502	7.52E-01	9.23E-01	1.08E+00	3.61E-01	1.04E+00	1.18E+00	1.05E+00	4.55E-01	9.07E-01	1.00E-02	4.06E-01	0.00E+00	7.28E-01
SP125791	3.98E+00	4.44E+00	5.72E+00	5.96E-01	1.47E+00	1.67E+00	4.22E+00	6.83E-01	1.44E+00	0.00E+00	2.23E-01	2.87E-01	1.08E+00
SP125755	2.06E+00	4.76E+00	2.79E+00	6.97E-01	1.73E+00	1.97E+00	5.74E+00	1.49E+00	1.70E+00	5.98E-01	4.72E-01	8.56E-01	1.16E+00
SP117340	1.09E+01	4.21E+00	1.23E+01	1.15E+00	2.28E+00	2.27E+00	4.26E+00	8.80E-01	2.18E+00	3.47E-01	5.27E-01	4.40E-01	1.05E+00
SP125781	2.73E+00	3.50E+00	4.18E+00	6.19E-01	1.57E+00	1.73E+00	3.73E+00	8.38E-01	1.47E+00	3.46E-01	3.26E-01	2.61E-01	1.00E+00
SP125783	1.17E+00	2.31E+00	1.64E+00	6.27E-01	1.57E+00	1.26E+00	2.67E+00	5.70E-01	1.13E+00	0.00E+00	5.26E-01	9.58E-01	9.53E-01
