Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
CPCT02010920T	6	2	0	30	12	38	50	30	33	13	15	7	3	1	2	9	1
CPCT02050399T	0	11	62	44	0	57	117	1	32	13	19	0	55	11	2	12	0
CPCT02050404T	3	28	61	19	14	0	49	4	13	16	20	33	32	3	3	4	7
CPCT02050402T	36	37	29	64	41	4	150	14	9	5	24	0	6	15	13	23	0
CPCT02060256T	74	29	77	37	41	49	52	28	7	10	10	43	17	32	20	12	11
CPCT02080259T	105	39	41	86	43	48	51	21	45	29	2	0	4	5	18	54	16
CPCT02020813T	124	21	70	62	60	0	42	35	0	25	48	52	10	11	20	20	10
CPCT02020785T	1412	95	304	105	469	98	119	186	435	20	248	178	97	195	237	7	0
CPCT02020810T	59	11	1	56	47	27	48	23	56	6	23	0	10	10	43	6	0
CPCT02020821T	138	50	46	162	89	12	93	51	0	18	32	51	86	49	17	24	0
CPCT02340100T	822	528	162	198	255	175	71	116	68	103	124	59	25	99	50	161	1
CPCT02080266T	1	12	39	27	36	36	61	23	35	15	52	13	46	19	16	27	30
CPCT02010941T	432	37	8	232	24	141	137	14	38	21	55	26	25	41	48	9	0
CPCT02020822T	302	14	7	120	126	51	98	98	54	40	21	107	10	135	57	24	0
CPCT02020819T	124	1	65	0	128	4	24	0	31	8	22	71	40	25	14	5	30
CPCT02050405T	148	21	27	56	44	47	71	45	58	6	0	20	25	13	26	1	4
CPCT02020837T	4	8	24	30	9	33	79	6	21	7	10	5	20	7	18	5	12
CPCT02340102T	67	20	35	31	13	13	38	12	23	7	6	27	26	16	6	7	16
DRUP01060021T	319	120	292	157	126	75	139	119	134	46	137	0	76	54	51	50	10
DRUP01060019T	1	223	170	155	104	191	60	32	20	19	0	0	1	55	22	87	0
DRUP01060018T	3	173	143	138	82	184	58	20	7	20	0	0	8	54	28	81	0
CPCT02070394T	0	299	356	0	0	0	148	341	1143	12	0	0	87	0	0	8	0
CPCT02080269T	382	94	33	135	165	107	174	89	24	132	23	149	15	30	41	186	8
CPCT02030459TII	1	82	201	0	33	50	58	0	59	55	60	27	129	19	8	69	25
CPCT02050411T	252	42	48	109	91	17	44	48	21	12	91	38	22	31	47	17	27
CPCT02030547T	77	13	33	52	8	18	96	10	23	7	0	0	8	26	0	11	0
CPCT02020828T	32	10	14	39	17	6	52	4	9	4	14	15	24	4	4	5	2
