	DRUP01070119T	DRUP01010095T	CPCT02020597TII	CPCT02340026T	CPCT02070053T	CPCT02070357T	DRUP01340014T	CPCT02030278T	WIDE01010510T	CPCT02020413T	CPCT02250003T	CPCT02340081T	CPCT02020815T	WIDE01010470T	CPCT02050424T	CPCT02040317T	CPCT02220006T	CPCT02070336T	CPCT02020865T	CPCT02100089T	DRUP01030028T	CPCT02080153T	CPCT02340014T	CPCT02120032T	DRUP01030015T	CPCT02050149T	CPCT02050439T	DRUP01230004T	CPCT02050117T	CPCT02060264T	CPCT02100131T	CPCT02010648T	CPCT02450014T
Del2:U1:R1	1	3	6	1	5	18	1	7	4	6	21	0	26	6	28	6	5	23	9	12	16	0	32	2	6	1	4	28	0	4	7	2	9
Del3:U1:R1	1	1	2	0	2	3	0	3	2	18	21	0	2	1	6	2	3	22	2	0	0	3	3	0	1	0	1	143	1	0	3	1	23
Del4:U1:R1	0	2	1	1	3	5	0	5	1	11	23	1	1	0	3	0	0	24	2	9	1	1	2	1	3	0	0	69	0	0	2	2	15
Del5:U1:R1	1	0	3	2	3	1	0	0	0	14	20	3	1	0	7	1	0	22	4	0	0	2	1	0	2	1	1	18	0	1	0	1	4
Del6:U1:R1	0	1	3	0	0	5	0	0	0	6	11	2	1	1	11	1	0	30	4	1	1	1	0	1	0	0	0	8	0	0	0	1	3
Del7:U1:R1	0	0	0	0	2	1	0	2	0	8	3	3	2	0	2	1	0	14	1	1	0	1	0	0	0	0	0	2	1	0	2	0	0
Del8:U1:R1	0	1	1	0	0	3	0	2	0	1	6	4	0	1	3	0	0	18	2	0	2	1	2	0	1	1	0	1	0	0	0	1	0
Del9:U1:R1	0	0	0	1	0	1	0	2	0	3	2	0	0	0	3	1	0	8	1	0	1	1	2	0	0	0	0	0	0	0	1	0	0
Del(10,):U1:R1	0	1	4	3	5	13	0	18	3	20	22	12	5	3	30	11	1	114	14	0	12	2	4	2	2	0	4	2	3	3	3	12	4
Del2:U(2,):R1	12	0	10	2	4	17	3	5	2	45	103	3	22	27	27	5	11	59	21	8	76	6	17	9	4	1	3	585	4	2	3	3	166
Del3:U(2,):R1	1	1	6	1	2	5	1	8	1	38	63	2	3	9	8	4	4	55	9	4	7	1	1	6	4	1	1	122	1	1	2	2	32
Del4:U(2,):R1	4	3	3	1	2	6	1	5	1	22	66	1	4	7	7	3	1	44	9	4	1	1	1	1	1	2	1	54	3	2	1	1	6
Del5:U(2,):R1	2	0	2	2	1	12	0	4	0	12	43	2	4	1	11	0	2	55	6	1	3	4	4	0	0	1	1	26	1	3	0	4	7
Del6:U(2,):R1	0	1	4	1	4	9	0	6	1	21	34	2	3	2	16	5	1	62	7	1	3	2	3	2	2	0	4	11	0	2	1	1	9
Del7:U(2,):R1	0	1	5	0	3	9	0	1	0	16	15	1	5	1	3	0	0	41	6	2	1	1	3	0	1	0	1	7	1	0	1	1	8
Del8:U(2,):R1	1	0	3	1	1	9	0	2	0	10	18	1	1	1	6	3	0	32	5	0	2	2	0	1	2	1	0	5	0	2	0	1	3
Del9:U(2,):R1	1	0	2	1	1	6	1	1	2	10	13	3	3	0	4	0	0	44	5	1	0	0	2	0	0	1	0	7	0	1	1	4	4
Del(10,):U(2,):R1	4	6	22	5	7	40	5	37	3	62	48	13	16	3	79	15	4	321	19	1	14	12	13	1	5	5	5	36	4	5	6	11	7
Del2:U1:R3	2	6	7	3	4	3	2	6	3	12	14	0	10	8	13	2	6	25	8	29	21	5	9	4	3	3	1	70	6	3	7	1	33
Del2:U1:R4	7	1	3	0	14	2	1	3	0	6	4	0	8	4	4	4	4	18	3	14	9	3	2	2	3	0	2	59	1	1	7	1	10
Del2:U1:R(5,9)	383	2	5	0	9	6	1	7	6	6	2	1	10	115	22	7	1	6	4	8	6	1	6	222	1	0	3	30284	3	2	20	3	6413
Del2:U2:R2	29	6	22	4	2	16	6	3	9	19	40	1	68	17	16	24	6	62	20	77	294	9	14	12	8	8	13	371	8	12	23	1	53
Del2:U2:R3	21	0	5	1	1	3	1	3	3	6	13	1	82	13	8	22	4	15	6	30	102	1	4	8	1	0	0	276	1	1	9	1	55
Del2:U2:R4	18	2	3	1	0	1	0	2	1	1	4	0	54	9	3	15	0	2	0	9	36	0	0	18	1	0	1	743	1	3	0	0	141
Del2:U2:R(5,9)	44	1	3	11	0	9	2	2	3	3	5	0	51	37	4	17	0	5	3	27	27	5	1	127	4	2	7	5468	3	13	9	3	868
Del3:U1:R4	0	0	1	0	1	3	0	0	0	2	2	0	1	0	4	0	0	6	3	0	0	0	0	0	0	0	1	2	2	0	0	0	0
Del3:U1:R(5,9)	10	1	2	0	4	2	0	3	1	5	1	1	1	3	2	0	1	8	0	4	3	0	1	3	0	0	2	6022	0	1	3	0	625
Del3:U3:R2	8	9	20	3	3	9	4	5	7	12	41	1	12	16	13	6	6	29	15	87	22	6	10	4	3	1	12	321	10	19	13	4	34
Del3:U3:R3	4	5	4	1	2	4	1	1	2	0	1	2	3	6	2	3	3	3	2	27	1	3	6	3	3	1	4	165	2	8	5	1	26
Del3:U3:R4	1	0	1	0	0	0	1	0	2	0	1	0	0	1	1	0	0	0	0	11	0	0	0	4	2	0	2	103	0	1	1	0	12
Del3:U3:R(5,9)	3	1	1	0	0	0	0	1	0	0	3	0	0	2	1	0	1	1	2	9	0	0	0	2	1	0	0	291	0	2	3	0	43
Del4:U1:R(5,9)	1	0	0	1	5	3	0	1	0	4	2	0	1	2	1	0	0	4	1	0	3	0	0	0	2	0	0	946	0	1	0	0	48
Del4:U2:R3	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	2	0	2	0	0	0	0	1	0	0	5	0	4	0	1	0
Del4:U2:R4	2	1	1	0	0	0	1	1	1	2	1	0	0	0	1	0	0	1	0	6	2	1	1	0	1	0	0	37	0	2	0	0	3
Del4:U2:R(5,9)	12	1	0	0	1	2	1	2	1	0	3	0	1	5	0	1	0	1	2	15	5	1	0	5	0	2	0	906	1	4	5	1	34
Del4:U4:R2	9	14	23	4	4	6	1	6	7	9	14	1	9	10	5	3	8	10	5	71	15	1	6	3	3	3	12	127	6	31	10	0	28
Del4:U4:R3	3	4	5	1	1	3	2	2	1	0	1	0	4	2	2	3	2	2	0	27	6	0	3	3	3	0	1	85	0	11	2	2	25
Del4:U4:R4	3	1	7	0	0	0	0	0	1	0	1	0	1	1	4	1	0	1	1	13	2	1	0	0	0	0	1	60	0	7	1	1	28
Del4:U4:R(5,9)	2	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	7	1	0	0	2	0	0	0	212	0	5	0	1	37
Del5:U1:R(5,9)	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	2
Del5:U5:R2	2	2	8	1	0	3	0	4	0	2	4	0	5	0	0	0	0	6	0	19	3	1	1	1	1	0	2	23	2	10	1	1	6
Del5:U5:R3	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	0	0	1	1	2	1	1	0	0	1	0	0	37	0	0	1	0	6
Del5:U5:R4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	21	1	0	1	0	3
Del5:U5:R(5,9)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	27	0	0	0	0	7
Del(6,):U1:R(7,9)	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0
Del(6,):U2:R(4,9)	8	0	1	1	1	6	2	2	1	1	2	0	0	2	0	1	1	3	2	0	1	1	0	3	1	3	2	666	3	0	3	2	20
Del(6,):U3:R(3,9)	0	1	1	0	0	2	1	0	0	2	0	0	0	2	1	0	0	1	2	1	0	0	1	1	0	0	0	33	0	0	0	0	5
Del(6,):U(4,):R(2,9)	2	5	9	0	0	25	2	7	5	1	9	1	2	7	17	3	4	11	2	1	0	3	3	9	3	1	0	133	2	2	7	15	44
Ins(2,4):M	103	16	15	12	2	26	9	14	15	5	91	6	51	486	196	25	11	10	11	6	6	21	90	24	14	16	18	775	5	6	19	4	1403
Ins(5,):M	113	20	21	33	12	34	6	20	15	12	20	27	44	539	306	25	14	22	13	9	19	46	52	28	19	10	24	683	12	14	25	17	1786
Ins2:U1:R0	3	1	0	0	0	0	8	2	0	1	6	1	6	10	9	6	1	1	2	1	0	0	3	0	2	0	0	21	1	0	1	1	63
Ins3:U1:R0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	15
Ins4:U1:R0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Ins2:U2:R0	5	2	4	1	1	4	13	3	1	1	33	2	5	22	12	3	4	4	5	2	1	3	9	4	1	3	3	66	3	2	4	0	360
Ins3:U3:R0	2	0	0	0	0	5	4	3	2	1	30	0	2	9	6	1	0	1	3	1	0	0	3	1	1	0	1	39	0	0	1	1	136
Ins4:U2:R0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	4
Ins4:U4:R0	0	3	0	1	0	0	2	3	0	1	15	0	0	14	12	2	1	3	0	1	1	2	0	1	2	0	0	18	2	1	2	1	69
Ins(5,):R0	6	2	25	13	9	25	6	9	3	9	21	96	16	33	30	3	4	27	5	13	9	25	29	10	6	3	0	71	10	14	16	14	180
Ins2:U1:R1	5	0	0	0	1	3	4	0	0	1	23	1	31	8	43	5	1	5	7	0	0	7	5	6	2	0	0	37	0	2	3	1	55
Ins2:U1:R2	1	1	0	0	1	0	0	1	0	4	25	0	8	1	2	2	1	2	6	0	0	1	0	1	0	2	0	4	0	0	0	0	49
Ins2:U1:R3	0	0	3	1	0	1	0	2	2	3	16	0	15	3	9	6	1	0	5	0	2	1	0	0	0	2	0	5	0	1	0	0	38
Ins2:U1:R4	2	0	1	0	2	1	0	0	0	0	13	0	3	3	3	2	0	1	1	0	0	0	2	4	0	0	0	6	1	0	0	0	102
Ins2:U1:R(5,9)	19	1	0	0	2	1	0	2	0	0	1	0	4	71	9	3	1	1	0	0	2	2	2	15	0	2	3	581	0	0	9	0	13041
Ins2:U2:R1	10	3	1	5	1	4	1	2	1	9	201	2	1	17	8	5	2	8	17	2	4	4	3	4	4	2	3	60	2	1	10	0	245
Ins2:U2:R2	11	0	2	0	0	2	1	1	1	1	141	1	2	12	4	2	4	4	7	1	0	1	1	3	1	5	1	61	2	0	6	1	160
Ins2:U2:R3	14	1	2	0	0	1	0	1	1	1	41	1	7	25	1	0	1	3	2	0	3	0	2	3	0	3	1	98	0	0	5	2	333
Ins2:U2:R4	29	2	3	0	1	3	0	0	4	1	7	0	4	96	3	1	1	3	0	0	2	1	1	20	0	2	3	362	3	0	4	0	3593
Ins2:U2:R(5,9)	114	19	10	0	12	21	2	10	11	4	15	3	11	338	23	15	10	8	5	3	15	3	12	171	19	41	41	2590	1	5	68	3	22278
Ins3:U1:R1	0	0	0	0	0	0	1	0	0	0	3	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	2
Ins3:U1:R2	0	0	0	0	0	0	0	0	0	0	3	0	1	1	6	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	1	0	4
Ins3:U1:R3	0	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	9
Ins3:U1:R4	0	0	0	0	0	0	0	0	0	0	4	0	2	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Ins3:U1:R(5,9)	0	0	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	0	0	0	1	1	0	0	0	51	0	0	1	0	2169
Ins3:U3:R1	5	2	1	1	1	1	1	1	2	5	337	0	3	9	20	1	1	6	7	1	0	5	2	1	1	0	2	11	3	2	3	2	38
Ins3:U3:R2	0	0	1	1	0	0	0	3	1	3	59	0	1	2	4	0	1	0	2	0	0	0	2	0	0	0	2	7	1	0	4	0	12
Ins3:U3:R3	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	11	0	0	0	0	92
Ins3:U3:R4	1	0	1	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	1	0	20	1	0	1	0	340
Ins3:U3:R(5,9)	4	1	1	1	0	3	0	0	2	0	2	0	1	8	0	0	1	1	0	0	2	1	0	7	1	1	0	222	0	2	6	0	1095
Ins4:U1:R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
Ins4:U1:R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Ins4:U1:R3	0	0	0	1	0	0	0	0	0	1	0	0	1	2	21	0	0	0	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0
Ins4:U1:R4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
Ins4:U1:R(5,9)	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	17	0	0	2	0	387
Ins4:U2:R1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3
Ins4:U2:R2	4	0	0	1	0	0	0	0	0	0	20	0	0	1	1	0	0	0	3	1	0	0	0	0	0	0	0	5	0	0	0	0	12
Ins4:U2:R3	4	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	11	0	0	1	0	16
Ins4:U2:R4	2	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	18	0	0	0	0	134
Ins4:U2:R(5,9)	5	0	0	0	1	0	0	1	1	1	3	0	0	6	2	2	0	0	0	1	1	0	1	4	0	4	1	264	0	1	2	0	4419
Ins4:U4:R1	4	1	2	2	0	0	1	3	1	4	532	1	2	10	17	3	1	5	2	1	2	3	2	4	2	2	1	23	2	0	7	0	25
Ins4:U4:R2	1	0	2	0	0	2	0	1	0	0	14	0	1	0	4	1	0	0	0	0	1	0	0	0	1	0	0	10	0	0	1	0	15
Ins4:U4:R3	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0	0	0	0	67
Ins4:U4:R4	1	1	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	17	0	0	0	0	148
Ins4:U4:R(5,9)	2	3	2	0	0	3	1	0	2	0	0	0	0	1	1	0	1	0	0	1	0	2	2	1	3	0	3	71	0	2	2	0	215
Ins(5,):U1:R1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0
Ins(5,):U1:R2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Ins(5,):U1:R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
Ins(5,):U1:R4	1	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2
Ins(5,):U1:R(5,9)	0	0	1	0	0	1	0	0	0	1	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	34	0	0	1	0	61
Ins(5,):U2:R1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3
Ins(5,):U2:R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Ins(5,):U2:R3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	7
Ins(5,):U2:R4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	23
Ins(5,):U2:R(5,9)	4	3	4	1	0	0	0	2	0	0	2	0	0	2	1	1	3	1	1	1	0	2	1	2	2	2	1	118	2	0	8	1	2149
Ins(5,):U(3,):R1	5	8	14	3	1	8	2	14	4	16	21	5	16	29	97	7	4	12	20	3	6	8	20	4	10	6	8	48	22	5	19	8	47
Ins(5,):U(3,):R2	0	1	0	0	0	0	0	0	1	0	2	0	1	2	3	2	1	1	1	0	1	0	0	0	1	1	0	13	2	0	3	0	20
Ins(5,):U(3,):R3	0	0	1	0	0	1	0	0	0	0	0	1	0	2	0	0	1	1	0	0	0	0	2	0	0	0	0	10	0	0	0	0	18
Ins(5,):U(3,):R4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	3	0	0	3	1	19
Ins(5,):U(3,):R(5,9)	3	0	4	0	0	1	0	0	2	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	1	0	3	46	0	0	1	1	156
Del2:M1	24	3	17	4	2	22	4	8	8	47	58	5	63	16	21	12	16	53	24	38	339	4	13	9	11	2	12	546	6	8	11	7	152
Del3:M1	5	3	3	0	7	13	2	3	2	24	63	1	5	5	9	3	0	64	9	9	5	1	2	2	1	0	2	73	1	4	2	3	23
Del3:M2	9	6	15	3	2	11	5	9	5	18	32	2	13	14	18	2	7	47	11	47	20	5	6	4	6	4	3	295	5	10	22	2	73
Del4:M1	9	3	8	2	4	20	0	4	1	29	103	2	5	4	12	4	1	49	10	14	1	4	4	4	3	0	6	239	1	3	1	1	33
Del4:M2	6	6	10	1	5	10	1	6	3	14	66	2	8	3	5	3	1	41	4	36	12	5	3	3	2	2	4	111	3	14	13	5	26
Del4:M3	5	8	21	1	3	5	2	5	4	10	16	1	6	8	8	3	7	14	7	53	19	1	7	4	2	1	9	115	2	23	11	1	27
Del5:M1	1	0	2	0	5	15	1	6	3	19	34	0	3	4	15	8	2	72	4	2	3	2	1	2	2	0	1	27	0	2	0	1	10
Del5:M2	0	1	4	1	1	4	1	7	0	8	18	1	4	3	6	2	1	42	5	2	2	2	0	0	2	1	2	13	0	5	3	2	3
Del5:M3	6	2	3	0	2	3	0	4	1	4	9	1	1	6	4	1	2	11	7	14	4	2	0	2	2	2	2	38	0	7	1	1	9
Del5:M4	1	3	5	0	0	1	0	2	0	6	7	0	0	0	2	0	3	8	3	10	3	4	1	2	0	0	0	22	1	7	1	2	9
Del6:M1	8	1	7	1	6	6	4	5	1	26	37	0	4	7	15	2	2	64	8	1	4	2	3	3	0	2	1	152	0	1	4	1	12
Del6:M2	1	1	0	1	1	6	1	8	2	13	34	1	2	2	2	0	1	33	9	1	1	2	0	0	0	1	0	6	0	0	2	1	2
Del6:M3	0	0	0	1	0	6	0	4	2	7	17	0	0	0	2	1	0	16	5	0	2	0	1	0	0	1	2	27	0	1	1	0	0
Del6:M4	0	1	3	0	1	3	0	1	0	7	9	2	0	5	1	3	0	10	0	2	0	1	1	1	0	0	2	46	0	3	0	3	19
Del6:M5	1	1	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	5	4	0	0	3	0	1	0	0	1	15	0	2	0	0	3
Del(7,):M1	16	10	34	5	25	76	6	103	4	129	169	14	19	9	124	28	15	605	45	3	23	10	22	5	8	7	15	325	6	11	6	16	39
Del(7,):M2	5	6	25	6	12	81	2	258	11	88	183	6	16	13	87	18	5	398	29	2	26	10	10	4	10	1	7	51	4	1	6	14	17
Del(7,):M3	8	1	7	2	6	59	0	180	6	39	102	2	8	2	44	13	2	185	10	2	8	1	11	2	8	2	4	67	4	2	9	11	16
Del(7,):M4	0	1	8	0	2	24	3	127	2	19	39	1	9	1	22	10	2	70	5	2	6	2	5	3	2	3	3	19	4	4	5	10	6
Del(7,):M5	2	1	4	0	3	13	0	54	1	1	27	0	5	2	18	0	1	29	2	0	3	0	0	2	0	1	2	24	0	0	1	9	5
Del(7,):M(6,)	7	4	10	1	3	33	0	41	5	6	18	1	4	9	58	11	4	17	2	1	5	4	8	7	4	7	1	78	1	0	8	34	37
Complex(0,1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Complex(2,5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Complex(6,10)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Complex(11,20)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Complex(21,)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
