Samples	ID1	ID2	ID3	ID4	ID8	ID9	ID13	ID19	ID21	ID22	ID25	ID83H	ID83I	ID83J
CPCT02020914T	90	50	0	0	0	0	336	111	0	0	0	0	0	0
CPCT02160035T	81	0	0	0	127	0	338	237	0	0	0	0	0	0
CPCT02050310T	84	98	0	0	129	72	0	161	0	0	0	0	0	0
CPCT02290061T	104	0	0	0	216	0	454	270	0	0	0	0	0	0
CPCT02050308T	275	62	0	0	136	0	107	313	0	0	0	0	0	0
CPCT02090035T	151	0	0	0	0	0	235	160	0	0	0	0	0	0
CPCT02020933T	27	38	0	0	51	0	0	102	118	0	0	0	77	0
CPCT02020930T	74	0	0	0	253	0	216	110	0	0	0	0	0	0
CPCT02020934T	85	59	0	0	181	0	416	261	0	0	0	0	0	0
CPCT02020939T	71	0	0	0	62	0	59	70	0	0	0	86	0	0
CPCT02020670T	182	0	0	0	0	0	1127	352	0	0	0	0	0	0
CPCT02020837TII	33	0	0	0	130	0	0	136	0	0	0	0	265	0
CPCT02030459T	276	104	0	265	0	0	0	166	0	0	0	0	0	0
CPCT02350019T	0	0	0	0	32	0	0	30	0	0	23	0	0	0
CPCT02050424T	0	0	0	0	0	0	3962	1564	0	0	0	0	0	0
CPCT02340064T	66	44	0	0	80	0	92	127	0	0	0	0	0	0
CPCT02011045TII	140	81	0	0	0	0	130	114	0	0	0	0	0	0
CPCT02120189T	63	63	0	0	353	0	303	187	0	0	0	0	0	0
CPCT02010754T	89	32	0	0	116	0	105	162	0	0	0	0	0	0
CPCT02020868T	85	0	0	0	80	0	129	94	0	0	0	0	0	0
CPCT02060286T	113	0	0	0	202	0	539	277	0	0	0	0	0	0
CPCT02060288T	250	161	0	0	112	0	147	144	0	0	0	0	0	0
CPCT02120193T	113	33	0	0	109	0	110	121	0	0	0	0	0	0
CPCT02120187T	64	71	0	65	72	0	110	88	0	0	0	100	0	0
CPCT02120191T	139	36	0	0	75	0	129	100	0	0	0	197	0	0
CPCT02080304T	135	29	0	0	54	51	0	100	0	0	0	0	0	0
CPCT02080307T	60	44	0	0	150	0	174	105	0	0	0	165	0	0
CPCT02080303T	32	16	0	0	61	0	89	103	0	0	0	0	0	0
CPCT02340067T	364	256	0	0	136	139	0	201	0	0	0	0	0	0
CPCT02030461T	288	0	0	0	0	0	2150	610	0	0	0	0	0	1377
CPCT02020919T	0	147	0	187	92	0	147	0	0	0	0	0	132	0
CPCT02050432T	90	22	0	0	50	0	40	82	0	0	0	94	0	0
CPCT02120110T	233	39	0	0	99	0	0	137	0	0	0	0	0	0
CPCT02080308T	73	33	0	0	59	0	0	86	0	0	0	0	0	0
CPCT02020951T	50	0	0	0	0	0	0	63	0	0	0	0	0	62
DRUP01060009T	369	157	0	0	223	0	0	447	0	0	0	0	0	0
CPCT02020949T	0	0	0	0	0	0	679	0	0	0	0	0	404	0
CPCT02020960T	117	59	0	0	137	0	211	103	0	0	0	180	0	0
WIDE01010033T	57	0	0	0	0	0	0	43	0	0	0	56	0	0
CPCT02340115T	88	94	0	0	97	0	319	135	0	0	0	0	143	0
CPCT02050322T	83	46	0	0	253	0	267	206	0	0	0	0	0	0
CPCT02050046T	122	40	0	0	127	0	164	185	0	0	0	0	0	0
CPCT02050331T	53	28	0	0	51	0	0	57	0	0	0	0	0	0
WIDE01010071T	0	0	0	888	0	0	165	0	0	0	0	0	0	0
CPCT02020895TII	164	43	0	0	132	0	0	103	0	0	0	0	0	0
CPCT02030468T	82	54	0	162	84	0	75	134	0	0	0	0	0	0
CPCT02020959T	93	89	0	0	81	0	69	118	0	0	0	0	0	0
CPCT02080313T	55	35	0	0	69	0	110	0	0	0	0	112	0	0
CPCT02080311T	58	0	0	0	87	0	93	138	0	0	0	0	111	0
