Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
WIDE01010101T	76	331	1829	163	43	212	33	41	82	71	51
WIDE01010349T	0	29	31	18	71	64	23	0	29	9	5
WIDE01010342T	12	180	41	28	68	6	30	15	18	19	12
WIDE01010359T	0	7	22	54	23	9	30	12	7	11	6
WIDE01010370T	12	0	22	1	111	43	17	18	33	3	7
WIDE01010369T	3	293	19	53	64	0	28	20	24	8	6
CPCT02340084T	100	190	328	98	177	31	36	8	29	20	0
DRUP01030015T	0	102	94	655	0	68	22	2	8	8	74
CPCT02060236T	6	57	15	29	37	32	100	17	13	4	10
CPCT02120125T	34	57	1574	193	50	182	31	16	16	51	40
CPCT02230098T	2202	194	0	0	0	78	108	37	0	30	33
DRUP01090015T	0	0	20	5	34	12	71	25	9	10	15
WIDE01010401T	45	61	26	14	148	95	30	61	43	4	0
CPCT02230105T	10	8	38	0	56	20	71	4	16	9	0
CPCT02080223T	38	65	26	0	13	77	126	13	591	18	22
CPCT02020730T	19	47	86	0	408	73	91	17	44	3	7
CPCT02010831T	247	97	1282	77	199	183	57	16	166	109	3
WIDE01010428T	21	61	4	29	48	36	27	11	0	7	11
CPCT02290039T	1230	924	0	0	30	247	171	31	78	59	82
CPCT02010843T	36	25	4	10	81	19	118	13	17	5	7
CPCT02130103T	49	304	37	0	197	30	123	15	88	0	58
CPCT02070337T	56	31	45	25	0	86	115	17	421	38	0
WIDE01010440T	2	41	31	24	132	0	21	6	7	18	8
WIDE01010404T	185	259	23	23	0	136	79	21	24	19	17
CPCT02080229T	35	72	285	0	67	28	87	38	36	26	6
CPCT02050363T	70	248	60	18	42	80	133	35	17	23	5
CPCT02040250T	32	119	0	15	84	22	80	3	28	12	4
CPCT02040251T	33	50	179	0	98	47	87	22	5	5	0
CPCT02260022T	389	468	0	16	89	79	29	28	0	46	11
CPCT02340090T	118	235	30	83	18	23	34	26	27	22	27
CPCT02450013T	24	74	19	44	47	5	80	33	43	4	9
CPCT02070347T	83	322	33	0	295	90	82	55	84	21	23
CPCT02060140T	0	25	41	82	50	24	54	10	7	4	1
CPCT02020720T	1	33	18	0	46	2	56	9	0	0	13
CPCT02230109T	409	664	23	27	52	61	127	43	19	87	6
DRUP01090019T	280	275	89	147	83	93	48	59	74	16	44
CPCT02120144T	10	0	3	46	159	19	16	0	47	4	8
CPCT02080240T	48	317	253	0	142	53	19	8	28	15	0
CPCT02130125T	43	96	25	15	65	68	48	46	68	17	17
CPCT02070355T	8	12	11	12	37	21	57	12	15	6	9
CPCT02010872T	0	0	12	70	30	15	49	19	0	3	9
CPCT02010878T	22	162	34	0	0	198	100	19	26	11	11
CPCT02090054T	763	1008	284	0	311	505	45	175	7	384	0
CPCT02330117T	290	303	20	0	191	57	36	62	81	13	28
CPCT02170031T	338	847	48	43	0	27	85	40	12	57	63
CPCT02020765T	9	75	16	0	31	45	88	5	421	20	0
CPCT02010851T	3	16	24	6	56	19	111	2	10	3	1
CPCT02020756T	16	15	56	0	172	47	75	20	47	4	4
DRUP01170001T	52	507	15	0	0	328	71	0	0	4	7
WIDE01010617T	176	184	65	21	56	71	25	44	43	21	6
WIDE01010627T	6	37	21	11	88	18	15	26	21	7	1
CPCT02030502T	28	37	74	53	87	68	25	15	11	20	1
CPCT02030507T	233	130	13	0	54	29	68	20	21	14	7
WIDE01010595T	68	619	0	196	0	72	35	24	27	12	61
CPCT02040273T	0	105	24	70	80	17	39	24	37	20	24
CPCT02030520T	54	215	44	0	156	3	61	44	45	10	13
CPCT02110075T	797	808	11	0	129	93	105	39	24	77	9
CPCT02290050T	146	173	60	12	92	47	99	28	34	16	3
CPCT02290053T	1	53	0	28	39	19	72	2	16	6	12
CPCT02080257T	33	71	32	33	44	13	46	8	27	3	6
CPCT02290054T	7	135	45	58	79	0	47	13	25	4	9
CPCT02080256T	34	167	12	38	86	0	102	12	46	4	8
CPCT02030497T	129	31	1720	49	192	15	111	18	107	92	0
DRUP01290001T	1225	892	0	0	34	262	152	33	95	70	75
CPCT02070372T	7	23	32	13	70	0	72	17	7	10	8
