Samples	ID83A	ID83B	ID83C
CPCT02010486T	4.14E-01	7.85E-01	6.85E-01
CPCT02060077T	1.44E+00	1.93E+00	1.24E+00
CPCT02020491T	8.62E+00	8.08E+00	8.95E+00
CPCT02010538T	5.38E-01	1.15E+00	1.12E+00
CPCT02170001T	1.09E+00	1.38E+00	1.26E+00
CPCT02170002T	1.27E+00	1.62E+00	1.10E+00
CPCT02050142T	6.75E-01	1.07E+00	8.77E-01
CPCT02080071T	4.08E+00	4.92E+00	2.79E+00
CPCT02020499T	6.81E-01	9.93E-01	8.50E-01
CPCT02340008T	1.73E+00	2.10E+00	1.07E+00
CPCT02020505T	7.66E-01	1.71E+00	1.77E+00
CPCT02080158T	8.11E-01	1.36E+00	1.26E+00
CPCT02010571T	4.08E-01	1.02E+00	9.50E-01
CPCT02380010T	2.98E+00	3.31E+00	1.17E+00
CPCT02110047T	3.76E+00	3.74E+00	1.12E+00
CPCT02030425T	2.00E+00	2.83E+00	2.07E+00
CPCT02080168T	2.24E-01	8.12E-01	8.15E-01
CPCT02020641T	5.01E-01	1.02E+00	9.06E-01
CPCT02230065T	9.85E-01	1.53E+00	1.41E+00
CPCT02330074T	3.43E+00	3.67E+00	1.79E+00
CPCT02010697T	6.91E-01	9.50E-01	7.23E-01
CPCT02090028T	3.06E+00	3.91E+00	2.27E+00
CPCT02450008T	2.00E+00	2.43E+00	1.34E+00
CPCT02010688T	3.49E-01	7.85E-01	6.91E-01
CPCT02020646T	6.11E-01	1.21E+00	9.82E-01
CPCT02010704T	4.24E-01	9.09E-01	7.62E-01
CPCT02010705T	6.21E-01	1.19E+00	9.81E-01
CPCT02250003T	8.16E-01	2.27E+00	2.21E+00
CPCT02010698T	6.79E-01	1.11E+00	8.56E-01
WIDE01010622T	1.47E+00	2.06E+00	1.74E+00
WIDE01010631T	2.44E+00	2.78E+00	1.19E+00
WIDE01010635T	1.79E+00	1.97E+00	1.12E+00
WIDE01010636T	2.16E+00	2.77E+00	2.27E+00
WIDE01010658T	1.29E+00	2.40E+00	2.51E+00
WIDE01010504T	8.04E-01	1.18E+00	8.31E-01
WIDE01010493T	1.00E+00	1.21E+00	6.90E-01
WIDE01010304T	3.59E-01	1.03E+00	1.01E+00
WIDE01010568T	7.22E-01	1.23E+00	1.13E+00
WIDE01010464T	2.02E+00	3.20E+00	2.32E+00
WIDE01010467T	4.28E-01	9.26E-01	8.63E-01
WIDE01010486T	5.63E-01	8.45E-01	8.45E-01
WIDE01010516T	2.65E+00	2.76E+00	1.05E+00
WIDE01010510T	2.54E+00	3.21E+00	2.01E+00
WIDE01010583T	6.80E-01	1.43E+00	1.23E+00
WIDE01010566T	2.37E+00	2.44E+00	1.01E+00
WIDE01010578T	5.22E+00	5.60E+00	2.30E+00
WIDE01010599T	2.63E+00	2.85E+00	1.17E+00
WIDE01010604T	1.88E+00	2.55E+00	1.64E+00
WIDE01010614T	3.30E+00	3.47E+00	1.17E+00
WIDE01010662T	2.04E+00	2.32E+00	1.33E+00
WIDE01010672T	1.60E+00	1.68E+00	5.41E-01
WIDE01010686T	2.84E-01	8.87E-01	8.29E-01
WIDE01010532T	2.17E+00	2.78E+00	1.55E+00
WIDE01010703T	4.43E-01	9.55E-01	9.00E-01
WIDE01010712T	9.17E-01	1.34E+00	1.25E+00
WIDE01010721T	1.12E+00	1.88E+00	1.53E+00
WIDE01010663T	9.89E-01	1.23E+00	9.16E-01
