Samples	ID83A	ID83B
CPCT02010894TII	1.55E+00	1.54E+00
CPCT02010945T	3.11E+00	3.11E+00
CPCT02120167T	3.16E+00	3.16E+00
DRUP01190001T	2.13E+00	2.13E+00
CPCT02010776TII	1.91E+00	1.91E+00
CPCT02070393T	3.17E+00	3.17E+00
CPCT02070396T	1.55E+00	1.55E+00
DRUP01010101T	3.01E+00	3.01E+00
CPCT02030546T	1.92E+01	1.92E+01
CPCT02240013T	1.44E+00	1.44E+00
CPCT02010953T	1.74E+00	1.74E+00
DRUP01010102T	2.63E+00	2.63E+00
CPCT02010967T	2.87E+00	2.87E+00
CPCT02390005T	1.66E+00	1.66E+00
CPCT02010966T	1.57E+00	1.57E+00
DRUP01010038T	1.53E+00	1.53E+00
CPCT02050412T	1.42E+00	1.42E+00
DRUP01020006T	2.23E+00	2.23E+00
CPCT02010954T	4.55E+00	4.55E+00
DRUP01010104T	2.71E+00	2.71E+00
CPCT02070399T	1.39E+00	1.39E+00
DRUP01050038T	1.49E+00	1.49E+00
CPCT02390006T	3.17E+00	3.17E+00
CPCT02120172T	1.18E+00	1.18E+00
CPCT02010655T	1.08E+00	1.08E+00
CPCT02010869T	1.25E+00	1.25E+00
CPCT02040298T	1.13E+00	1.13E+00
CPCT02040299T	2.90E+00	2.90E+00
CPCT02010981T	1.17E+00	1.17E+00
CPCT02010979T	2.72E+00	2.72E+00
CPCT02010977T	2.69E+00	2.69E+00
CPCT02010982T	1.54E+00	1.54E+00
CPCT02040173T	3.00E+00	3.00E+00
CPCT02010926T	1.68E+00	1.68E+00
CPCT02010965T	2.34E+00	2.34E+00
CPCT02070404T	2.11E+00	2.11E+00
CPCT02010986T	4.14E+00	4.14E+00
CPCT02270041T	1.28E+00	1.28E+00
CPCT02010980T	2.91E+00	2.91E+00
CPCT02040174T	2.81E+00	2.81E+00
CPCT02010972T	3.41E+00	3.41E+00
CPCT02010990T	1.37E+00	1.37E+00
CPCT02010976T	2.46E+00	2.46E+00
CPCT02080156T	1.99E+00	1.99E+00
CPCT02010985T	2.44E+00	2.44E+00
CPCT02010984T	1.70E+00	1.70E+00
DRUP01060026T	1.33E+00	1.33E+00
CPCT02270043T	2.05E+00	2.05E+00
CPCT02010989T	1.94E+00	1.94E+00
CPCT02040301T	2.37E+00	2.37E+00
DRUP01010111T	2.82E+00	2.82E+00
DRUP01010110T	1.15E+00	1.15E+00
CPCT02011001T	1.16E+00	1.16E+00
CPCT02040305T	3.19E+00	3.19E+00
CPCT02011004T	2.15E+00	2.15E+00
DRUP01090005T	3.48E+00	3.48E+00
CPCT02020872T	2.26E+00	2.26E+00
