Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
CPCT02210011T	89	263	328	83	11	14	50	28
CPCT02080075T	154	306	620	301	97	77	203	83
CPCT02100013TII	651	320	664	23	493	65	143	615
CPCT02210012T	88	25	137	149	28	24	35	37
CPCT02010506T	121	147	245	70	165	217	124	60
CPCT02190007T	646	284	300	86	408	228	86	330
CPCT02010488T	300	401	693	193	43	446	77	68
CPCT02010512T	310	0	375	162	117	803	1135	72
CPCT02080080T	198	218	564	272	215	60	245	74
DRUP01050001T	87527	39893	202	0	882	144	0	0
CPCT02030319T	317	208	158	231	27	172	53	91
CPCT02080084T	624	336	1336	313	47	269	306	156
CPCT02010514T	142	0	142	146	20	5	18	63
CPCT02230012T	107	298	596	178	53	194	50	161
CPCT02100036T	71	45	146	139	10	58	43	61
CPCT02100057T	690	476	632	263	22	121	136	281
CPCT02230006T	761	296	713	287	7	63	111	67
CPCT02230011T	0	0	0	81	53	5	36	62
CPCT02030323T	774	229	855	463	151	581	443	142
