hdp.1	hdp.2
A[Del(T):R3]A	0.00193753860257802	0.00342633321391134
A[Del(T):R3]C	0.00240126789042937	0.00385509135782811
A[Del(T):R3]G	0.00431950192536833	0.00114280217082653
A[Del(T):R4]A	0.00190679817693539	0.00221801480832769
A[Del(T):R4]C	0.000888692066231873	0.00310414261640327
A[Del(T):R4]G	0.00131816623813674	0.00242161272773111
A[Del(T):R5]A	0.00238170103246913	0.00583218887252365
A[Del(T):R5]C	0.000377278397989471	0.00316758555259212
A[Del(T):R5]G	0.0016057938043459	0.00259908708517442
A[Del(T):R6]A	0.00352554912314772	0.00850259742844632
A[Del(T):R6]C	0.00128816022539342	0.00495269561986651
A[Del(T):R6]G	0.00262935555373001	0.00457576994015631
A[Del(T):R7]A	0.00347996306532613	0.00909556081896952
A[Del(T):R7]C	0.00372882412206446	0.00891933044066717
A[Del(T):R7]G	0.00210876172424621	0.00646288629698924
A[Del(T):R8]A	0.00344056705908446	0.0099729807730584
A[Del(T):R8]C	0.00215760018205047	0.0063608800074307
A[Del(T):R8]G	0.0004531852169398	0.00385135942040524
A[Del(T):R(9,)]A	0	0
A[Del(T):R(9,)]C	0	0
A[Del(T):R(9,)]G	0	0
C[Del(T):R1]A	0.00315493289931629	0.00176810901901464
C[Del(T):R1]C	0.00241810692904931	0.00119753725302867
C[Del(T):R1]G	0.00348127451693205	0.00314519392805488
C[Del(T):R2]A	0.00152537559187122	0.00050795814922442
C[Del(T):R2]C	0.00202089446664994	0.00215871846927537
C[Del(T):R2]G	0.00186352027394021	0.00195926714700848
C[Del(T):R3]A	0.00277387752070179	0.00192443573106166
C[Del(T):R3]C	0.00189572952538147	0.00139740323500922
C[Del(T):R3]G	0.0006865186866641	0.00149940952456776
C[Del(T):R4]A	0.00192153889298586	0.00238056141607951
C[Del(T):R4]C	0.00181814404837557	0.00190245876623807
C[Del(T):R4]G	0.00132419891552395	0.00271436248556984
C[Del(T):R5]A	0.00118828007108697	0.00349392274723671
C[Del(T):R5]C	0.000281280140436533	0.00134308281252073
C[Del(T):R5]G	0.00042727093320693	0.00119670793360137
C[Del(T):R6]A	0.00150895621776518	0.00210564202592784
C[Del(T):R6]C	0.00184447799662233	0.00228477502222576
C[Del(T):R6]G	0.00112700905205865	0.00222133208603691
C[Del(T):R7]A	0.000348688752980536	0.00742945808951342
C[Del(T):R7]C	0.00178761345498988	0.00565678781364861
C[Del(T):R7]G	0.00144459017294689	0.00473168199248968
C[Del(T):R8]A	0.000642348996576901	0.00712302456112416
C[Del(T):R8]C	0.000557366932513645	0.00536445271552353
C[Del(T):R8]G	0.000244139830957035	0.00336164629858153
C[Del(T):R(9,)]A	0	0
C[Del(T):R(9,)]C	0	0
C[Del(T):R(9,)]G	0	0
G[Del(T):R1]A	0.00119284392267555	0.00220142841978159
G[Del(T):R1]C	0.00144380330198335	0.0011929759961785
G[Del(T):R1]G	0.00257170414113402	0.00192028913392514
G[Del(T):R2]A	0.000787185711934094	0.00139118333930443
G[Del(T):R2]C	0.000424700488059338	0.000652259729575521
G[Del(T):R2]G	0.000952376156215079	0.000720678582328198
G[Del(T):R3]A	0.00205598891162421	0.00126720008492231
G[Del(T):R3]C	0.000570848655022445	0.00144965035892945
G[Del(T):R3]G	0.00152899519830355	0.000905616814617252
G[Del(T):R4]A	0.00219311429153863	0.00205588286028953
G[Del(T):R4]C	0.000319679443457708	0.000751778060852142
G[Del(T):R4]G	0.000942776330459785	0.000461930921008983
G[Del(T):R5]A	0.0013249857864875	0.00252859493385348
G[Del(T):R5]C	0.00154976859174123	0.000784536178230697
G[Del(T):R5]G	0.0017249785262914	0.00281014887942359
G[Del(T):R6]A	0.00158407616575196	0.00188753101654658
G[Del(T):R6]C	0.000608618461272782	0.00146043151148442
G[Del(T):R6]G	0.000764838576569312	0.00158607340472115
G[Del(T):R7]A	0.00035430176585385	0.00341638138078367
G[Del(T):R7]C	0.000727278602575922	0.00250205671217972
G[Del(T):R7]G	0.00207566068571293	0.00227357920995714
G[Del(T):R8]A	0.00157374192709735	0.00328991016811963
G[Del(T):R8]C	0.000867499008280296	0.00380491753247615
G[Del(T):R8]G	0.000912717859652226	0.00116809641335934
G[Del(T):R(9,)]A	0	0
G[Del(T):R(9,)]C	0	0
G[Del(T):R(9,)]G	0	0
A[Ins(C):R0]A	0.00206574611157222	0.000651015750434563
A[Ins(C):R0]G	0.000247549605132413	0.00129332364688242
A[Ins(C):R0]T	0.000526836339127956	0.000106152886695063
A[Ins(C):R1]A	0.000992559033420298	0.000373193742287329
A[Ins(C):R1]G	0.000163878992675071	5.39057627748365e-06
A[Ins(C):R1]T	4.99925352174591e-05	0.000125227233523082
A[Ins(C):R2]A	0.000236953076156624	0.0005527413982989
A[Ins(C):R2]G	2.5127412769321e-05	1.65863885461035e-05
A[Ins(C):R2]T	0.000160679050756639	0.000340020965195122
A[Ins(C):R3]A	0.000378432475402676	0.000165863885461035
A[Ins(C):R3]G	0.000245766030948369	0.000167937184029298
A[Ins(C):R3]T	8.11001673097501e-05	0.000262479598742088
A[Ins(C):R4]A	0.0008153032343649	0.000301872271539084
A[Ins(C):R4]G	0.000212402702093906	0.000126056552950387
