hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12	hdp.13	hdp.14
G[Del(C):R4]G	6.62210415162695e-05	0.000405109950503561	0.00144943973770884	0.00010913211830744	0.000276578905730792	0.00142160745229212	0.000147973666638209	0.000576506028989594	0.000289493751061907	0.000233091668602788	0.00101232738242941	1.27705707669777e-05	0.00275610140254364	0.000152398303588489
G[Del(C):R4]T	0.000362122159157838	0.000278841575121178	0.00440172758374519	0.000178635341469173	0.000660718223624315	0.000556941258521411	0.000484900359984296	0.00102739884404716	0.00138140716575732	0.000661123568152828	0.000937968328863382	1.62165977993367e-05	0.00215851452332189	0.000323541419996336
G[Del(C):R5]A	0.00108272352977234	0.000285789597311961	0.00479664707560586	0.000363585644384424	0.000444018852687417	0.00200365719699137	0.000558370445853231	0.000124256955854882	0.00144281626039461	0.00071758359919217	0.00199059320274964	0.00194269773949242	0.00783876387369056	0.000321756199727825
G[Del(C):R5]G	0.000343139677487825	6.27316198818542e-05	0.00047890489234322	0.000194496174868625	0.000340939758960493	0.00033195754400233	0.000147065220942894	0.000462454359321768	0.000331325081298785	5.22006774617336e-05	0.00207160391428651	1.03380810970772e-05	0.00154793344360566	0.00131963482248275
G[Del(C):R5]T	0.0012401824152265	0.000283083447038083	0.00274580990492904	0.000323454334925381	0.000210297487457176	0.000131381613721239	0.00034312766274812	0.000685606986113518	0.000771272347941984	0.000293674496857985	0.0025883193616573	0.00269692156776594	0.0063980864275366	0.00104170578034686
G[Del(C):R6]A	0.00187602257724806	0.000188439009566966	0.00281688582356316	0.000912863618977642	0.000209999317541682	0.000497031242664527	0.000252279415298752	0.000156881262169637	0.000834030309696628	0.000115605001132554	0.00244540031650618	1.14022953276586e-05	0.0125221156128975	0.000382989254937726
G[Del(C):R6]G	0.000404935976267204	4.21671142882127e-05	0.000366555516027952	0.000145568750200724	6.51413568320225e-05	0.000168168465563186	2.10965364709758e-05	6.15652232068771e-05	0.000168553557672252	9.20671023663398e-05	0.00981893933338437	1.27705707669777e-05	0.00383359840011295	0.000245110742866453
G[Del(C):R6]T	0.00134713536133667	0.000294133560656417	0.00123801930926526	0.000208641070151763	0.000204553331732219	0.000518169084516566	8.97926850422599e-05	0.000103512877396226	0.000308830254677106	0.000121081312875193	0.00135398584820308	0.000160341610740942	0.0059965336023536	0.000287301448545578
G[Del(C):R7]A	0.00204862139622281	0.000147561603260519	0.000834321369747662	0.00078855858840747	0.000286839458705142	0.00013891415957459	5.57572337691759e-05	9.42043520142789e-05	7.73926216579374e-05	0.000274183084399587	0.00161386556142417	1.23651558219943e-05	0.00469353780075051	0.000195868417126713
G[Del(C):R7]G	0.000705298563128141	3.11990052236323e-05	2.72943330509845e-06	0.000184950302915251	0.000107130696696283	2.63347145725683e-05	6.56508326371893e-06	2.34936508445649e-05	2.41617193195438e-05	1.22037207407461e-05	0.00281574405727912	3.73995286747203e-05	0.00183437742258934	0.000107142969781755
G[Del(C):R7]T	0.000698354703053929	0.000229450605143193	0.000225547090009149	0.000796326686636734	6.88070928519182e-05	0.000681082285530902	3.85887135030471e-05	0.000126962060762852	6.53816727938818e-05	5.41445974349181e-05	0.000439678819621579	1.13009415914128e-05	0.00223150680765501	0.000141805996661995
G[Del(C):R8]A	0.00153800576502494	0.000329153232589037	0.000165388904595425	0.0023387850052825	0.000356707685668082	0.000194211220994151	7.97630032158389e-05	8.5777764944793e-05	0.000117609149593758	0.000687503044152572	0.000696035408917438	1.37334312613133e-05	0.00406549214004669	0.000299917005109717
G[Del(C):R8]G	0.000256077155566686	3.28465512581419e-05	3.08721037346947e-05	0.000407883127918665	9.01700903267172e-05	2.96630487868397e-05	3.38368437121648e-06	2.97709764803209e-05	1.2858103212148e-05	6.75251127048854e-05	0.00128125447789051	1.8801118073606e-05	0.00128051412280452	9.91392322446009e-05
