hdp.1	hdp.2	hdp.3	hdp.4
G[Del(T):R2]C	0.00103997313479294	0.00218828613025523	0.000855770924593397	0.00152660812251094
G[Del(T):R2]G	0.00530850244356651	0.000979079046297898	0.000944177065941425	0.00108202297336158
G[Del(T):R3]A	0.000597932875395664	0.00255936311925038	0.00160715112341911	0.00257279121820598
G[Del(T):R3]C	0.000789827211552797	0.00151348919282348	0.00152068250745528	0.00239359182987322
G[Del(T):R3]G	0.00182555133950084	0.00104198990891366	0.00180277573028474	0.00237481856061931
G[Del(T):R4]A	0.00119514801314861	0.00110515629899739	0.0025082313409498	0.0024089517774446
G[Del(T):R4]C	0.000645418397837899	0.00248970633148004	0.0016765485697816	0.00205055300077909
G[Del(T):R4]G	0.00260512925751562	0.00150495457539307	0.0019876784905986	0.00194644668946197
G[Del(T):R5]A	0.00167034775163946	0.000747775582285773	0.00279554802748395	0.00220500580691351
G[Del(T):R5]C	0.00126384986030959	0.000547850891341135	0.00161889409821389	0.00138068862058284
G[Del(T):R5]G	0.00202232629162846	0.00183407395414652	0.00217780471461717	0.000667304388934352
G[Del(T):R6]A	0.000718397961349483	0.00117430203183177	0.00210927129984494	0.00197033994123967
G[Del(T):R6]C	0.000828929558328084	0.000178664805609012	0.00225688978790067	0.000661331075989927
G[Del(T):R6]G	0.000734791089109167	0.00064505354015931	0.00212738978046476	0.00125951570085307
G[Del(T):R7]A	0.000359385592461848	0.00100345636674283	0.00246225438723822	0.000695464292815214
G[Del(T):R7]C	0.00033363316584112	0.00191742701420038	0.00330680599254608	0.000849063768529003
G[Del(T):R7]G	0.000406153377261365	0.000645666806082453	0.00209192521110125	0.000767144048148316
G[Del(T):R8]A	0.000551078962079021	0.000331368020471634	0.00276020128061002	9.21596854282737e-05
G[Del(T):R8]C	1.62495802311397e-05	0.000225886281691028	0.00298594917064488	0.000503464948172977
G[Del(T):R8]G	0.000142083343752491	0.000251030184539893	0.00196174445150332	0.000564904738458493
G[Del(T):R(9,)]A	0	0	0	0
G[Del(T):R(9,)]C	0	0	0	0
G[Del(T):R(9,)]G	0	0	0	0
A[Ins(C):R0]A	0.0027760943640111	0.00282858685951018	0.00223121757656001	0.00223999235415943
A[Ins(C):R0]G	0.000228269279890091	0.000870786505369552	4.95378111744315e-05	0.000247465821983328
A[Ins(C):R0]T	0.00220572261409581	0.00100391631618519	0.00055591268861286	0.000453118453355679
A[Ins(C):R1]A	0.000933116354545055	0.00102410298615532	0.00033771852929884	0.000678397684402571
A[Ins(C):R1]G	0.000331652209947218	3.97089685235132e-05	0.000195611515477895	6.91197640712053e-05
A[Ins(C):R1]T	0.000368773600828602	0.00113975471816138	0.000272549601173491	0.000892583619981244
A[Ins(C):R2]A	0.000541432568160888	0.000687266677868991	0.000189393106305629	0.000562344747196596
A[Ins(C):R2]G	0.000210986157453437	7.89068821110739e-05	0.000140012391783971	4.77865035554012e-05
A[Ins(C):R2]T	0.000831111480761947	0.000781045258616284	0.000122705577203474	0.000391678663070163
A[Ins(C):R3]A	0.00140688061775047	0.000203655391977092	2.90105152120878e-05	0.000107519632999653
A[Ins(C):R3]G	0.000872079945408301	2.17709402715787e-05	8.41121661722311e-05	4.43731818728725e-05
A[Ins(C):R3]T	0.000916579679256828	0.000246175162648344	0.000252166310476189	0.000158719458237583
A[Ins(C):R4]A	0.00203444170303754	0.000124850720853208	0.000943535587942602	6.99730944918375e-05
A[Ins(C):R4]G	0.000363203956721109	2.86190764133429e-06	2.44547122816697e-05	1.27999563094825e-05
A[Ins(C):R4]T	0.00124794479414696	3.86868586516081e-05	0.000138415242480778	5.46131469204585e-05
A[Ins(C):R5]A	0.00166073006722704	0.000200793484335757	0.000300813907284907	0.000261972439134074
