Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
CPCT02010587T	6.21E+00	3.68E+00	1.64E+00	6.53E+00	6.20E+00	2.00E+00	1.32E+00	2.20E+00	5.39E+00	2.56E+00	3.17E+00	2.01E+00	1.55E+00	1.05E+00	2.03E+00
CPCT02220020T	5.65E+00	4.18E+00	2.84E+00	9.86E+00	8.69E+00	5.81E+00	1.78E+00	3.23E+00	8.25E+00	2.98E+00	9.01E+00	1.59E+00	1.66E+00	1.57E+00	2.72E+00
CPCT02060096T	1.06E+01	8.21E+00	1.78E+00	1.18E+01	9.69E+00	4.74E+00	1.38E+00	2.66E+00	1.02E+01	1.63E+00	4.93E+00	1.30E+00	1.38E+00	9.05E-01	2.15E+00
CPCT02070167T	7.15E+00	5.56E+00	1.18E+00	7.94E+00	7.64E+00	1.78E+00	6.72E-01	4.35E+00	7.79E+00	1.01E+00	2.55E+00	1.35E+00	9.18E-01	8.47E-01	1.45E+00
CPCT02080077T	6.97E+00	4.41E+00	1.34E+00	9.76E+00	7.71E+00	3.59E+00	1.12E+00	2.09E+00	6.64E+00	2.06E+00	3.54E+00	1.56E+00	1.04E+00	1.02E+00	1.79E+00
CPCT02300017T	6.70E+00	4.68E+00	3.43E+00	1.24E+01	1.18E+01	3.26E+00	5.87E-01	2.84E+00	8.68E+00	5.45E+00	4.41E+00	1.24E+00	1.58E+00	1.15E+00	1.90E+00
CPCT02010590T	1.78E+01	1.41E+01	3.55E+00	1.22E+01	1.04E+01	9.30E+00	3.15E+00	3.79E+00	1.37E+01	3.92E+00	8.11E+00	2.82E+00	1.88E+00	1.65E+00	2.79E+00
CPCT02220022T	8.58E+00	6.63E+00	2.75E+00	1.79E+01	1.58E+01	3.45E+00	9.64E-01	3.40E+00	1.20E+01	2.29E+00	6.83E+00	1.57E+00	1.29E+00	2.56E+00	2.03E+00
CPCT02120031T	1.25E+01	9.53E+00	2.88E+00	1.63E+01	1.33E+01	5.17E+00	1.74E+00	3.73E+00	1.13E+01	2.15E+00	6.68E+00	1.95E+00	1.30E+00	1.19E+00	1.97E+00
CPCT02120030T	7.13E+00	6.96E+00	2.13E+00	1.64E+01	1.39E+01	3.52E+00	1.23E+00	4.92E+00	1.02E+01	1.93E+00	6.20E+00	1.61E+00	1.88E+00	1.35E+00	1.61E+00
