Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
CPCT02050239T	176	196	25	36	54	128	138	0	45	12
CPCT02210031T	47	125	196	121	11	25	126	2	0	0
CPCT02230035T	169	393	19	45	52	50	174	7	0	9
CPCT02050089T	2485	1103	3	96	243	0	119	0	364	7
CPCT02180009T	146	58	1370	338	0	154	70	34	13	14
CPCT02330014T	29	114	5	21	0	22	24	0	12	12
CPCT02230001T	10	54	5	28	15	15	17	0	12	3
CPCT02040083T	45	180	12	69	70	54	90	3	0	16
CPCT02180020T	255	564	867	0	24	0	143	0	494	14
CPCT02050135T	129	423	1107	0	68	118	278	0	34	23
CPCT02020483T	271	275	13	62	68	41	72	0	43	12
CPCT02080091T	98	342	10	66	60	79	34	0	83	7
CPCT02260012T	78	269	36	22	140	66	249	0	0	16
CPCT02210036T	153	740	41	33	104	40	304	0	0	11
CPCT02130014T	135	157	10	88	0	50	50	0	54	3
CPCT02130010T	196	280	45	84	68	137	121	0	5	23
CPCT02250002T	107	142	17	45	28	9	125	0	0	7
CPCT02090027T	75	112	9	43	5	22	29	7	21	0
DRUP01070119T	6969	1025	0	0	390	0	376	0	113	27
CPCT02050447T	116	388	25	49	42	70	27	5	51	15
CPCT02330135T	70	132	13	56	13	74	38	0	37	8
CPCT02200008T	96	156	16	1	27	52	14	19	41	7
CPCT02200009T	36	66	14	28	20	76	43	8	60	0
