	C_ID1	C_ID2	C_ID3	C_ID4	C_ID5	C_ID6	C_ID7	C_ID8	C_ID9	C_ID10	C_ID11	C_ID12	C_ID13	C_ID14	C_ID15	C_ID16	C_ID17	C_ID18	C_ID19	C_ID23	ID_A	ID_B	ID_C	ID_D	ID_E	ID_F	ID_G	ID_H	ID_I	ID_J	ID_K	ID_L	ID_M	ID_N
INS:repeats:2:2	0.001653644	0.000815871	0.001061008	0.0001561	0.006006481	0.000925496	0.001356323	0.000617252	0.001267121	0.01413468	0.000176076	0.002393617	0.002087033	0.000559065	0	0	0.040977077	0.006999207	0.002491122	0.00081173	0.001122661	0.001586484	0.001570708	0.004714559	0.002441771	0.002376672	0.000949454	0.003551109	0.000118539	0.001287019	0.000253135	0.002357626	9.96E-05	0.000770888
INS:repeats:2:3	0.00077967	0.000901172	0.001193604	0.000585968	0.001117169	0.000636898	0.00448818	0.000248707	0.000567877	0.005385416	0.000358188	0.000438943	0.001091094	0.000630891	0	0	0.009471649	0.002285371	0.003220524	0.000340501	0.002097408	0.000401887	0.000795726	0.013387701	0.003046022	0.003151763	0.000955096	0.001124814	0.000156171	0.00153344	0.001632114	0.00265914	6.64E-05	0.000488812
INS:repeats:2:4	0.003343592	0.002365568	0.000445983	0.000780568	0.000224054	0.000401649	0.00927332	0.000114296	0.000291043	0.003536001	0.000484634	0.0009102	0.000592936	0.000528712	0	0	0.001787945	0.001455823	0.001773891	0.000922671	0.00202606	0.000621452	0.001708022	0.057483184	0.002822557	0.003114238	0.001238697	0.001231184	0.000318927	0.002249572	0.007478005	0.005516054	8.38E-05	0.001666735
INS:repeats:2:5+	0.026234631	0.015097883	0.001185852	0.001653267	0.000255203	0.002336957	0.025987137	0.001010439	0.000819787	0.007712623	0.000699141	0.024716627	0.004602285	0.002052036	0	0	0.003211307	0.003775268	0.00492542	0.000182956	0.004844646	0.001487739	0.011386206	0.274510694	0.006154666	0.007164388	0.009274759	0.002721601	0.002557061	0.013977946	0.003095992	0.024709178	0.001686254	0.012744128
INS:repeats:3:0	0.002856301	0.000724968	0.001044997	0.000622236	0.003275187	0.003610674	0.000688434	0.000236574	0.000195571	0.006339216	3.46E-06	0.004181216	0.004838028	0.007821693	0	0	0.013131153	0.000611325	0.007171927	0.000755827	0.002965506	0.0011934	0.00654898	0.001099834	0.026287151	0.002042418	0.00262065	0.000883335	0.000111954	0.004264526	8.20E-05	0.003254703	0.220056552	0.000269837
INS:repeats:3:1	0.002510246	0.000601302	0.000321508	0.000278296	0.005183549	0.000539118	0.000242285	0.001335346	0.002711709	0.040664265	0.000171467	0.004583959	0.004057598	0.00104557	0	0	0.077651561	0.000756151	0.003639672	0.001602915	0.0044454	0.001275066	0.001439793	0.000956275	0.003851882	0.00152937	0.002508426	0.004052622	0.000628446	0.000648044	0.000368391	0.004351795	8.91E-05	0.000978346
INS:repeats:3:2	0.000343153	0.000146139	0.000140461	0.000143694	0.001081077	0.00066399	0.000438193	0.000124068	0.000401505	0.006315728	0.000184324	0.000649668	0.000554976	0.000252519	0	0	0.01385471	0.000419337	0.000803053	0.000302331	0.00108388	0.000391349	0.000289825	0.001980622	0.002041042	0.001167997	0.000959327	0.000310626	3.86E-05	0.000305894	0.000185463	0.001367259	8.82E-05	0.000168099
INS:repeats:3:3	6.38E-05	8.65E-05	1.40E-05	5.43E-05	3.12E-05	4.91E-05	0.00025942	4.86E-05	8.59E-05	0.000988699	2.95E-06	4.06E-05	4.33E-05	0.000150353	0	0	0.000665146	0.000201021	0.000208388	3.76E-05	0.00092975	6.38E-05	0.000560506	0.002281583	0.000181819	2.52E-05	6.82E-05	0.000290705	9.13E-05	0.00038253	0.000275952	0.000497049	4.10E-05	2.93E-05
INS:repeats:3:4	0.000186707	8.35E-05	3.80E-05	6.73E-05	7.71E-06	2.12E-05	0.000661296	0.000149331	8.57E-05	0.000686475	1.34E-06	0.000418778	1.94E-05	0.000353527	0	0	4.76E-05	0.000687753	2.97E-05	8.07E-05	0.000462886	2.58E-05	0.000887873	0.004249275	0.000138335	2.33E-05	0.001114131	0.000190903	0.000207914	0.000700271	0.000152635	0.003824146	5.24E-05	3.38E-05
INS:repeats:3:5+	0.001139989	0.001204567	4.87E-05	0.000119143	3.56E-05	0.0001771	0.004699576	0.000115677	0.000109823	0.00241285	0.000180131	0.000422422	0.000219557	0.000656532	0	0	0.000702157	0.000379121	0.000163307	1.64E-05	0.003226284	0.000200225	0.002495749	0.031060158	0.000759314	0.001604419	0.001295823	0.001075671	7.81E-05	0.002288996	0.000712405	0.016364569	0.002735032	0.000848696
