MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
4:Ins:R:4	6.20E-05	1.29E-04	1.25E-04	1.01E-04	2.23E-04	9.34E-05	1.31E-04	6.09E-06	5.61E-06	1.56E-04	3.73E-06	4.52E-05	3.30E-04	6.04E-05	1.97E-04	6.58E-05	8.13E-05	1.16E-04	1.19E-04	1.99E-04
4:Ins:R:5	1.29E-04	2.03E-04	3.20E-04	1.18E-04	6.49E-04	1.26E-05	2.02E-04	9.31E-06	2.65E-05	4.33E-04	3.02E-05	3.28E-04	2.84E-04	1.10E-04	3.77E-04	1.00E-05	3.32E-04	3.71E-04	2.73E-04	3.15E-04
5:Ins:R:0	1.03E-03	1.65E-03	9.06E-04	7.07E-04	5.64E-03	2.77E-05	3.13E-03	1.48E-05	5.82E-03	2.94E-03	1.08E-03	1.36E-03	1.00E-02	1.17E-08	4.17E-03	7.47E-09	8.71E-04	1.10E-04	2.48E-03	3.49E-03
5:Ins:R:1	1.47E-04	1.51E-03	1.11E-03	1.41E-03	3.34E-03	9.20E-04	2.18E-03	4.55E-04	5.90E-04	1.13E-03	1.63E-03	3.37E-03	2.59E-03	2.42E-03	1.61E-03	2.33E-03	1.32E-03	3.62E-03	3.50E-03	2.94E-03
5:Ins:R:2	5.27E-05	1.82E-04	1.72E-04	4.65E-05	5.16E-04	1.72E-04	1.61E-04	1.39E-04	9.67E-05	1.10E-04	1.34E-04	2.37E-04	4.00E-04	3.94E-09	2.06E-04	1.49E-05	1.22E-04	2.01E-04	3.27E-04	2.76E-04
5:Ins:R:3	1.11E-05	5.44E-05	8.84E-05	7.10E-05	2.45E-04	1.31E-04	1.03E-04	7.94E-06	6.38E-05	1.36E-04	1.68E-04	2.67E-04	1.76E-04	4.77E-05	1.62E-04	9.58E-05	6.25E-05	3.25E-04	3.18E-04	1.69E-04
5:Ins:R:4	3.07E-05	8.10E-05	4.94E-05	2.98E-05	1.44E-04	9.56E-05	9.60E-05	1.61E-05	6.97E-08	1.02E-04	2.78E-05	1.17E-04	1.12E-04	3.55E-05	9.34E-05	3.95E-06	2.87E-07	1.39E-04	2.10E-04	9.43E-05
5:Ins:R:5	2.40E-05	5.42E-05	3.65E-05	1.87E-05	1.12E-04	1.05E-04	4.94E-05	4.99E-05	0.00E+00	6.22E-05	1.27E-04	1.24E-04	1.56E-05	1.27E-05	5.51E-05	6.62E-05	9.43E-05	1.14E-04	1.31E-04	4.67E-05
2:Del:M:1	6.40E-04	1.22E-03	7.36E-04	5.82E-04	3.09E-03	2.18E-03	1.85E-03	2.46E-04	6.25E-04	1.02E-03	1.82E-03	2.96E-03	2.27E-03	1.44E-03	2.11E-03	8.63E-04	8.65E-04	3.63E-03	3.67E-03	1.89E-03
3:Del:M:1	1.97E-05	2.26E-04	2.88E-04	3.85E-04	1.32E-03	6.02E-04	4.17E-04	1.97E-04	3.85E-04	3.60E-04	2.73E-04	1.20E-03	8.57E-04	9.18E-04	2.29E-04	4.96E-04	2.92E-04	1.60E-03	1.47E-03	9.51E-04
3:Del:M:2	2.47E-04	5.38E-04	5.63E-04	8.28E-04	2.03E-03	1.34E-03	1.46E-03	2.42E-04	1.24E-04	7.62E-04	1.09E-03	1.48E-03	1.04E-03	7.31E-04	1.06E-03	5.31E-04	7.93E-04	1.92E-03	2.80E-03	1.30E-03
4:Del:M:1	1.32E-04	2.75E-04	1.74E-04	2.95E-04	1.14E-03	6.14E-04	3.96E-04	1.46E-04	3.61E-04	4.89E-04	3.74E-04	1.71E-03	6.50E-04	6.89E-04	5.49E-04	3.47E-04	2.32E-04	2.21E-03	1.59E-03	9.40E-04
4:Del:M:2	4.62E-05	3.61E-04	2.28E-04	4.72E-04	1.42E-03	1.11E-03	1.06E-03	2.58E-04	3.89E-04	6.81E-04	1.11E-03	9.59E-04	1.01E-03	4.78E-04	7.56E-04	5.52E-04	5.70E-04	1.96E-03	2.21E-03	1.27E-03
4:Del:M:3	2.41E-04	5.71E-04	4.43E-04	6.08E-04	2.59E-03	1.51E-03	1.61E-03	2.46E-04	2.97E-04	8.24E-04	1.45E-03	1.42E-03	1.87E-03	7.71E-04	1.21E-03	6.33E-04	2.82E-04	1.93E-03	3.08E-03	2.08E-03
5:Del:M:1	2.74E-04	1.19E-03	3.72E-04	7.71E-04	2.16E-03	1.49E-03	1.73E-03	1.61E-03	1.84E-03	1.08E-03	1.47E-03	3.25E-03	2.57E-03	4.89E-03	1.75E-03	3.26E-03	1.64E-03	2.61E-03	2.18E-03	2.02E-03
5:Del:M:2	1.45E-04	6.61E-04	6.22E-04	4.34E-04	1.91E-03	1.53E-03	8.34E-04	1.22E-03	3.68E-04	6.51E-04	1.26E-03	2.51E-03	1.47E-03	3.85E-03	1.26E-03	9.14E-04	1.07E-03	2.16E-03	2.56E-03	1.63E-03
5:Del:M:3	7.75E-05	9.02E-04	2.46E-04	3.15E-04	1.14E-03	1.10E-03	6.90E-04	1.55E-03	3.92E-04	6.87E-04	9.02E-04	9.90E-04	1.36E-03	1.47E-03	7.76E-04	1.19E-03	9.59E-04	8.31E-04	1.15E-03	7.86E-04
5:Del:M:4	8.10E-05	3.76E-04	3.16E-04	3.12E-04	1.01E-03	5.17E-04	7.40E-04	1.21E-03	5.07E-04	4.99E-04	3.77E-04	8.70E-04	1.01E-03	4.23E-04	4.30E-04	7.56E-04	7.17E-04	9.76E-04	7.92E-04	9.13E-04
5:Del:M:5	1.64E-04	2.40E-03	1.09E-03	5.85E-04	1.79E-03	1.35E-03	1.22E-03	1.06E-03	9.44E-04	1.04E-03	1.44E-03	2.00E-03	2.12E-03	3.42E-04	8.77E-04	3.89E-04	2.61E-04	1.99E-03	1.47E-03	1.31E-03
