Sample Names	MutationType	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID9	ID12	ID14	ID19	ID21
SP106825	3:Del:R:5	3.591195827279187e-16	1.2631141946162444e-16	1.9902042958842663e-05	0.0	0.9999800979570406	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	4:Del:R:0	0.008267861859431002	0.0002957452988412842	0.007055679307485322	0.0	0.9843807135342425	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	4:Del:R:1	0.1817011565241411	0.12582846482868962	0.06132561449667245	0.0	0.6311447641504967	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	4:Del:R:2	0.00806678917618024	0.3999133671270941	0.1397092304350163	0.0	0.4523106132617094	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	4:Del:R:3	7.755864802073392e-16	0.0005020778626522688	4.623674402279148e-16	0.0	0.9994979221373463	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	4:Del:R:4	6.602859768384438e-16	2.3223924006465853e-16	3.9363081322351615e-16	0.0	0.9999999999999987	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	4:Del:R:5	0.015748018759569948	0.03379364793123546	0.0007385881025591055	0.0	0.9497197452066355	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	5:Del:R:0	0.00039454856232974824	0.0005361781912278205	0.04021023953736818	0.0	0.9588590337090742	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	5:Del:R:1	0.12261199764132145	0.5643192718752547	0.02282143424600106	0.0	0.2902472962374226	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	5:Del:R:2	0.16563126928940813	0.15358498874971022	0.001745349818695216	0.0	0.6790383921421865	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	5:Del:R:3	0.05424851612331281	0.13379270289930675	5.663841176539248e-15	0.0	0.8119587809773748	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	5:Del:R:4	0.019931526487106405	0.15999190460931306	0.13413725060293794	0.0	0.6859393183006425	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	5:Del:R:5	0.045834091133402394	0.009149862618727984	0.0026791401983846204	0.0	0.942336906049485	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	2:Ins:R:0	0.04596416979705701	0.011182390419882726	0.1443375856006908	0.0	0.7985158541823695	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	2:Ins:R:1	0.0003684225757413901	0.003743588743101753	0.050219883326382546	0.0	0.9456681053547742	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	2:Ins:R:2	0.024834366058921704	0.03423712408284309	0.051350560514216506	0.0	0.8895779493440187	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	2:Ins:R:3	0.21921899980979662	0.04790926788942677	0.1831825669287747	0.0	0.549689165372002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	2:Ins:R:4	0.7888564529974742	0.1578252902151894	0.032824399260012	0.0	0.02049385752732445	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	2:Ins:R:5	0.7798734169782445	0.17292819129528944	0.00013748065287730776	0.0	0.04706091107358888	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	3:Ins:R:0	7.225422373473403e-05	0.0040225743272202805	0.010856775000802142	0.0	0.9850483964482428	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	3:Ins:R:1	0.034011771058934145	0.04829537178029135	0.01830127146561835	0.0	0.8993915856951562	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	3:Ins:R:2	0.03126486564324176	0.04389618479534845	0.03310628003576352	0.0	0.8917326695256463	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	3:Ins:R:3	0.8995078368392503	0.004802921739525557	0.035147208756130734	0.0	0.06054203266509333	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	3:Ins:R:4	0.6155533281788804	0.2893983284179445	0.005173403023401449	0.0	0.08987494037977355	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	3:Ins:R:5	0.6533826070690923	0.28757814375316	1.0325137796058072e-15	0.0	0.05903924917774669	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	4:Ins:R:0	1.2313730739422925e-15	0.0018420667641356472	7.340855348742952e-16	0.0	0.9981579332358624	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	4:Ins:R:1	0.14434442296917588	0.06879668596438943	0.016344090926480828	0.0	0.7705148001399538	0.0	0.0	0.0	0.0	0.0	0.0	0.0
