Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
CPCT02010531T	776	86	173	235	340	64	302	28	148
CPCT02010478TII	0	158	64	37	64	35	19	35	22
CPCT02020535T	1017	14	61	870	145	102	83	0	67
DRUP01010023T	1687	212	190	898	80	103	98	105	91
CPCT02040121T	577	301	328	215	305	118	37	55	40
CPCT02010603T	657	105	251	177	168	62	84	24	91
CPCT02010606T	1781	158	95	346	10	124	267	51	282
CPCT02010609T	885	68	135	306	397	73	12	0	151
CPCT02010450TII	1183	271	705	452	547	93	191	194	85
CPCT02020555T	1264	49	161	649	327	69	3	73	156
CPCT02040117T	1117	286	195	446	274	172	113	12	166
CPCT02040136T	1162	120	183	221	186	132	54	62	125
DRUP01010034T	2792	96	54	1583	0	221	59	42	25
CPCT02010612T	2026	36	22	955	156	184	55	11	75
CPCT02040115T	261	62	81	103	101	135	88	53	0
CPCT02010621T	93	13	23	63	55	84	45	33	8
CPCT02010618T	477	186	108	71	191	159	19	32	40
CPCT02010507T	34	95	409	232	106	162	27	44	82
CPCT02120040T	1333	419	88	751	425	118	125	68	627
CPCT02080138T	2502	31	90	654	127	325	309	33	32
CPCT02040157T	5	111	273	52	119	75	36	68	27
CPCT02040149T	1094	52	73	252	20	174	76	0	44
CPCT02180002T	1985	225	430	325	98	154	104	71	382
CPCT02020417T	194	154	127	139	249	100	98	17	26
CPCT02010455T	547	7	37	148	77	56	29	20	17
DRUP01010010T	212	44	177	44	88	49	40	11	45
CPCT02010452T	30	129	554	33	5	42	23	76	62
CPCT02010451T	70	60	703	57	57	76	67	102	63
CPCT02010450T	1011	133	345	362	330	104	146	68	44
CPCT02010453T	2600	82	190	440	0	178	109	10	95
CPCT02010407T	1644	100	59	952	186	84	7	43	69
CPCT02020429T	483	154	110	95	149	37	70	49	21
CPCT02010477T	12	56	335	19	109	26	33	40	35
CPCT02010478T	7	206	84	32	29	32	20	32	38
CPCT02010484T	158	286	95	30	512	61	128	117	33
CPCT02020452T	660	68	177	216	155	87	138	58	71
CPCT02190006T	772	193	227	156	191	89	58	113	75
CPCT02010481T	22	31	86	48	148	50	22	56	20
CPCT02110015T	889	66	86	197	149	59	43	38	124
DRUP01010016T	302	15	16	145	68	35	18	27	29
DRUP01010017T	1837	132	292	585	85	122	118	59	97
CPCT02080088T	380	19	283	175	286	45	94	70	0
CPCT02020482T	667	61	109	189	146	53	6	6	76
CPCT02010524T	1428	29	105	368	289	60	62	9	58
CPCT02010530T	463	68	132	416	880	96	334	106	11
CPCT02010536T	2229	42	116	916	42	109	47	63	89
CPCT02040093T	48	166	728	8	82	111	36	56	132
