Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
CPCT02060096T	328	950	5	163	108	88	2	52	0	16
CPCT02070167T	181	535	0	179	20	19	0	30	109	22
CPCT02080077T	62	783	0	78	69	45	23	37	0	28
CPCT02300017T	0	917	34	222	14	71	300	23	0	47
CPCT02010590T	642	1506	134	0	490	129	192	150	0	73
CPCT02220022T	185	1075	13	397	50	32	24	53	0	157
CPCT02120031T	357	1146	78	56	194	58	26	95	0	42
CPCT02120030T	167	1103	52	99	121	46	18	74	0	81
DRUP01010025T	111362	83	23004	12478	109	663	871	274	0	172
CPCT02010604T	0	554	38	126	27	78	26	28	0	53
CPCT02100086T	268	0	23	273	137	96	116	96	240	332
CPCT02050199T	253	753	0	0	149	90	128	64	293	76
CPCT02220023T	0	0	546	264	59	144	631	4342	0	375
CPCT02010605T	200	1316	0	299	53	50	0	45	0	22
CPCT02060103T	883	1002	0	93	135	46	90	80	0	66
CPCT02010607T	284	239	40	140	479	78	59	110	212	29
CPCT02010598T	861	505	48	0	55	59	49	35	398	27
CPCT02140047T	350	755	45	0	16	50	106	112	362	71
CPCT02070171T	136	1053	5	213	46	145	0	39	0	55
CPCT02220024T	479	812	76	315	701	108	259	207	0	361
CPCT02160028T	177	1443	38	160	188	40	40	75	0	44
CPCT02370005T	365	649	71	68	86	147	34	14	120	246
CPCT02230024T	11	1079	30	28	213	99	177	78	0	202
CPCT02230032T	414	1257	50	39	90	72	8	58	0	26
CPCT02070185T	145	1139	31	212	140	44	27	171	0	58
CPCT02230027T	128	1557	36	275	49	196	204	65	0	146
CPCT02030357T	137453	27858	38972	2364	166	1229	0	137	0	404
CPCT02080062T	219	1397	0	74	76	148	0	91	0	80
CPCT02330045T	179	1074	31	57	47	83	163	271	0	45
