MutationType	CPCT02060034T	CPCT02020356T	CPCT02050063T	CPCT02030275T	CPCT02070033T	CPCT02030294T	CPCT02070038T	CPCT02080179T	CPCT02010866TII	CPCT02330133T	CPCT02050427T	DRUP01030028T	CPCT02080193T	CPCT02030556T	CPCT02120111T	CPCT02050341T	WIDE01010210T	WIDE01010208T	CPCT02290033T	CPCT02070323T	WIDE01010450T	CPCT02090049T	CPCT02010866T	CPCT02070363T	CPCT02060222T	CPCT02080251T	CPCT02070384T	CPCT02070386T	DRUP01070051T	CPCT02080137T	CPCT02080157T	CPCT02330128T	CPCT02070030T	DRUP01050009T	CPCT02070225T	CPCT02070230T	DRUP01070022T	DRUP01050010T	CPCT02050161T	CPCT02050174T	CPCT02050172T	CPCT02050186T	DRUP01070016T	CPCT02080120T	CPCT02030351T	CPCT02060119T	CPCT02080136T	DRUP01010035T	CPCT02070039T	CPCT02030302T	CPCT02070053T	CPCT02070065T	DRUP01070003T	CPCT02070099T	CPCT02020473T	DRUP01070009T	CPCT02030324T	CPCT02030330T	CPCT02050151T	CPCT02070128T	CPCT02080099T	DRUP01030004T	CPCT02070265T	CPCT02080040T	WIDE01010705T
C[Ins(T):R(8,)]A	1	6	3	8	5	4	10	3	25	10	11	9	6	21	2	4	0	7	2	2	12	16	26	3	2	13	13	14	4	4	426	3	0	10	8	6	4	0	6	1	15	13	4	4	4	7	13	0	1	7	8	1	1	0	2	16	14	14	1	5	11	5	10	12	0
C[Ins(T):R(8,)]C	5	3	4	9	11	5	9	6	35	10	15	11	14	14	1	4	1	11	4	5	11	10	33	9	1	18	7	13	6	2	478	2	1	11	5	6	1	1	9	0	15	12	3	4	5	3	12	1	1	4	7	0	1	2	1	21	21	13	9	3	8	6	20	15	1
C[Ins(T):R(8,)]G	1	6	4	11	5	9	9	1	25	9	14	8	10	22	0	7	3	7	4	5	12	8	23	8	1	14	14	17	7	9	569	6	0	10	8	5	6	0	8	6	19	14	2	7	4	4	15	1	4	3	8	1	5	3	7	21	17	19	6	2	13	11	12	19	1
G[Ins(T):R(8,)]A	2	5	3	15	6	6	11	2	33	11	9	2	9	13	2	6	4	10	5	5	15	9	32	4	1	19	14	21	9	5	451	7	0	10	6	3	3	0	7	8	15	8	3	5	2	3	12	3	3	7	7	1	1	2	1	20	14	13	2	3	13	6	11	12	4
G[Ins(T):R(8,)]C	2	7	2	4	5	6	7	1	37	9	13	6	3	11	1	5	4	7	8	8	12	5	29	4	1	22	12	14	7	5	466	5	0	14	3	8	3	1	9	8	21	14	2	7	4	5	13	1	2	7	8	1	4	1	0	7	17	19	2	2	9	6	6	7	1
G[Ins(T):R(8,)]G	1	8	7	12	8	3	14	0	29	5	11	7	6	11	2	11	3	16	4	1	16	9	25	8	2	23	18	20	12	6	591	7	0	10	7	1	2	0	4	8	26	9	4	9	7	3	12	1	0	6	6	1	2	3	3	21	14	14	5	3	11	4	14	12	1
Del(2,4):R1	6	5	36	27	7	25	7	26	26	48	8	101	9	47	7	6	5	30	20	9	18	42	40	24	7	64	16	43	41	28	169	41	3	40	3	36	26	28	26	11	71	22	39	3	31	10	15	3	29	8	18	7	7	6	5	9	23	20	6	38	26	31	15	17	8
Del(5,):R1	18	14	42	59	15	43	12	33	37	79	14	39	37	52	24	27	5	5	24	26	5	26	71	106	18	125	39	83	88	54	92	78	12	41	48	70	23	52	22	19	93	26	50	24	117	26	27	22	49	13	27	5	13	5	5	14	45	57	10	49	49	38	22	26	7
Del(2,8):U(1,2):R(2,4)	9	11	14	26	11	32	13	19	49	42	24	464	21	30	3	7	7	228	23	7	30	131	57	26	5	44	7	47	20	28	263	25	1	30	17	23	52	11	27	12	56	24	21	19	27	14	20	4	10	11	22	9	6	4	4	17	27	33	11	23	27	34	32	25	6
Del(2,):U(1,2):R(5,)	3	3	3	8	6	14	2	7	20	10	7	44	6	9	0	6	2	41	13	2	2	21	20	13	5	10	6	12	8	14	760	12	1	5	2	6	19	7	3	2	22	12	4	7	7	9	8	0	1	3	20	2	2	0	1	6	7	14	2	4	10	16	7	5	7
Del(3,):U(3,):R2	7	1	6	13	10	25	3	17	19	23	21	40	18	19	1	8	7	139	23	10	33	134	23	25	2	53	12	30	11	21	129	16	0	19	14	6	42	8	14	5	42	21	5	14	21	11	28	2	8	6	7	8	7	8	4	25	23	36	8	4	17	31	22	23	11
Del(3,):U(3,):R(3,)	3	6	3	4	3	9	4	11	10	8	5	11	7	9	1	1	6	88	9	3	17	37	13	16	1	7	6	19	9	14	169	2	0	5	14	2	25	0	5	1	9	16	2	5	6	4	9	2	3	4	6	2	4	1	1	13	7	13	3	3	8	11	16	14	4
