MutationType	SP99325	SP18310	SP17172	SP96133	SP110242	SP21017	SP22383	SP81312	SP19215	SP16886	SP17905	SP18121	SP96118	SP21400	SP18946	SP80615	SP102897	SP98845	SP107012	SP55142	SP53810	SP116697	SP102133	SP125732	SP125746	SP125770	SP77956	SP124384	SP135287	SP85122	SP84384	SP84982	SP84392	SP84439	SP95454	SP94741	SP90209	SP90989	SP93540	SP93227	SP94348	SP94933	SP92364	SP94917	SP92460	SP89909
C[Del(T):R(8,)]G	7461	10281	2894	5726	8478	7284	4519	53	4333	22	65	6271	361	46	128	44	685	560	1594	4	2	44	210	377	3369	422	1	1524	3818	6853	4796	2965	6387	4724	1859	4510	3299	4199	7894	2565	3759	2192	3483	1003	780	885
G[Del(T):R(8,)]A	3622	3844	1376	2370	3537	3946	2990	176	2259	33	92	2452	119	86	217	92	317	271	874	6	1	76	169	209	1500	250	6	587	2279	3179	3286	2180	3312	2883	739	1550	1908	1902	2752	1836	1509	1029	1552	452	346	293
G[Del(T):R(8,)]C	2780	2916	1157	1619	2537	2852	2191	80	1575	15	49	1762	81	30	100	48	243	230	655	3	1	113	141	216	993	256	3	428	1648	2209	2733	1709	2445	2135	538	1110	1130	1278	1988	1153	1038	884	1231	287	220	226
G[Del(T):R(8,)]G	2792	3197	1121	1765	2938	2923	1916	38	1722	5	34	1962	76	23	56	28	241	270	659	0	0	32	99	132	1154	171	2	459	1402	2399	2290	1425	2402	1846	630	1370	1320	1465	2364	1109	1216	755	1218	328	263	265
A[Ins(C):R0]A	136	23	56	52	29	36	15	388	14	430	543	98	0	273	212	935	1	1	0	7	4	11	16	3	9	4	1	10	10	22	22	52	28	220	5	7	9	9	13	14	8	24	25	13	1	1
A[Ins(C):R0]T	45	3	16	15	5	4	1	8	6	15	33	40	0	7	20	141	1	1	0	5	6	0	0	0	0	5	0	1	0	1	2	18	9	82	0	0	0	1	0	6	0	4	1	4	0	0
Ins(C):R(0,3)	298	135	120	120	197	148	119	43	79	69	172	154	11	60	67	188	43	48	83	63	88	44	150	17	100	94	2082	82	64	116	143	79	133	182	22	102	109	59	102	121	80	415	165	29	28	18
Ins(C):R(4,6)	1083	1013	254	625	1206	827	601	39	720	44	121	694	121	48	64	125	133	120	248	59	70	118	618	113	415	712	104	225	571	960	1147	384	957	1079	238	436	591	313	637	689	390	1458	701	135	154	129
Ins(C):R(7,)	806	763	337	475	1108	941	479	21	417	11	20	558	39	25	36	60	77	110	182	7	3	115	612	59	397	504	0	182	410	894	808	458	846	680	283	488	543	395	516	428	373	1194	708	147	139	92
A[Ins(T):R(0,4)]A	238	193	83	161	219	161	108	45	109	94	329	165	19	62	114	246	61	17	99	34	28	54	132	21	76	120	378	45	100	121	124	46	133	184	42	108	296	68	131	353	98	308	168	56	29	20
A[Ins(T):R(0,4)]C	209	103	33	81	134	98	54	20	61	31	132	142	13	22	37	78	47	15	73	21	23	57	72	13	45	78	394	36	58	74	87	27	70	178	31	47	222	22	72	256	44	176	66	24	15	22
A[Ins(T):R(0,4)]G	392	210	38	127	240	161	142	37	139	75	341	247	30	48	94	271	63	33	137	130	230	68	113	23	106	173	446	69	81	131	157	70	199	291	66	99	271	68	128	562	52	269	160	73	30	36
C[Ins(T):R(0,4)]A	164	94	31	60	114	54	57	80	54	129	444	75	18	138	169	317	21	13	88	18	36	29	43	9	50	37	177	28	41	58	69	31	83	84	18	37	269	22	37	395	31	127	41	24	16	9
C[Ins(T):R(0,4)]C	318	122	18	72	109	65	76	94	64	122	382	115	24	111	116	296	33	33	94	19	39	29	70	4	61	56	312	43	63	92	103	39	111	166	42	56	339	26	63	460	56	209	70	30	20	18
C[Ins(T):R(0,4)]G	628	198	30	147	239	139	132	37	108	74	315	231	40	63	93	215	69	68	209	145	233	35	90	14	135	105	341	62	79	137	163	63	162	274	72	102	282	41	122	418	81	367	87	73	41	38
G[Ins(T):R(0,4)]A	59	25	10	27	37	24	19	9	18	5	26	22	6	8	13	17	12	5	31	24	31	10	30	9	21	16	207	10	24	25	29	8	32	30	9	17	36	12	22	20	13	59	25	6	4	2
G[Ins(T):R(0,4)]C	77	34	9	24	47	25	18	6	16	8	14	38	4	4	8	16	6	9	39	20	15	9	18	3	20	16	275	13	13	14	15	7	26	30	8	14	36	11	17	40	12	49	29	13	9	3
G[Ins(T):R(0,4)]G	236	160	39	89	145	120	92	8	83	11	36	160	28	9	17	31	41	17	91	138	207	27	83	12	69	76	264	49	68	87	105	55	127	178	56	82	94	42	94	134	60	279	97	24	42	19
A[Ins(T):R(5,7)]A	1623	1589	535	971	1866	1274	903	818	871	676	1630	1895	269	977	942	1408	202	85	503	32	10	422	1006	137	620	832	50	337	905	1203	1100	515	1197	1244	404	684	6390	487	1047	4446	612	2152	1004	318	243	166
A[Ins(T):R(5,7)]C	1471	1115	327	688	1507	1003	652	557	594	516	1253	2015	202	666	693	1038	173	89	469	47	14	554	738	99	484	801	37	262	632	793	731	267	827	1163	315	521	3707	248	727	3080	376	1510	645	336	192	135
A[Ins(T):R(5,7)]G	2008	1651	502	933	2086	1439	818	275	841	253	712	3078	244	378	359	631	281	171	649	80	30	494	953	148	774	1050	40	361	827	1087	1101	399	1305	1610	506	719	3708	384	1111	2919	571	2275	933	387	262	194
