Sample Names	MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
SP111006	5:Ins:R:3	0.08523260253110387	0.34565254639687	0.27517476960144016	0.11687678095521692	0.10344339106034253	0.07361990945502676
SP111006	5:Ins:R:4	0.016607657380586043	0.41980581326006144	0.5115373554392969	0.04244767466749556	0.002545382664794632	0.007056116587765612
SP111006	5:Ins:R:5	0.026434063714637652	0.5983795778941193	0.29269876253320287	0.016041525733678716	0.027279882446518078	0.03916618767784349
SP111006	2:Del:M:1	0.07094903711728087	0.32187318711297114	0.2212016630563871	0.030510685814945582	0.3091015387629369	0.04636388813547844
SP111006	3:Del:M:1	0.04191512963589716	0.11693512981106388	0.07088848566155884	0.05396910525326367	0.44696202410548996	0.2693301255327264
SP111006	3:Del:M:2	0.07585486548408729	0.3547585884329844	0.1974097557568202	0.01637975642103105	0.2942444683551399	0.061352565549937066
SP111006	4:Del:M:1	0.07110584855645176	0.10060202511945912	0.1509668330619727	0.07754915359142735	0.2864582198122762	0.3133179198584129
SP111006	4:Del:M:2	0.040704883376328604	0.28034766378936055	0.12728124334044882	0.018701625914672792	0.3417184672923208	0.19124611628686852
SP111006	4:Del:M:3	0.08962215176491574	0.21242379167766287	0.21316650074267726	0.03391063603350389	0.32107583454976074	0.12980108523147957
SP111006	5:Del:M:1	0.008197536543254884	0.05154976783625991	0.24145132922487725	0.062477640839134145	0.14150155707952727	0.49482216847694654
SP111006	5:Del:M:2	0.005279591082655432	0.04041591060092496	0.12107644501743482	0.024083353388622414	0.07074336507069043	0.7384013348396719
SP111006	5:Del:M:3	0.007103454591331289	0.022786334454564443	0.12626006990530803	0.021743616023455193	0.05297233351316415	0.7691341915121769
SP111006	5:Del:M:4	0.023474611958531642	0.07954813576314067	0.00497297547409617	0.01166271564473063	0.06600572909170759	0.8143358320677934
SP111006	5:Del:M:5	0.016223927959186035	0.20548901658477228	0.2119006944590339	0.04724061115568327	0.017875276161132537	0.501270473680192
SP110846	1:Del:C:0	0.0320827677644773	0.016966213786383057	0.001826240439960892	0.010836964342891721	0.8687649388820642	0.06952287478422285
SP110846	1:Del:C:1	0.009669324519191367	0.007014524719305047	0.0010582335447687143	0.0064248870469363365	0.9287508413974023	0.0470821887723963
SP110846	1:Del:C:2	0.011255554953046462	0.001955610433172154	9.527779682171427e-05	0.007075384916333805	0.9490668686104408	0.030551303290184906
SP110846	1:Del:C:3	0.09022738101895324	0.03651313514169689	0.003349993746792747	0.003923917039894644	0.8345924817288032	0.03139309132385931
SP110846	1:Del:C:4	0.22928802878555934	0.024935193728743775	0.0030690970368002146	0.0003997237659973475	0.7039021087044781	0.03840584797842114
SP110846	1:Del:C:5	0.5972248912605358	0.010066998225168128	0.003875899039402181	0.009514400153032796	0.3384595603078854	0.04085825101397568
SP110846	1:Del:T:0	0.047432512839423936	0.03937089402590277	0.012054671228348973	0.008818953180004991	0.8198103132675733	0.07251265545874616
SP110846	1:Del:T:1	0.1214169159933068	0.015917465856803877	0.01644871515591289	0.0058566929249648444	0.787614802541614	0.05274540752739757
SP110846	1:Del:T:2	0.09934487656191357	0.053223195521843146	0.0076997108210607726	0.005485599263691858	0.7453434451560437	0.08890317267544692
SP110846	1:Del:T:3	0.18754751880678536	0.038379908664119514	0.009068479290550479	0.0007683498634104128	0.6894097269286217	0.0748260164465127
SP110846	1:Del:T:4	0.40430701289729754	0.03745493484855531	0.009625380847515947	0.0	0.4682066177322173	0.08040605367441389
SP110846	1:Del:T:5	0.9067424668405659	0.016227790396179977	0.008210245325722417	0.002474731003424024	0.016068423501157007	0.050276342932950746
SP110846	1:Ins:C:0	0.05838990615783604	0.010802657932769707	0.8051345832949915	0.06924940876169394	0.024021446652770072	0.03240199719993885
SP110846	1:Ins:C:1	0.04603109328576367	0.18808430237543483	0.03128236796752467	0.03413790794906879	0.6589156068277465	0.04154872159446148
SP110846	1:Ins:C:2	0.050902166806383674	0.05829546424906809	0.00474365366807434	0.010063535507881857	0.8302696154721043	0.0457255642964878
SP110846	1:Ins:C:3	0.09546864764056921	0.21660479901112809	0.0038842946451514487	0.018869749404182797	0.6568863554333078	0.008286153865660699
SP110846	1:Ins:C:4	0.23925619918041918	0.2227267350284806	0.006763014521008816	0.008435904374710255	0.49947174568281044	0.02334640121257068
SP110846	1:Ins:C:5	0.2850173443590191	0.5454758750714254	0.005438750123309541	0.014588410869821522	0.1187620109491723	0.030717608627252237
SP110846	1:Ins:T:0	0.04924184876378886	0.16017394787309436	0.014783803274001844	0.04194034064569073	0.649058504010032	0.08480155543339217
SP110846	1:Ins:T:1	0.0	0.041178458666220344	0.0020647360605087896	0.015330975179565906	0.8947854271255824	0.046640402968122587
SP110846	1:Ins:T:2	0.02038426191222907	0.08573898336479747	0.0027910909921749602	0.012186713040057966	0.8350736822271833	0.0438252684635573
SP110846	1:Ins:T:3	0.04074745174436112	0.14728985215040338	0.0045242434904681945	0.01187503900978538	0.7578433619019427	0.03772005170303931
SP110846	1:Ins:T:4	0.09512046419724804	0.37443076053063407	0.004949424352649098	0.0017328636778545022	0.4851946826120379	0.03857180462957638
SP110846	1:Ins:T:5	0.15480834451513376	0.759822382451119	0.006483711220014873	0.008200554671441316	0.02431652604803808	0.04636848109425311
SP110846	2:Del:R:0	0.09000967653009015	0.03630032987214262	0.0017779945720612252	0.012113717342566065	0.7779324764257226	0.08186580525741743
