Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
WIDE01010048T	33	103	25	7	26	3	15	50	0	27	15	36	12	20	9	27	12	5
CPCT02290037T	54	169	11	27	64	21	107	119	47	19	46	0	60	5	19	38	27	17
WIDE01010249T	22	99	6	16	0	2	18	33	0	24	10	9	48	18	18	12	32	6
DRUP01010148T	77203	7599	22638	0	0	1469	280	2520	0	0	95	0	707	0	202	470	102	350
WIDE01010372T	331	67	1	112	341	106	55	0	379	238	105	24	45	159	124	122	22	33
WIDE01010406T	39	182	35	32	76	28	18	9	88	104	108	45	20	36	31	65	12	21
WIDE01010432T	20	75	16	201	158	33	32	8	111	38	30	0	45	11	16	37	13	12
CPCT02010846T	21	49	18	646	286	78	141	0	111	0	79	70	41	0	30	52	35	28
CPCT02010746T	44	321	12	5	32	16	68	105	54	10	94	160	82	0	6	41	23	20
CPCT02250009T	51	56	8	81	65	34	139	39	59	27	13	47	20	50	19	13	13	6
CPCT02010838T	14	62	5	3	11	4	49	12	0	2	13	40	4	16	3	5	2	3
CPCT02170027T	262	188	0	49	25	29	118	99	69	25	40	85	67	55	57	17	76	15
CPCT02030484T	28	94	11	20	19	23	47	0	9	19	5	6	28	21	30	5	5	3
CPCT02050364T	124	159	41	25	28	48	87	110	16	52	20	99	11	63	35	24	12	25
CPCT02290040T	38	53	7	25	32	10	80	69	63	33	43	17	18	29	18	0	25	12
CPCT02080228T	201	216	6	31	124	47	117	44	92	134	45	36	2	40	75	45	17	4
CPCT02040257T	66	51	12	31	6	45	30	79	0	29	18	0	46	35	23	46	37	16
CPCT02160051T	10	28	6	8	8	7	47	25	0	37	4	0	16	23	0	9	3	9
CPCT02120137T	9	124	6	14	16	14	28	11	0	22	63	7	36	19	13	9	35	8
CPCT02150014T	27	58	1	3	11	1	71	31	18	15	0	53	16	6	12	20	27	4
CPCT02210059T	220	217	0	1365	398	121	156	0	543	0	28	0	48	32	68	39	27	38
CPCT02040254T	50	75	15	18	37	30	46	42	9	49	34	57	41	31	25	60	8	15
CPCT02070344T	12	76	0	34	23	7	56	4	0	24	14	11	15	35	20	19	19	1
CPCT02300043T	32	18	14	162	256	42	65	18	44	54	39	0	23	0	16	78	41	11
CPCT02220047T	10	122	9	681	201	16	117	0	256	39	19	20	25	5	17	1	0	18
CPCT02360011T	88	155	2	33	13	27	37	61	6	35	37	40	23	17	19	21	16	16
CPCT02020711T	15	74	12	146	203	14	32	0	200	29	42	3	26	0	20	42	11	28
CPCT02150016T	149	99	42	22	40	10	60	45	0	1	9	0	92	78	51	14	58	23
CPCT02030258T	129	124	7	8	49	25	120	62	88	7	52	143	21	91	75	30	58	11
CPCT02250010T	528	170	30	35	18	18	57	103	29	36	42	0	47	114	44	22	5	12
DRUP01110005T	28	114	15	0	38	16	88	13	17	10	131	88	54	10	21	30	11	11
DRUP01180001T	504	215	27	596	245	52	99	0	340	36	44	42	112	88	14	16	4	37
CPCT02010863T	11	58	17	48	17	24	39	18	0	35	46	29	37	12	5	22	28	1
CPCT02070352T	27	77	0	11	23	2	32	38	25	30	9	77	31	10	23	8	35	11
CPCT02060179T	26	69	1	21	22	9	87	70	1	42	9	0	42	44	16	0	37	8
CPCT02120148T	11	89	6	13	12	32	59	40	0	1	24	58	63	23	8	29	19	3
CPCT02030500T	13	51	45	19	19	107	18	0	0	91	190	93	79	0	32	702	11	49
CPCT02150017T	15	51	0	409	181	39	39	26	68	39	34	19	24	0	13	14	2	6
CPCT02170029T	19	71	0	20	30	8	35	4	17	32	27	2	35	16	30	25	25	6
CPCT02010886T	182	90	27	35	101	32	53	25	102	128	64	93	70	29	73	52	31	22
CPCT02390029T	16	19	38	16	16	7	32	0	3	29	5	35	36	18	19	30	22	1
CPCT02080243T	103	183	24	864	385	197	115	0	302	96	55	0	33	19	66	84	231	33
CPCT02010890T	21	47	14	18	21	1	63	2	18	14	9	2	16	9	10	6	3	5
