cluster_id	size	retained	medoid	min_cos_sim	mean_cos_sim	max_cos_sim	members
28	2	FALSE	C.H.Biliary.5	0.9612	0.9612	0.9612	C.H.Biliary.5; C.H.Pancreas.4
29	3	TRUE	C.PH.Bladder.12	0.9482	0.9698	0.981	C.H.Biliary.6; C.H.Bladder.9; C.PH.Bladder.12
30	4	TRUE	C.PH.Bladder.6	0.9142	0.9507	0.9747	C.H.Bladder.4; C.H.Head.8; C.PH.Bladder.6; C.PH.Lung.15
31	6	TRUE	C.PH.Colon.7	0.9592	0.9819	0.9992	C.H.Bladder.6; C.H.Colon.6; C.H.Prostate.5; C.PH.Bladder.7; C.PH.Colon.7; C.PH.Prostate.6
32	4	TRUE	C.H.Bladder.10	0.9603	0.9751	0.9948	C.H.Bladder.10; C.PH.Bladder.4; C.PH.Stomach.2; C.PH.Uterus.9
33	4	TRUE	C.PH.MSI.22	0.9091	0.928	0.9439	C.H.Bladder.12; C.P.MSI.12; C.PH.Biliary.8; C.PH.MSI.22
34	9	TRUE	C.P.Lymphoid.2	0.9568	0.9845	0.9996	C.H.Bone.SoftTissue.1; C.H.Breast.15; C.H.CNS.2; C.H.Lung.13; C.P.Lymphoid.2; C.P.Uterus.3; C.PH.Bone.SoftTissue.5; C.PH.CNS.4; C.PH.Stomach.8
35	12	TRUE	C.H.Colon.7	0.9274	0.9673	0.9987	C.H.Bone.SoftTissue.2; C.H.Colon.7; C.H.Lung.7; C.H.MSI.11; C.H.Skin.2; C.P.Pancreas.6; C.PH.Bone.SoftTissue.3; C.PH.Colon.9; C.PH.Lung.7; C.PH.MSI.16; C.PH.Pancreas.7; C.PH.Skin.7
36	11	TRUE	C.PH.Ovary.6	0.9155	0.9676	0.9958	C.H.Bone.SoftTissue.5; C.H.Ovary.5; C.H.Prostate.8; C.P.All.12; C.P.Bone.SoftTissue.1; C.P.CNS.6; C.PH.All.21; C.PH.Bone.SoftTissue.2; C.PH.Lung.14; C.PH.Ovary.6; C.PH.Skin.16
37	5	TRUE	C.PH.Pancreas.5	0.9058	0.9473	0.9963	C.H.Bone.SoftTissue.11; C.P.Biliary.4; C.P.Pancreas.5; C.PH.Biliary.2; C.PH.Pancreas.5
38	3	TRUE	C.H.Breast.12	0.9775	0.9838	0.9937	C.H.Breast.12; C.PH.Breast.10; C.PH.Prostate.11
39	2	FALSE	C.H.Breast.13	0.9842	0.9842	0.9842	C.H.Breast.13; C.PH.Breast.12
