Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
CPCT02020388T	89	37	266	598	44	190	142	33	42	137	13
CPCT02040046T	33	6	410	30	32	35	74	40	59	43	0
CPCT02070036T	242	127	280	76	112	215	68	49	74	65	0
CPCT02070035T	80	0	191	26	57	46	28	37	12	27	0
CPCT02020394T	85	16	273	30	198	15	27	7	63	25	0
CPCT02140026T	127	0	335	30	123	34	61	81	18	45	0
CPCT02140029T	51	170	266	33	85	58	56	54	7	27	0
CPCT02140030T	174	186	280	41	209	58	58	36	47	42	0
CPCT02020656TII	29	43	276	44	53	290	54	28	58	415	4
CPCT02011011T	89	18	556	64	73	231	46	52	66	41	3
CPCT02070269T	70	151	221	31	123	63	49	73	63	52	0
CPCT02330130T	185	64	254	40	67	56	36	93	82	75	0
CPCT02070256T	59	48	151	455	155	61	106	54	26	15	8
CPCT02070425T	312	283	691	21	26	61	57	58	27	72	0
CPCT02080281T	68	53	139	13	82	64	36	34	13	50	12
CPCT02070270T	151	66	187	6	33	84	65	59	12	69	0
CPCT02390037T	105	40	141	31	83	39	67	70	42	30	12
CPCT02140098T	92	34	25	1410	515	106	166	103	135	76	0
CPCT02020888T	29	0	322	15	105	99	26	47	0	48	6
CPCT02340055T	34	27	212	247	114	92	112	12	45	0	1
CPCT02070430T	137	130	307	21	174	87	34	43	24	54	0
CPCT02050418T	147	95	204	24	45	27	56	40	29	40	0
CPCT02340108T	49	3	165	14	155	13	38	21	88	35	3
CPCT02100137T	46	0	274	16	97	30	100	24	36	69	40
CPCT02070433T	34	72	416	42	66	111	40	10	48	54	0
CPCT02070264T	224	177	248	34	197	67	129	37	9	61	0
CPCT02070420T	0	26	58	294	87	50	40	28	18	33	0
DRUP01070028TII	107	17	358	0	0	13	67	30	0	516	0
CPCT02080180T	114	97	215	87	240	42	126	85	74	50	3
CPCT02070446T	22	114	239	17	87	36	32	43	13	65	0
CPCT02020704TII	49472	12005	1735	8	1286	0	317	859	0	179	264
CPCT02220031T	250	102	172	1165	87	87	231	111	73	123	10
DRUP01070071T	65	0	269	871	81	0	123	29	34	491	0
CPCT02140102T	46	44	141	13	92	26	40	45	38	35	2
CPCT02070280T	48	30	142	16	104	80	95	40	18	35	5
CPCT02100194T	12	14	141	20	0	184	19	29	38	33	0
CPCT02070268T	94	106	333	60	363	81	104	11	71	65	0
CPCT02011043T	62	52	205	24	76	18	51	62	20	45	0
CPCT02070449T	10	59	108	16	102	79	40	51	27	53	0
CPCT02340056T	117	130	325	29	112	72	129	26	19	46	0
CPCT02070450T	132	230	384	41	213	68	41	39	61	64	0
CPCT02220069T	81	57	470	31	160	4	131	102	98	154	1
CPCT02070452T	30	0	150	13	95	81	35	67	24	36	7
DRUP01070038T	19304	1474	1625	58	0	146	270	288	25	320	0
CPCT02150043T	30	28	75	22	80	29	33	25	21	30	0
CPCT02090033T	69	75	141	64	151	15	103	0	34	163	0
