Samples	ID1	ID2	ID6	ID8	ID9	ID11	ID16	ID19	ID21	ID23
CPCT02050312T	288	110	0	0	0	0	0	101	0	0
CPCT02270017T	228	202	0	104	0	0	0	173	0	0
CPCT02060210T	262	105	0	85	0	0	0	155	0	0
CPCT02090039T	444	202	0	0	0	0	0	0	0	0
CPCT02110060T	473	147	0	0	0	0	0	131	0	0
CPCT02130044T	282	100	0	0	0	0	0	169	0	0
CPCT02130047T	501	548	0	0	0	0	0	217	0	0
WIDE01010068T	745	343	0	0	0	0	0	0	0	0
WIDE01010103T	86	15	0	41	0	0	0	34	0	0
CPCT02440009T	391	372	0	0	0	0	0	174	0	0
WIDE01010243T	311	91	0	0	0	0	0	0	0	0
CPCT02130079T	223	157	0	0	0	0	0	149	0	0
CPCT02130082T	480	80	0	0	0	0	0	188	0	0
CPCT02210054T	349	251	0	0	0	0	0	0	0	0
CPCT02120131T	237	252	0	0	0	0	0	149	0	0
CPCT02370030T	277	109	0	121	0	0	0	243	0	0
CPCT02090047T	420	0	1133	589	0	0	0	412	0	0
CPCT02130118T	430	261	0	0	0	0	0	0	0	0
CPCT02080238T	583	280	0	0	0	0	0	0	0	0
CPCT02130120T	596	181	0	0	0	0	0	203	0	0
CPCT02030501T	272	60	0	0	0	0	0	143	0	0
CPCT02190041T	638	637	0	0	0	0	0	0	0	0
CPCT02130133T	174	147	0	83	0	0	0	121	136	0
CPCT02130129T	197	102	0	0	0	0	0	87	0	0
CPCT02290049T	500	279	0	0	0	0	0	160	0	0
CPCT02380050T	201	84	0	85	0	0	0	187	0	0
CPCT02090060T	285	247	0	0	0	0	0	147	0	0
CPCT02210068T	249	78	271	243	0	0	0	161	0	0
CPCT02410012T	366	67	0	0	0	0	0	132	0	0
DRUP01090022T	370	152	745	305	0	0	0	0	0	0
CPCT02050246T	640	104	0	0	0	0	0	236	0	0
CPCT02050244T	534	302	0	0	0	0	0	223	0	0
CPCT02060111T	205	0	367	260	0	0	0	206	0	0
CPCT02050070T	85	44	0	61	0	0	0	145	0	0
CPCT02250001T	237	134	208	0	0	0	0	161	0	0
CPCT02070231T	460	190	0	0	0	0	0	0	0	0
CPCT02210016T	20728	177857	0	0	0	0	0	0	0	0
CPCT02070132T	384	217	0	0	0	0	0	0	0	0
CPCT02180029T	171	0	0	96	0	0	0	143	0	0
CPCT02050195T	162	71	0	95	0	0	0	0	0	145
CPCT02060107T	746	299	0	0	0	0	0	0	0	0
CPCT02070177T	154	55	0	0	0	0	0	83	0	74
CPCT02030366T	679	229	0	0	0	0	0	0	0	0
CPCT02050223T	297	162	0	0	0	0	0	164	0	0
CPCT02060116T	163	158	0	0	0	0	0	76	0	0
CPCT02050239T	342	279	0	0	0	0	0	189	0	0
CPCT02210031T	158	64	178	111	0	0	0	142	0	0
CPCT02230035T	501	223	0	0	0	0	0	194	0	0
CPCT02050089T	1571	2849	0	0	0	0	0	0	0	0
CPCT02180009T	0	168	1436	315	278	0	0	0	0	0
CPCT02330014T	181	58	0	0	0	0	0	0	0	0
CPCT02230001T	125	34	0	0	0	0	0	0	0	0
CPCT02040083T	310	88	0	0	0	0	0	141	0	0
CPCT02180020T	790	507	1064	0	0	0	0	0	0	0
CPCT02050135T	492	167	907	361	0	0	0	253	0	0
CPCT02020483T	455	402	0	0	0	0	0	0	0	0
CPCT02080091T	572	207	0	0	0	0	0	0	0	0
CPCT02260012T	376	121	0	140	0	0	0	239	0	0
CPCT02210036T	896	224	0	0	0	0	0	306	0	0
CPCT02130014T	237	209	0	0	101	0	0	0	0	0
CPCT02130010T	585	374	0	0	0	0	0	0	0	0
CPCT02250002T	199	141	0	0	0	0	0	140	0	0
CPCT02090027T	149	102	0	0	0	0	0	0	0	72
DRUP01070119T	1794	7106	0	0	0	0	0	0	0	0
CPCT02050447T	583	205	0	0	0	0	0	0	0	0
CPCT02330135T	205	116	0	0	0	0	0	0	0	120
CPCT02200008T	263	166	0	0	0	0	0	0	0	0
CPCT02200009T	109	71	0	46	0	0	0	59	0	66
