MutationType	SP1086	SP1003	SP1677	SP1305	SP963	SP1144	SP1132	SP1712	SP1114	SP1431	SP975	SP1059	SP1419	SP1009	SP1724	SP96136	SP967	SP1781	SP1174	SP953	SP1377	SP1365	SP1491	CPCT02060013T	CPCT02100026T	CPCT02070020T	CPCT02030269T	CPCT02010944TIII	CPCT02020867T	CPCT02070272T	CPCT02020648T	CPCT02020362T	CPCT02440020T	CPCT02210077T	CPCT02070445T	CPCT02020894T	CPCT02020896T	CPCT02140101T	CPCT02210040T	DRUP01010020T	CPCT02020902T	CPCT02070443T	CPCT02080295T	CPCT02020916T	CPCT02020915T	CPCT02160036T	CPCT02120184T	CPCT02050315T	CPCT02120182T	CPCT02020940T	CPCT02010712T	CPCT02070294T	CPCT02070299T	CPCT02050437T	CPCT02050436T	CPCT02020952T	CPCT02020642TII	CPCT02020958T	CPCT02020684T	WIDE01010111T	CPCT02020958TII	CPCT02020972T	CPCT02020971T	CPCT02330103T	WIDE01010148T	CPCT02070480T	CPCT02360014T	CPCT02140107T	CPCT02070485T	WIDE01010202T	CPCT02020583TII	CPCT02020703T	CPCT02020973T	CPCT02020940TII	WIDE01010230T	CPCT02320002T	CPCT02050351T	CPCT02020979T	CPCT02080315T	CPCT02120203T	DRUP01050023T	CPCT02020983T	CPCT02140034T	WIDE01010280T	CPCT02020984T	CPCT02070154TII	CPCT02020986T	CPCT02020988T	CPCT02050445T	CPCT02070331T	CPCT02020989T	CPCT02050356T	WIDE01010412T	CPCT02140110T	CPCT02020717T	CPCT02130095T	DRUP01030012T	CPCT02070336T	CPCT02070332T	CPCT02050371T	CPCT02100178T	CPCT02020767T	CPCT02140072T	CPCT02060112T	CPCT02170032T	DRUP01070046T	WIDE01010565T	CPCT02020787T	CPCT02020778T	CPCT02050385T	CPCT02130142T	CPCT02020800T	CPCT02050395T	DRUP01070048T	CPCT02020817T	CPCT02080263T	CPCT02010944T	CPCT02020832T	CPCT02050351TII	CPCT02120168T	CPCT02440016T	CPCT02010935T	CPCT02010963T	CPCT02070401T	CPCT02230056T	CPCT02040169T	CPCT02020859T	CPCT02020633TII	CPCT02020621TII	CPCT02020586T	CPCT02070237T	CPCT02080273T	CPCT02070410T	CPCT02020600T	CPCT02010963TII	CPCT02120056T	CPCT02020840T	CPCT02040164T	CPCT02070244T	CPCT02020619T	CPCT02020633T	CPCT02010663T	CPCT02020614T	CPCT02290020T	CPCT02020632T	CPCT02050103T	CPCT02100072T	CPCT02100076T	CPCT02100077T	CPCT02070154T	CPCT02330034T	CPCT02070156T	CPCT02070162T	CPCT02070172T	CPCT02070188T	CPCT02270003T	CPCT02160026T	CPCT02070149T	CPCT02080119T	CPCT02110041T	CPCT02050216T	CPCT02070194T	CPCT02330046T	CPCT02070204T	CPCT02120020T	CPCT02260007T	CPCT02020583T	CPCT02070041T	CPCT02070043T	CPCT02050086T	CPCT02070044T	CPCT02220005T	CPCT02070057T	CPCT02330015T	CPCT02140037T	CPCT02070096T	CPCT02040064T	CPCT02070094T	CPCT02070102T	CPCT02050124T	CPCT02060073T	CPCT02060082T	CPCT02040105T	CPCT02010665T	CPCT02020629T	CPCT02080164T	CPCT02120080T	CPCT02050289T	CPCT02050297T	WIDE01010621T	WIDE01010461T	CPCT02120204T	CPCT02120206T	WIDE01010518T	CPCT02020991T	WIDE01010609T	CPCT02020993T	WIDE01010723T
T[Ins(C):R6]T	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	0	2	1	0	1	0	0	0	0	23	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	2	11	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	32	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	1	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	1	0
T[Ins(C):R7]A	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	3	3	0	0	1	0	1	0	3	0	0	0	1	0	2	2	2	1	0	0	2	1	64	2	1	3	0	0	3	0	1	0	0	3	0	1	1	0	2	2	1	0	1	1	1	0	1	3	0	0	0	3	2	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	33	1	0	1	0	1	1	1	0	1	0	1	0	0	0	0	1	1	1	2	1	0	0	2	0	0	2	0	2	0	0	1	1	0	0	1	2	0	4	8	0	0	0	0	2	118	2	2	3	0	0	2	2	0	0	0	2	2	1	1	0	1	0	2	1	1	0	0	1	0	0	0	1	0	1	2	0	1	1	0	5	7	1	0	0	0	4	3	0	0	0	0	0	1	0	2	1	0	1	0	0	0	0	1	0	0	2	2	2	0	0	0
T[Ins(C):R7]G	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	18	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	6	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	1	1	1	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
T[Ins(C):R7]T	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	1	0	12	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	17	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	35	1	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	2	5	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	5	0	0	0
T[Ins(C):R8]A	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	2	2	1	1	2	0	0	0	51	0	1	1	0	0	1	2	0	0	0	3	2	1	1	0	0	3	0	0	2	0	1	0	0	3	0	0	1	2	1	1	0	0	0	1	2	0	1	0	0	1	0	0	0	0	1	24	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	5	15	0	0	0	0	0	84	0	2	2	1	0	2	0	2	0	2	0	0	1	0	0	0	0	1	0	2	0	1	1	1	0	0	0	4	0	0	0	0	1	1	2	14	0	1	0	0	0	2	0	1	0	0	0	1	0	1	0	0	2	0	0	0	1	0	1	0	1	2	1	0	1	1
T[Ins(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	16	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
T[Ins(C):R8]T	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	13	0	2	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	3	2	0	0	0	1	0	36	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
T[Ins(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R0]A	1	2	1	5	2	1	1	1	1	1	1	5	1	3	2	0	0	1	1	1	1	0	1	1	2	7	0	1	22	4	2	2	5	4	2	2	2	5	7	97	1	4	8	0	6	1	2	1	3	1	11	2	6	6	5	6	16	2	0	1	2	7	2	4	10	3	8	3	2	10	11	6	6	0	0	5	1	3	1	4	1	2	1	2	2	5	41	4	1	3	4	1	1	1	5	1	12	8	2	4	4	3	5	1	4	3	7	2	6	7	3	5	3	4	2	1	0	4	4	0	2	3	5	2	12	15	2	9	0	1	5	101	11	3	4	4	4	2	4	5	4	4	5	7	3	6	2	3	1	5	3	2	3	1	5	1	2	2	6	9	1	4	2	3	4	1	14	30	6	2	5	7	5	5	3	5	3	3	5	3	2	7	3	3	5	4	3	4	4	3	0	6	3	8	5	4	2	4
A[Ins(T):R0]C	1	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	2	0	0	0	0	1	0	0	0	6	0	1	2	0	2	1	0	0	2	1	0	0	0	0	2	0	2	0	2	1	0	0	1	0	1	2	0	0	4	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	2	1	0	0	0	1	1	0	0	1	0	2	0	2	1	0	3	0	0	0	1	0	1	1	2	3	0	1	0	0	1	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	2	0	1	1	3
A[Ins(T):R0]G	0	0	0	3	0	0	0	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	1	2	2	1	2	1	1	1	0	0	1	1	9	1	0	2	1	0	0	2	1	1	1	0	2	1	0	0	2	8	4	0	2	3	0	0	3	1	0	6	2	1	1	0	2	1	1	0	0	0	3	2	2	0	1	1	2	0	0	16	1	0	0	0	0	1	0	1	1	2	3	3	0	1	0	2	0	0	2	2	0	4	1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	4	3	0	0	4	0	1	12	0	3	11	1	0	0	0	0	0	1	1	0	0	2	0	2	0	0	1	1	1	0	3	0	1	2	0	1	1	2	0	2	0	1	0	3	0	1	0	0	4	2	0	0	0	1	2	1	0	1	1	1	4	1	0	1	0	0	0	2	1	1	2	1	0	1
A[Ins(T):R1]A	1	1	2	5	0	2	1	0	2	1	2	3	1	3	3	3	1	0	0	1	2	2	3	6	2	3	2	1	6	3	3	6	1	4	0	3	3	5	2	10	6	4	1	4	2	1	1	1	2	7	4	2	1	4	3	1	11	0	2	3	1	7	1	4	1	0	1	2	6	0	8	4	3	5	0	4	1	1	4	3	1	2	2	0	0	3	13	5	2	2	1	1	0	2	4	1	8	6	0	1	1	1	1	1	2	3	2	3	5	5	2	1	0	2	2	3	2	5	2	3	2	3	2	2	9	6	3	4	4	1	1	16	3	4	3	2	2	2	7	4	3	1	5	2	4	2	0	2	1	2	6	7	1	5	3	1	6	6	3	5	1	2	5	0	1	1	10	5	5	4	1	3	4	3	3	2	0	4	1	2	3	1	4	1	2	3	1	2	2	4	3	5	4	2	3	4	2	10
A[Ins(T):R1]C	0	0	0	2	1	0	0	0	0	0	1	2	1	1	1	1	0	1	0	2	0	1	0	0	0	7	1	0	2	0	1	2	2	0	0	1	1	6	1	2	1	0	0	2	0	0	1	0	0	0	0	0	1	1	1	0	3	1	0	0	1	2	0	0	4	0	0	1	1	1	0	0	0	0	1	0	0	0	2	4	0	0	0	0	0	1	3	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	1	1	3	0	3	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1	0	1	0	1	0	0	1	2	0	1	3	1	0	0	1	2	1	0	0	2	1	0	1	2	0	1	0	0	0	0	1	1	3	0	1	0	1	1	1	0	1	3	2	2	0
A[Ins(T):R1]G	2	0	1	3	3	1	0	0	1	0	1	7	0	0	0	1	0	1	0	2	0	0	0	1	2	11	0	1	2	2	1	6	1	1	2	0	1	4	0	6	0	0	0	1	1	2	0	3	0	2	1	1	3	3	3	2	2	0	1	3	0	3	0	3	0	0	2	3	4	0	4	1	2	2	0	4	2	0	2	0	2	1	3	0	3	3	4	1	0	0	0	1	1	1	0	1	2	2	0	4	0	1	2	2	2	1	2	0	5	3	1	0	1	2	0	1	1	2	2	0	0	0	2	0	8	4	1	0	1	5	2	8	3	0	3	1	2	3	5	1	0	0	2	1	4	0	0	3	0	3	2	0	0	0	1	0	2	0	2	2	0	0	0	2	2	0	4	0	0	1	0	1	4	2	1	3	0	0	2	5	0	1	2	4	5	3	0	2	2	0	2	0	0	3	1	3	0	2
A[Ins(T):R2]A	0	1	0	2	0	1	2	0	0	1	1	2	0	3	1	1	0	2	1	1	1	2	0	1	1	1	2	2	4	4	0	3	1	1	2	2	1	6	0	21	0	2	4	0	1	1	2	1	0	6	3	2	2	3	4	3	3	3	2	3	3	5	0	3	3	3	3	3	4	1	1	2	2	7	1	1	0	1	3	0	0	1	3	0	0	3	18	5	0	2	4	1	1	0	1	1	0	4	0	2	4	3	4	0	2	1	3	0	1	3	1	1	0	1	0	2	2	3	0	0	1	3	3	1	2	9	0	2	1	1	2	23	5	0	4	3	0	3	8	4	0	3	3	0	1	1	0	1	0	2	0	2	0	1	2	1	0	2	0	3	1	2	2	0	1	2	0	7	4	1	0	0	3	0	3	1	1	0	0	3	0	2	3	0	1	1	2	0	1	3	1	1	2	1	1	3	2	0
A[Ins(T):R2]C	0	1	0	1	1	0	0	0	1	2	0	1	0	5	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	2	2	4	1	0	0	0	0	1	1	3	0	0	0	1	0	0	0	0	0	1	2	0	1	0	2	1	3	0	0	2	0	1	0	2	3	1	1	2	1	0	1	1	0	2	1	0	0	0	1	2	0	0	0	1	0	1	4	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	2	0	1	0	1	1	0	0	0	1	1	1	0	0	1	2	1	1	0	0	0	11	3	2	1	1	0	3	3	2	0	0	1	0	2	2	0	0	1	1	3	0	0	1	4	1	0	0	1	1	0	0	0	0	0	0	1	2	1	0	0	0	1	3	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	1	2	1	0	1	0	0	1
A[Ins(T):R2]G	0	3	0	2	1	1	1	0	1	1	1	5	2	1	1	0	1	2	1	0	1	0	0	2	0	2	1	1	0	0	1	4	1	0	1	0	0	2	0	23	1	0	0	0	0	0	0	0	0	3	1	1	3	2	1	3	4	2	0	3	2	1	1	2	0	0	0	0	1	1	1	2	1	4	0	1	2	0	4	1	0	1	4	2	1	0	18	1	1	1	1	1	2	0	0	1	1	5	2	0	0	1	0	1	2	1	1	0	2	0	1	0	1	1	0	1	1	2	2	1	0	0	3	1	17	7	0	1	0	0	0	30	0	1	3	0	3	2	10	5	1	1	1	1	1	1	0	1	0	0	5	1	0	0	0	0	2	0	2	3	1	1	0	2	3	1	1	5	2	1	0	1	3	2	5	1	0	3	0	0	0	0	1	0	0	5	1	1	0	2	1	4	0	0	0	3	1	1
A[Ins(T):R3]A	0	2	1	1	1	1	0	1	1	0	0	0	1	2	0	0	1	1	1	1	0	0	1	0	0	2	0	1	0	0	0	2	1	0	2	3	0	2	2	18	1	1	2	1	1	0	3	1	0	1	2	0	2	1	0	2	1	0	0	4	0	3	1	0	3	0	3	1	0	1	1	1	2	1	0	2	0	1	2	0	0	0	2	2	1	0	16	4	0	2	1	1	1	1	2	0	3	2	0	0	2	2	1	2	0	2	3	2	2	1	1	0	1	1	1	1	1	0	0	0	2	0	2	0	3	6	1	1	2	0	0	16	4	1	2	2	0	3	8	6	1	0	3	0	0	1	0	2	0	0	2	2	1	0	0	1	0	0	3	5	2	2	0	4	3	0	2	10	3	0	0	0	4	1	0	1	0	1	0	1	0	1	2	0	0	1	1	1	1	1	0	1	0	0	2	0	0	2
A[Ins(T):R3]C	0	2	0	2	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	1	0	2	0	0	0	1	0	0	2	0	0	0	3	0	0	2	0	4	0	11	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	1	3	0	0	1	7	0	0	1	1	0	0	0	3	1	0	5	0	1	0	0	1	0	0	0	0	0	0	2	0	3	0	1	0	0	0	1	0	1	0	0	0	0	1	3	0	2	0	1	0	11	4	1	0	0	0	1	4	0	1	1	1	1	0	0	0	1	0	0	2	0	2	2	0	1	0	2	1	1	0	0	1	2	1	0	1	3	1	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	2
A[Ins(T):R3]G	0	1	0	0	0	0	0	1	2	0	0	1	1	2	1	2	0	1	0	1	0	0	0	2	0	3	0	0	1	2	0	0	1	2	1	2	0	2	0	8	0	2	3	0	1	0	0	0	0	1	3	0	4	2	3	1	2	1	0	2	1	1	0	2	0	1	0	0	1	0	2	2	2	2	0	1	2	1	1	1	0	0	3	0	3	0	11	1	0	0	1	0	1	2	1	0	1	1	2	2	0	0	2	0	0	0	1	0	2	4	1	0	1	1	0	0	0	2	2	0	2	0	1	0	5	4	1	0	3	1	1	25	2	1	1	0	2	0	6	1	0	0	1	1	1	1	0	1	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	2	1	2	3	1	0	0	0	3	2	0	3	0	0	0	0	0	2	2	1	1	0	0	1	0	0	1	1	1	1	0	1	0	0
A[Ins(T):R4]A	0	0	2	0	0	0	3	0	0	2	0	0	0	0	0	0	1	2	0	1	2	1	1	1	0	1	0	0	0	2	0	2	1	2	2	1	0	5	2	34	1	0	2	0	1	1	0	2	0	1	7	0	5	2	1	1	1	2	0	0	2	1	0	0	3	1	3	2	1	1	3	0	1	4	1	0	0	2	1	2	1	1	0	1	0	2	29	1	0	1	0	0	0	0	3	1	3	3	0	1	0	1	3	0	1	0	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	6	1	1	3	0	0	2	46	4	2	2	1	1	2	5	4	2	0	2	0	2	2	0	2	1	0	1	1	0	1	0	1	2	0	2	8	0	0	1	2	3	0	3	7	1	0	1	0	6	1	1	1	0	2	0	2	0	1	1	0	1	1	0	0	1	0	1	1	2	1	3	0	2	0
A[Ins(T):R4]C	0	2	0	2	1	0	0	1	0	1	0	3	2	0	1	0	0	4	2	1	0	3	1	0	0	2	1	0	1	2	2	3	4	0	3	0	0	2	2	27	0	1	6	0	0	0	1	0	1	1	1	0	2	2	0	1	0	2	0	1	2	0	1	3	3	2	0	4	3	0	2	1	0	1	1	0	0	2	1	2	1	1	1	1	0	1	26	1	1	1	1	0	1	1	2	2	2	1	0	0	1	0	2	0	0	0	1	0	1	1	3	0	0	0	0	1	0	1	0	0	0	0	0	0	17	4	0	1	1	1	1	47	2	1	0	1	0	3	2	1	0	1	0	2	6	3	0	2	0	0	2	2	0	0	2	0	1	0	2	4	1	0	1	2	2	1	1	6	0	0	0	2	1	0	0	1	0	2	0	2	0	1	0	0	1	1	1	0	1	1	0	2	2	1	0	1	2	0
A[Ins(T):R4]G	0	4	1	1	0	2	0	0	3	3	3	2	3	1	0	2	1	1	0	1	0	0	2	2	1	1	1	2	2	2	2	3	1	3	1	0	0	2	4	34	2	2	3	1	1	0	1	2	3	1	2	1	1	2	0	2	0	2	1	4	2	4	0	1	2	0	1	0	1	0	4	0	3	2	3	0	1	0	1	1	0	1	0	2	0	0	24	0	1	1	1	0	0	1	1	1	2	1	1	4	0	1	2	1	0	0	0	0	1	0	1	0	1	2	0	1	2	1	1	0	1	0	3	1	14	4	0	0	0	0	0	50	4	2	4	2	1	3	3	4	0	1	1	0	1	0	2	1	0	0	1	2	0	0	0	1	1	0	2	6	2	0	1	1	1	1	4	4	1	0	0	0	4	0	0	4	1	0	0	2	0	4	0	2	0	2	1	1	0	1	1	2	1	2	0	1	0	0
A[Ins(T):R5]A	3	1	0	2	1	2	0	1	0	3	3	3	2	2	3	3	0	6	4	0	1	0	0	1	1	1	1	1	1	6	4	3	6	4	7	3	1	5	5	110	3	0	3	3	0	1	1	1	2	1	7	0	3	4	1	0	5	0	2	2	0	6	0	3	8	1	1	1	4	3	8	1	6	3	2	1	3	0	3	2	0	2	1	6	1	6	58	3	3	2	2	2	2	2	0	2	6	4	2	3	4	0	3	2	1	2	1	1	2	2	1	0	5	2	2	3	1	5	3	0	0	0	0	3	39	11	0	2	1	1	1	173	7	3	1	0	2	10	8	3	3	3	2	3	3	2	1	3	1	4	0	2	3	4	4	3	0	1	1	5	4	0	0	6	0	2	7	22	4	0	0	1	4	7	0	5	3	1	1	5	0	1	2	0	4	2	1	2	0	1	1	4	2	5	2	3	3	2
A[Ins(T):R5]C	1	2	3	4	0	1	0	4	0	3	4	2	10	3	0	3	5	3	4	6	1	1	1	0	4	5	0	2	2	8	2	4	8	5	4	3	0	7	7	94	3	1	9	0	1	3	1	2	1	3	8	0	1	5	2	5	9	2	0	6	2	7	4	3	9	0	7	3	3	6	7	2	4	3	5	2	0	6	3	2	4	5	1	4	4	10	33	6	2	6	6	1	0	8	0	1	7	3	0	2	0	1	6	3	1	1	0	1	2	5	3	0	2	0	4	2	2	4	1	1	0	1	3	1	43	6	1	2	1	2	4	135	7	7	2	2	4	4	5	5	0	1	2	2	7	4	0	5	1	6	0	4	5	1	2	2	0	1	3	11	3	1	2	1	8	0	6	21	3	1	0	3	7	2	3	6	1	1	0	2	0	5	5	0	4	1	2	3	5	2	4	4	2	7	6	2	1	2
A[Ins(T):R5]G	3	0	2	3	2	0	3	3	5	1	0	4	2	2	1	2	1	5	4	3	1	5	3	1	0	1	2	2	2	7	1	5	5	3	3	0	0	1	5	95	1	0	5	2	1	1	1	1	1	1	3	3	5	6	7	2	6	6	0	4	6	5	1	1	3	1	4	2	4	2	3	3	3	4	0	0	0	3	2	3	4	7	4	1	1	8	39	1	4	1	1	0	4	3	1	1	9	6	0	4	0	1	2	2	0	1	5	2	2	3	5	2	3	1	3	2	2	2	2	0	3	1	3	2	39	10	1	5	7	1	3	143	4	3	3	5	1	7	6	7	4	4	7	2	4	1	2	4	2	3	5	4	8	1	5	3	3	1	2	7	7	1	0	6	4	3	5	23	4	1	1	1	12	2	1	3	1	6	1	4	0	7	4	1	3	3	1	4	5	2	2	7	4	3	2	3	3	3
A[Ins(T):R6]A	4	6	5	5	3	0	2	2	1	5	8	8	7	5	2	2	2	7	12	3	4	8	1	0	3	9	2	3	7	18	1	1	15	8	6	3	2	11	11	240	6	4	20	3	4	5	6	3	7	0	25	3	7	17	4	12	4	2	0	7	2	16	5	7	9	2	5	3	6	6	22	8	7	3	2	2	5	7	7	2	8	10	2	4	7	13	86	9	6	11	9	2	4	2	3	1	22	4	5	3	5	2	9	6	3	2	3	4	5	12	9	2	4	1	7	7	4	5	6	0	5	5	5	5	63	32	1	3	5	7	6	341	17	12	7	7	5	17	5	7	1	4	10	6	16	6	1	0	3	6	4	6	5	0	8	8	4	5	8	11	7	2	2	8	12	4	26	49	8	2	3	5	5	13	8	8	2	7	3	13	0	13	6	1	12	6	1	4	9	2	8	12	7	15	9	5	6	4
A[Ins(T):R6]C	4	7	5	8	5	0	7	6	5	11	10	7	6	5	3	5	5	10	13	10	1	8	6	4	4	3	2	3	5	19	6	9	14	5	7	5	4	14	11	203	3	6	18	2	4	3	6	1	6	2	28	5	6	15	6	6	11	4	2	5	4	15	5	7	14	3	7	5	7	4	16	9	6	5	6	2	1	5	2	2	6	5	3	11	3	12	48	7	5	11	12	2	2	4	5	7	22	2	1	3	11	4	8	6	4	5	0	3	6	5	7	8	7	7	2	6	3	6	3	1	3	4	7	4	68	25	2	3	6	3	8	295	14	6	9	4	2	14	7	14	3	5	5	7	24	10	8	4	2	10	6	8	3	2	6	7	7	2	9	22	13	2	2	7	4	3	22	31	9	1	1	5	13	10	8	10	0	6	4	13	2	12	5	2	9	2	6	3	6	4	5	11	11	11	3	4	3	4
