MutationType	CPCT02020389T	CPCT02080033T	CPCT02060156T	DRUP01340014T	DRUP01010121T	CPCT02130034T	CPCT02260015T	CPCT02220071T	CPCT02010710T	CPCT02340068T	CPCT02130050T	DRUP01060016T	CPCT02260017T	CPCT02020682T	DRUP01030013T	CPCT02130059T	WIDE01010296T	CPCT02380044T	CPCT02060117T	CPCT02080220T	CPCT02210056T	CPCT02020734T	CPCT02020716T	CPCT02080226T	DRUP01080014T	DRUP01270003T	CPCT02190044T	CPCT02130131T	CPCT02220054T	CPCT02330075T	CPCT02130134T	CPCT02130148T	CPCT02070381T	DRUP01070053T	DRUP01060025T	DRUP01100007T	CPCT02380019T	CPCT02020598T	DRUP01070059T	CPCT02080152T	CPCT02070406T	CPCT02450002T	DRUP01070024T	DRUP01060027T	CPCT02030381T	DRUP01220005T	CPCT02370010T	CPCT02020623T	CPCT02290023T	DRUP01010022T	CPCT02070159T	CPCT02030354T	CPCT02020565T	CPCT02060114T	CPCT02060118T	CPCT02220002T	DRUP01030002T	CPCT02070060T	CPCT02030320T	CPCT02060035T	CPCT02070110T	CPCT02020492T	CPCT02030327T	CPCT02020503T	CPCT02380029T	CPCT02020636T	CPCT02130013T	DRUP01110002T	WIDE01010639T	DRUP01010167T	WIDE01010570T
G[Ins(T):R(8,)]A	2	13	9	2	3	8	3	74	2	2	7	3	9	14	319	12	14	5	9	19	9	11	4	5	167	9	2	9	13	21	4	6	2	4	10	22	9	0	2	165	2	16	4	5	12	14	10	14	7	308	10	6	11	4	3	3	13	8	21	14	4	1	6	9	318	4	8	671	11	298	8
G[Ins(T):R(8,)]C	6	14	11	1	6	8	10	103	5	3	15	3	9	23	292	14	18	9	12	19	9	7	7	8	143	12	7	5	13	26	6	15	3	4	13	16	5	5	4	156	3	13	2	6	8	12	14	12	18	280	13	2	8	2	5	6	11	8	24	9	3	2	5	4	335	4	5	653	12	261	8
G[Ins(T):R(8,)]G	2	34	15	5	11	10	12	144	6	7	10	1	7	31	376	9	24	10	9	22	6	13	3	5	188	6	2	6	11	27	11	11	2	4	17	23	7	11	2	257	2	21	8	5	7	13	15	9	22	319	8	4	9	0	10	8	8	14	26	8	11	3	4	3	421	7	5	1044	8	392	11
Del(2,4):R1	8	9	25	6	18	14	32	56	13	10	11	24	23	16	181	25	43	23	8	7	12	11	5	22	69	20	10	7	15	22	12	20	4	9	49	9	28	5	9	58	28	17	14	26	29	19	50	10	36	180	12	7	10	16	12	11	10	44	18	9	15	30	10	55	315	39	40	352	5	117	15
Del(5,):R1	8	22	38	6	14	24	89	22	19	15	59	69	22	27	137	24	93	35	19	29	22	34	16	18	40	6	25	12	23	27	46	21	20	34	186	25	28	34	16	27	16	27	29	84	47	10	198	17	36	23	22	6	18	53	40	18	18	70	20	12	23	43	7	79	42	63	78	56	8	19	9
Del(2,8):U(1,2):R(2,4)	16	26	40	11	21	24	51	148	10	13	32	19	30	18	431	21	44	17	13	21	16	17	15	22	144	19	6	18	42	45	10	38	7	19	44	27	19	10	9	211	30	29	22	19	22	42	51	20	24	432	15	10	16	16	15	17	19	38	26	8	23	24	13	49	1062	24	24	779	13	360	18
Del(2,):U(1,2):R(5,)	7	5	19	3	20	5	14	364	10	0	9	9	15	16	1511	8	12	7	6	7	4	5	6	8	559	4	5	3	18	14	6	11	3	14	31	8	14	7	3	590	12	13	4	7	4	15	21	6	13	1522	6	8	6	5	4	6	5	13	10	3	4	7	2	8	4325	12	16	2688	6	1377	6
Del(3,):U(3,):R2	5	30	28	6	34	21	22	63	12	16	26	14	22	20	198	21	31	21	9	21	16	21	6	32	68	14	12	18	32	35	12	44	9	19	42	32	15	8	8	91	15	29	10	26	13	26	39	18	15	183	12	10	17	12	14	10	18	30	25	12	13	17	9	39	361	13	13	284	15	134	23
Del(3,):U(3,):R(3,)	0	15	17	5	19	10	10	70	4	5	11	5	14	9	173	11	7	3	6	6	7	8	7	12	79	10	5	8	12	17	6	28	3	12	27	15	14	8	3	95	3	27	5	5	7	8	30	5	8	166	7	5	11	3	9	3	9	10	18	7	8	10	8	15	602	8	4	448	5	202	8
Ins(2,4):R0	11	20	22	36	8	8	22	92	13	15	19	10	16	23	118	17	20	16	9	20	14	26	10	9	64	10	18	26	17	26	19	13	7	14	67	24	18	9	14	68	53	26	10	14	8	59	71	23	16	100	23	3	15	7	15	13	20	17	16	14	9	25	6	18	222	17	10	525	17	99	19
