Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
SP107063	67	11	39	0	16	0	0	37	0	72	21	0	20	49	9	0	0	0	0	17
SP107068	203	24	63	0	11	20	36	52	23	39	21	0	6	0	0	32	0	0	6	16
SP107071	109	21	149	0	83	29	0	74	0	110	34	0	0	103	36	0	12	2	14	0
SP107073	6	1	14	5	1	5	0	0	0	12	0	0	4	0	1	0	0	0	0	0
SP98896	219	30	131	0	67	124	79	57	71	34	38	0	26	18	10	7	35	8	21	5
SP99003	351	34	62	0	50	0	91	60	0	50	27	8	15	11	0	43	0	6	13	21
SP107076	82	30	68	217	583	97	60	56	0	17	20	61	202	0	30	164	0	17	26	0
SP107078	69	15	33	0	26	0	24	24	0	45	9	0	16	41	0	18	4	2	0	0
SP107080	103	31	46	85	193	15	0	0	12	46	9	0	60	104	15	19	0	13	29	2
SP98898	129	9	82	37	39	111	35	0	5	0	16	114	0	49	41	0	0	8	18	13
SP107084	126	18	90	0	35	121	62	0	0	0	19	0	22	0	63	33	0	16	1	25
