Samples	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID9	ID13	ID14	ID19	ID25
CPCT02040196T	1661	2235	0	0	0	0	0	0	0	0	0	0
CPCT02230068T	940	746	0	0	0	0	0	0	0	0	0	0
CPCT02100127T	1019	1884	0	0	0	0	0	0	0	0	0	0
CPCT02100133T	979	0	0	0	0	0	0	0	0	0	404	0
CPCT02090026T	882	1307	0	0	0	0	0	0	0	0	0	0
CPCT02050287T	1202	1034	0	0	0	0	0	0	0	0	0	0
CPCT02050292T	731	970	0	0	0	0	0	0	0	0	461	0
DRUP01050016T	514	1307	0	0	0	0	0	545	0	0	0	0
CPCT02250004T	1358	1728	0	0	0	0	0	0	0	0	0	0
WIDE01010644T	515	344	0	0	0	0	0	0	0	0	0	0
WIDE01010539T	2167	1938	0	0	0	0	0	0	0	0	0	0
WIDE01010590T	1289	1917	0	0	0	0	0	0	0	603	0	0
WIDE01010691T	660	920	0	0	0	0	0	0	0	0	0	0
WIDE01010704T	1218	957	0	0	0	0	0	0	0	0	0	0
WIDE01010725T	425	649	0	0	0	1532	477	0	0	0	0	0
