Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
SP99011	29	54	193	21	91	140	79	43	40	65	36	8	0	48	9
SP112269	16	58	0	369	49	61	16	0	41	0	25	0	22	23	2
SP99013	3	154	0	26	1	24	117	64	71	0	146	30	71	34	85
SP112273	99	217	177	321	18	18	30	32	66	236	62	0	0	20	5
SP112274	6	4	0	54	18	49	10	15	0	0	4	0	0	0	2
SP50105	19	71	100	54	125	8	45	47	40	0	42	12	0	20	1
SP112276	1	49	16	0	47	31	3	0	23	0	2	16	17	0	0
SP99019	40	173	16	105	0	167	42	49	4	0	14	18	0	10	1
SP99021	19	98	124	0	30	32	41	0	37	0	49	63	28	5	5
SP112283	3	26	3	0	13	85	22	24	29	0	3	0	0	4	0
SP112288	23	143	47	0	89	62	18	72	42	0	23	65	0	20	1
SP99025	34	97	59	38	19	135	40	0	46	124	33	0	0	14	5
SP112290	17	137	301	50	84	18	102	126	76	0	56	55	2	7	5
SP99029	8	52	217	61	0	13	25	53	28	0	2	0	0	0	2
SP99033	35	99	201	0	32	145	4	63	34	21	16	1	0	15	0
SP99037	0	11	28	14	39	0	0	4	11	0	8	0	25	2	0
SP99041	14	32	85	172	0	93	22	20	27	61	23	0	0	0	4
SP99045	51	81	151	0	54	0	81	84	71	182	12	0	47	5	8
SP112300	11	129	0	51	23	94	6	0	2	0	35	12	15	2	2
SP99049	11	5	96	0	137	49	155	45	73	174	53	4	25	15	7
SP112304	9	140	56	0	96	85	38	23	29	0	59	18	29	17	0
SP50107	41	94	134	280	77	86	41	66	87	0	30	0	0	32	13
SP112310	26	0	57	330	23	0	73	157	27	0	9	0	0	30	4
SP99053	20	33	67	137	10	0	19	53	22	0	18	0	26	0	4
SP99057	0	4	12	0	9	38	1	13	22	0	22	0	8	0	0
SP99061	70	153	299	0	98	280	21	65	251	0	26	0	0	49	0
SP50109	9	95	24	0	169	0	47	68	69	0	44	30	0	4	1
SP99065	41	135	65	0	44	24	32	0	32	0	8	38	52	6	6
SP106993	48	128	263	206	144	0	41	70	36	0	25	0	0	50	5
SP50111	26	176	0	74	41	56	6	3	15	0	16	25	0	0	7
SP99069	7	132	128	0	98	0	175	13	77	0	89	0	49	40	2
SP99073	17	120	132	84	23	0	38	28	122	0	51	81	31	0	2
SP99077	0	82	25	0	97	142	34	14	21	0	13	39	5	0	1
SP99081	34	85	43	4	162	40	38	25	34	58	34	8	0	4	0
SP99085	20	200	103	0	139	20	87	84	32	0	0	89	21	5	1
SP99089	15	168	112	0	87	0	33	29	25	0	16	26	39	20	2
SP99093	15	0	174	253	22	0	15	128	9	0	8	0	0	0	0
SP99097	11	117	0	0	2	29	5	28	1	0	5	0	24	11	5
SP99101	22	325	0	32	26	39	12	6	15	0	12	18	17	0	5
SP106998	15	144	147	0	112	0	0	186	27	12	0	159	0	0	0
SP99105	10	77	45	0	0	43	20	23	14	0	5	12	59	12	5
SP99109	26	271	20	187	0	147	37	0	38	0	7	15	36	34	4
SP50113	65	158	122	97	230	146	79	18	133	0	32	0	3	65	7
SP50115	8	40	22	117	47	76	33	19	47	22	21	0	0	6	3
SP50117	23	28	31	56	6	7	45	87	55	204	12	0	39	0	2
SP107004	20	125	186	0	85	0	79	2	55	0	52	19	24	43	8
SP99117	34	87	21	203	0	188	10	0	8	0	9	0	0	21	1
SP99121	20	93	151	123	92	8	25	70	18	109	33	7	14	12	3
SP107007	25	86	114	236	143	0	69	12	43	0	23	12	35	17	1
SP99125	21	0	98	203	33	0	49	50	31	0	6	0	0	0	4
SP99129	16	199	78	34	40	73	74	36	69	0	75	20	38	0	6
SP99133	17	50	131	0	30	0	58	73	40	13	10	0	52	3	1
SP50119	63	82	75	75	0	130	78	31	6	0	30	0	11	33	2
SP99137	38	86	210	138	0	108	93	29	72	0	25	0	3	13	16
SP50121	1	66	40	0	0	137	16	0	58	0	7	4	0	0	0
SP50123	78	212	91	180	93	32	39	35	28	0	23	0	0	40	3
SP99141	79	165	27	58	76	77	38	0	13	19	0	0	37	14	8
SP50125	25	77	57	142	77	19	37	102	15	0	45	0	4	5	4
SP99145	53	170	19	86	18	0	3	12	16	0	7	24	35	3	0
SP99149	39	87	99	108	104	0	52	31	43	0	15	0	12	14	0
SP50129	23	125	68	80	66	78	28	32	28	12	4	0	17	14	6
SP99153	5	6	70	0	73	0	2	76	5	0	13	19	0	0	1
SP99157	33	73	29	44	5	73	34	49	16	79	7	0	33	11	8
SP99161	16	69	6	133	0	43	49	46	34	0	13	0	37	15	5
SP99165	36	76	38	0	0	155	32	31	25	43	15	44	8	0	5
SP50131	162	230	112	98	79	55	92	29	73	159	162	13	51	9	5
SP50133	8	95	72	26	25	4	20	47	23	0	10	30	0	0	1
SP99169	10	34	27	0	7	15	5	32	7	0	8	14	0	5	0
SP50135	25	43	31	93	7	30	47	74	42	0	18	25	12	3	8
SP50137	10	81	5	0	26	0	12	22	0	75	19	0	22	0	3
SP99173	5	92	75	4	48	121	62	30	60	41	6	0	0	24	4
SP99177	35	162	135	0	13	134	16	0	6	0	1	62	2	33	1
