Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
CPCT02230004T	89	0	260	0	23	7	76	0	9	23	14	0	25	24	14	0	143	0
CPCT02300006T	118	0	189	70	69	21	9	0	0	19	20	0	4	0	11	0	118	0
CPCT02080066T	89	0	32	89	10	6	37	4	11	2	22	0	14	38	8	11	0	0
CPCT02010492T	19	0	0	0	10	2	13	0	22	26	66	0	1	28	6	0	0	0
CPCT02020460T	0	0	7	69	30	14	0	0	0	18	37	12	0	51	0	23	0	0
DRUP01010019T	18	8	305	233	0	24	5	41	138	46	103	211	62	0	16	0	0	0
CPCT02050133T	138	0	558	0	22	20	0	0	15	14	27	371	0	20	70	0	0	0
CPCT02050144T	1211	0	710	5	36	32	60	524	11	18	181	85	1	13	297	95	0	0
CPCT02050286T	85	37	307	0	236	928	0	0	24	9	151	174	63	54	100	63	0	0
CPCT02130006T	375	0	164	34	84	10	67	231	27	9	0	0	51	64	16	5	0	0
CPCT02130003T	0	0	46	0	49	21	15	41	0	52	49	87	16	5	0	0	12	13
CPCT02340039T	223	0	336	34	69	25	67	0	0	11	79	0	32	32	17	6	0	0
CPCT02230075T	146	0	0	117	39	15	22	0	0	0	0	0	12	9	4	10	0	0
CPCT02080169T	87	0	23	160	103	6	18	0	9	53	0	0	16	0	7	63	0	0
CPCT02150005T	23	6	0	85	60	13	43	0	47	28	35	0	25	0	12	27	29	0
WIDE01010522T	0	2	16	0	18	4	15	82	13	41	66	0	0	0	9	39	0	0
WIDE01010696T	0	11	77	0	12	3	10	0	16	24	0	15	13	47	17	48	0	0
