indel476.class	indel89.class	indel83.class
G[Del(T):R2]G	G[Del(T):R(1,4)]G	DEL:T:1:1
G[Del(T):R3]G	G[Del(T):R(1,4)]G	DEL:T:1:2
G[Del(C):R4]G	[Del(C):R(1,5)]G	DEL:C:1:3
G[Del(T):R5]C	G[Del(T):R(5,7)]C	DEL:T:1:4
Del5:M4	Del(4,5):M(3,4)	DEL:MH:5+:4
G[Del(C):R7]A	Del(C):R(6,9)	DEL:C:1:5+
A[Del(C):R4]A	[Del(C):R(4,5)]A	DEL:C:1:3
A[Ins(T):R2]C	A[Ins(T):R(0,4)]C	INS:T:1:2
G[Ins(T):R0]C	G[Ins(T):R(0,4)]C	INS:T:1:0
Ins3:U3:R4	Ins(2,):R(2,4)	INS:repeats:3:4
T[Ins(C):R2]A	Ins(C):R(0,3)	INS:C:1:2
A[Ins(C):R1]T	Ins(C):R(0,3)	INS:C:1:1
A[Ins(C):R6]G	Ins(C):R(4,6)	INS:C:1:5+
C[Ins(T):R2]G	C[Ins(T):R(0,4)]G	INS:T:1:2
T[Ins(C):R8]G	Ins(C):R(7,)	INS:C:1:5+
A[Ins(T):R3]C	A[Ins(T):R(0,4)]C	INS:T:1:3
C[Ins(T):R2]A	C[Ins(T):R(0,4)]A	INS:T:1:2
A[Ins(C):R6]A	Ins(C):R(4,6)	INS:C:1:5+
A[Ins(C):R8]A	Ins(C):R(7,)	INS:C:1:5+
Ins(5,):U(3,):R4	Ins(2,):R(2,4)	INS:repeats:5+:4
G[Ins(C):R8]A	Ins(C):R(7,)	INS:C:1:5+
G[Ins(C):R0]T	Ins(C):R(0,3)	INS:C:1:0
Del7:U1:R1	Del(5,):R1	DEL:repeats:5+:0
Del4:U1:R(5,9)	Del(2,):U(1,2):R(5,)	DEL:MH:4:1
T[Del(C):R2]G	[Del(C):R(1,5)]G	DEL:C:1:1
T[Del(C):R6]T	Del(C):R(6,9)	DEL:C:1:5+
G[Del(C):R3]T	[Del(C):R3]T	DEL:C:1:2
A[Del(C):R5]A	[Del(C):R(4,5)]A	DEL:C:1:4
G[Del(C):R4]A	[Del(C):R(4,5)]A	DEL:C:1:3
T[Ins(C):R4]T	Ins(C):R(4,6)	INS:C:1:4
T[Ins(C):R3]T	Ins(C):R(0,3)	INS:C:1:3
A[Ins(T):R3]A	A[Ins(T):R(0,4)]A	INS:T:1:3
G[Ins(C):R1]A	Ins(C):R(0,3)	INS:C:1:1
A[Ins(C):R1]G	Ins(C):R(0,3)	INS:C:1:1
G[Ins(C):R1]G	Ins(C):R(0,3)	INS:C:1:1
A[Del(C):R4]G	[Del(C):R(1,5)]G	DEL:C:1:3
Del3:U1:R4	Del(2,8):U(1,2):R(2,4)	DEL:MH:3:1
