Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
SP107438	27	0	2	7	7	0	1	1	0	13	0	0	0	9	6	0	0	3	0	12
SP107478	73	7	3	0	2	0	3	0	7	14	0	0	0	1	5	2	1	0	9	9
SP78716	153	0	52	2	2	0	8	0	13	15	5	1	10	2	11	0	0	10	29	8
SP78676	98	2	29	17	0	0	1	2	8	7	0	0	10	0	5	0	0	3	0	8
SP107443	9	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0
SP107361	161	8	51	7	1	6	0	29	18	7	28	20	10	17	21	4	8	20	8	10
SP107464	123	0	29	3	14	0	4	13	4	5	22	13	18	0	17	1	0	8	13	10
SP78717	4	0	4	0	2	0	5	0	3	1	0	0	3	0	1	0	0	0	2	0
SP78671	43	0	3	0	1	0	3	7	5	0	0	0	7	1	1	0	3	5	17	0
SP78817	16	0	7	4	2	0	0	2	3	0	0	0	0	5	4	0	1	2	2	2
SP107381	73	61	39	0	9	0	4	10	8	7	1	12	25	0	5	1	0	1	19	1
SP107463	118	0	28	31	2	0	0	5	12	3	19	12	5	0	24	10	5	13	12	6
SP107477	74	0	5	18	0	0	6	6	3	3	0	0	2	16	0	0	0	0	0	10
SP78661	64	15	21	1	1	5	3	0	12	3	16	0	6	14	1	9	5	0	0	4
SP78939	32	0	5	0	0	0	0	2	0	3	3	0	0	1	7	0	1	1	9	4
SP78674	171	0	12	18	4	0	10	4	0	7	8	0	1	14	13	0	0	2	0	5
SP107553	8	0	2	0	0	0	1	4	2	2	0	0	1	0	1	0	0	0	0	0
SP107555	75	0	8	3	5	0	3	4	1	11	14	0	0	0	1	3	5	10	0	6
SP107446	27	0	7	2	1	0	3	4	0	7	2	0	0	0	4	0	4	6	0	4
SP78713	235	0	42	5	0	2	11	11	0	8	5	0	0	23	16	0	0	5	9	6
SP78720	38	0	5	5	0	0	3	3	2	14	0	4	6	0	1	0	2	1	0	6
SP78947	40	3	4	0	1	0	1	6	1	2	1	0	4	3	0	2	5	4	0	4
SP78875	24	0	3	0	0	0	2	9	0	8	0	0	0	0	0	0	0	1	0	0
SP107554	168	0	5	0	1	0	6	5	3	14	0	1	10	13	12	0	7	6	11	10
SP107407	196	0	73	0	3	5	1	21	14	24	36	26	5	0	17	0	10	26	23	6
SP78820	64	0	3	7	0	2	6	0	6	7	2	2	2	5	4	0	0	0	8	7
SP78668	3	0	4	5	0	0	0	0	0	0	4	0	0	3	2	0	0	0	4	2
SP107547	28	0	0	3	0	0	1	6	0	2	0	0	1	0	4	0	4	2	0	6
SP79148	216	0	38	6	3	0	5	13	6	4	0	0	3	7	32	0	0	0	0	2
SP107386	176	59	37	1	0	3	14	12	11	9	29	11	9	0	9	4	11	0	1	8
SP78921	94	0	7	16	0	2	16	3	0	0	20	0	2	6	0	0	8	0	0	9
SP107545	44	0	3	0	16	0	1	0	0	0	6	0	0	13	8	0	0	0	0	11
SP107440	43	0	9	11	5	0	3	2	8	3	0	0	0	0	1	1	0	0	9	2
SP79066	5	16	6	3	3	2	0	4	0	18	0	0	0	2	0	0	0	1	0	2
SP107473	57	0	4	0	9	0	5	2	2	4	2	0	0	3	0	3	1	10	3	1
SP107362	93	0	21	5	3	0	1	0	0	7	54	0	11	5	10	14	1	1	13	3
SP78722	6	5	2	0	3	2	0	0	0	2	0	0	0	0	0	0	3	0	3	0
SP78729	111	0	3	0	1	0	2	1	0	2	6	0	2	0	12	0	5	4	1	4
SP107441	96	0	6	9	1	0	6	0	0	14	0	0	0	15	9	0	0	4	2	6
SP78873	56	0	1	0	8	1	3	0	0	1	0	0	0	0	1	8	6	3	0	10
