Samples	ID83A	ID83B	ID83C	ID83D	ID83E
CPCT02120125T	1.84E+00	2.43E+00	3.50E+00	2.40E+00	2.22E+00
CPCT02230098T	2.98E+00	3.69E+00	8.17E-01	2.09E+00	1.44E+00
DRUP01090015T	2.05E-01	8.18E-01	9.24E-01	1.28E+00	8.70E-01
WIDE01010401T	9.12E-01	1.79E+00	1.64E+00	2.16E+00	2.58E+00
CPCT02230105T	4.32E-01	8.37E-01	1.15E+00	1.25E+00	6.41E-01
CPCT02080223T	9.24E-01	2.36E+00	1.40E+00	2.69E+00	1.11E+00
CPCT02020730T	6.35E-01	1.85E+00	2.20E+00	2.44E+00	1.29E+00
CPCT02010831T	2.04E+00	3.06E+00	4.09E+00	2.92E+00	3.42E+00
WIDE01010428T	7.91E-01	1.44E+00	9.84E-01	1.07E+00	6.05E-01
CPCT02290039T	3.84E+00	5.99E+00	1.43E+00	3.65E+00	2.30E+00
CPCT02010843T	7.23E-01	1.09E+00	6.90E-01	1.17E+00	7.40E-01
CPCT02130103T	9.98E-01	3.23E+00	1.38E+00	2.53E+00	1.39E+00
CPCT02070337T	1.09E+00	1.79E+00	1.51E+00	2.14E+00	1.18E+00
WIDE01010440T	4.35E-01	1.20E+00	1.14E+00	1.28E+00	7.58E-01
WIDE01010404T	1.57E+00	2.50E+00	1.32E+00	1.79E+00	9.52E-01
CPCT02080229T	8.80E-01	1.48E+00	1.72E+00	1.72E+00	1.43E+00
CPCT02050363T	1.05E+00	2.53E+00	1.35E+00	2.14E+00	1.13E+00
CPCT02040250T	7.72E-01	1.94E+00	6.54E-01	1.71E+00	6.04E-01
CPCT02040251T	8.02E-01	1.40E+00	1.74E+00	1.80E+00	1.04E+00
CPCT02260022T	2.32E+00	3.15E+00	6.07E-01	1.95E+00	1.25E+00
