hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7
A[Del(T):R3]A	0.000874139611107015	0.0483159026092587	0.00102408105247271	0.0014003948388309	0.00635414951558034	0.00281257539354125	0.000247190411869712
A[Del(T):R3]C	0.000475777483796301	0.0429229294041957	0.000318711690026403	0.00157156311086366	0.00340114359438464	0.00216427581850236	0.000804440473310103
A[Del(T):R3]G	0.000258402756661702	0.0255852004373228	0.000461651843450579	0.000677161314928888	0.00406117957034471	0.00197049176295346	0.000153362837422056
A[Del(T):R4]A	0.00124117699607956	0.0928986832304271	0.00229073350363779	0.00206944343870148	0.00427962858537203	0.00321479542316147	0.00279910992400443
A[Del(T):R4]C	0.00121691877810723	0.101281274820606	0.00161768112391842	0.000741261779587147	0.00311460854481251	0.00182366653243392	0.000352448756808453
A[Del(T):R4]G	0.00122915335760632	0.0301509915896299	0.00074664774250579	0.00121009658437669	0.00260734896963985	0.00181515464765263	0.000379120554620984
A[Del(T):R5]A	0.00212407065975919	0.0251091935180752	0.00973732077791932	0.00100467462654218	0.00431770546229693	0.00348094006326683	0.00213136241448355
A[Del(T):R5]C	0.000598650631351764	0.016773585319782	0.00353202691501993	0.000863453290341953	0.00219515057253432	0.00181067873520584	0.00114355333121229
A[Del(T):R5]G	9.91422821477551e-05	0.0278805277503803	0.00404493831219545	0.00122261620638026	0.00213178105081396	0.00252347735627286	0.000354830167327429
A[Del(T):R6]A	0.0020397997199336	0.0133453409622473	0.0169561730454669	0.00089360054012654	0.00219211655843672	0.00260480889355387	0.00331682857082982
A[Del(T):R6]C	0.0003281187657039	0.0124682604896424	0.00618516004875145	0.00361867154391077	0.00209622792197933	0.00168189104929026	0.000300534007494775
A[Del(T):R6]G	0.000921812282948276	0.00892838770832162	0.00756619891601927	0.00209828864779769	0.00206499136774721	0.00258179811289793	0.000914461639286796
A[Del(T):R7]A	0.00133198710770638	0.00629371684584372	0.0219129357923913	0.00202547452622495	0.00170321276855455	0.0039416147443289	0.00378930041779466
A[Del(T):R7]C	0.00173899781707679	0.00620540864576717	0.0141655866964564	0.00104644008554608	0.00147741316482713	0.00373073040789354	0.00182273161122425
A[Del(T):R7]G	0.000679019162199199	0.00691015952404795	0.0183188830124503	0.00112496315475244	0.00153681088627427	0.0024552101275438	0.00171413929155895
A[Del(T):R8]A	0.00124877087301002	0.00131604938949026	0.0431617084058412	0.00362097515435943	0.00182942775501478	0.00446826131440372	0.00288055416375341
A[Del(T):R8]C	0.000744727291750318	0.000652108902701168	0.0253523345279336	0.00155343469820249	0.000883697978845999	0.00539479431872051	0.000815394961697393
A[Del(T):R8]G	0.00141467598983813	0.00205526618663587	0.0233756018891384	0.00110362971885837	0.00109525150728786	0.00161217010540755	0.00182368417543184
A[Del(T):R(9,)]A	0	0	0	0	0	0	0
A[Del(T):R(9,)]C	0	0	0	0	0	0	0
A[Del(T):R(9,)]G	0	0	0	0	0	0	0
C[Del(T):R1]A	0.000273590510522635	0.000608040538779474	0.000288217670301655	0.00354004831772838	0.00578328597214342	0.00376638468482011	0.000327205805307307
C[Del(T):R1]C	0.000435909629911353	0.001256205580118	0.000767891578679823	0.00173171411553328	0.0084621273467013	0.00116482752253101	0.00210707202718999
C[Del(T):R1]G	0.00122704394734785	9.25950059055037e-06	0.000312836695400534	0.00202998159014624	0.00935761660760843	0.00274777030221763	0.00102019626632933
