Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
WIDE01010019T	1.24E+01	1.30E+00	2.10E+00	1.69E+01	1.18E+01	1.22E+01	2.11E+00	5.39E+00	1.63E+00	1.64E+00	3.13E+00	2.22E+00	2.09E+00	1.69E+00
WIDE01010263T	1.75E+01	3.32E+00	4.66E+00	1.52E+01	4.08E+00	8.01E+00	4.16E+00	4.51E+00	2.99E+00	2.07E+00	5.25E+00	5.18E+00	3.76E+00	2.02E+00
CPCT02270029T	4.89E+01	4.17E+00	4.09E+00	6.49E+01	1.72E+01	1.43E+01	3.10E+00	9.73E+00	1.97E+00	3.12E+00	1.99E+01	4.33E+00	9.03E+00	2.26E+00
WIDE01010287T	7.44E+00	1.63E+00	2.33E+00	1.17E+01	6.62E+00	6.08E+00	3.17E+00	4.02E+00	2.45E+00	1.57E+00	4.58E+00	1.94E+00	2.54E+00	1.55E+00
WIDE01010194T	4.52E-01	1.09E+00	1.96E+00	2.58E+00	1.43E+00	2.37E+00	1.83E+00	2.03E+00	9.63E-01	9.45E-01	2.15E+00	1.01E+00	2.11E+00	7.39E-01
WIDE01010193T	1.67E+00	9.90E-01	1.54E+00	1.74E+00	1.31E+00	2.13E+00	2.35E+00	2.65E+00	1.23E+00	1.10E+00	7.13E+00	6.10E+00	2.93E+00	6.84E-01
CPCT02010780T	3.01E+01	2.40E+00	2.96E+00	4.94E+01	2.03E+01	2.00E+01	2.77E+00	9.02E+00	1.36E+00	2.88E+00	1.22E+01	6.66E+00	3.34E+00	2.76E+00
WIDE01010307T	8.68E+00	1.97E+00	4.71E+00	1.33E+01	6.12E+00	5.89E+00	2.34E+00	4.03E+00	1.57E+00	1.57E+00	5.83E+00	3.54E+00	3.91E+00	9.11E-01
CPCT02270026T	2.53E+01	5.69E+00	6.92E+00	3.24E+01	1.15E+01	7.98E+00	3.33E+00	4.52E+00	1.63E+00	1.95E+00	1.28E+01	2.91E+00	6.26E+00	2.06E+00
WIDE01010315T	3.13E+00	1.24E+00	3.06E+00	4.26E+00	6.41E-01	4.69E+00	2.76E+00	4.31E+00	2.06E+00	1.94E+00	4.33E+00	2.60E+00	4.12E+00	4.77E-01
WIDE01010316T	1.40E+00	1.73E+00	1.78E+00	1.32E+00	1.04E+00	1.79E+00	2.19E+00	2.43E+00	1.22E+00	1.23E+00	3.06E+00	2.67E+00	2.13E+00	4.62E-01
WIDE01010306T	5.49E+00	6.27E-01	1.31E+00	7.72E+00	3.54E+00	3.63E+00	1.46E+00	2.14E+00	6.70E-01	1.09E+00	2.64E+00	1.29E+00	1.50E+00	1.12E+00
CPCT02010722TII	1.06E+01	1.29E+00	1.85E+00	1.18E+01	2.80E+00	3.60E+00	3.50E+00	2.14E+00	2.29E+00	1.95E+00	2.78E+00	2.25E+00	2.19E+00	1.03E+00
WIDE01010313T	9.40E-01	8.65E-01	1.69E+00	2.15E+00	9.00E-01	2.06E+00	1.62E+00	2.08E+00	7.11E-01	1.00E+00	2.30E+00	1.08E+00	1.71E+00	6.99E-01
WIDE01010334T	4.90E+00	5.83E-01	1.42E+00	6.71E+00	3.25E+00	3.08E+00	1.79E+00	1.30E+00	9.12E-01	7.48E-01	1.64E+00	8.77E-01	1.53E+00	8.63E-01
WIDE01010333T	1.11E+01	1.93E+00	2.71E+00	1.26E+01	3.34E+00	5.66E+00	2.93E+00	4.24E+00	2.63E+00	2.17E+00	7.82E+00	2.20E+00	2.62E+00	1.41E+00
WIDE01010363T	8.19E+00	2.23E+00	2.54E+00	1.17E+01	7.89E+00	7.30E+00	2.65E+00	3.30E+00	2.61E+00	1.51E+00	4.47E+00	4.33E+00	2.49E+00	1.50E+00
WIDE01010343T	1.15E+00	3.02E+00	5.86E+00	2.09E+00	1.04E+00	1.65E+00	6.07E-01	4.15E+00	8.17E-01	1.13E+00	6.27E+00	3.34E+00	4.19E+00	1.03E+00
WIDE01010036T	7.53E+00	9.93E-01	1.69E+00	1.02E+01	3.22E+00	3.73E+00	1.86E+00	2.97E+00	1.21E+00	1.38E+00	3.45E+00	1.27E+00	1.79E+00	1.08E+00
CPCT02010782T	3.52E+01	1.65E+00	2.91E+00	4.11E+01	6.87E+00	5.82E+00	2.52E+00	4.91E+00	1.40E+00	1.66E+00	1.38E+01	2.07E+00	4.76E+00	2.01E+00
DRUP01080030T	2.03E+00	7.19E-01	1.57E+00	2.27E+00	1.13E+00	1.63E+00	1.93E+00	1.44E+00	1.03E+00	7.72E-01	1.86E+00	1.29E+00	1.68E+00	5.01E-01
WIDE01010368T	1.33E+00	2.18E+00	3.71E+00	2.50E+00	1.08E+00	2.29E+00	1.93E+00	2.87E+00	1.22E+00	1.30E+00	3.26E+00	1.30E+00	2.90E+00	7.36E-01
WIDE01010242T	1.76E+00	3.58E+00	5.77E+00	2.66E+00	1.38E+00	2.88E+00	2.04E+00	4.62E+00	1.42E+00	1.55E+00	6.24E+00	2.25E+00	4.10E+00	1.07E+00
WIDE01010399T	7.72E-01	9.10E-01	1.55E+00	1.33E+00	7.42E-01	1.35E+00	1.46E+00	1.68E+00	7.90E-01	8.09E-01	1.88E+00	1.96E+00	1.26E+00	6.96E-01
WIDE01010395T	1.20E+00	1.19E+00	2.21E+00	2.88E+00	1.10E+00	2.54E+00	1.30E+00	2.80E+00	9.59E-01	1.41E+00	1.88E+00	1.80E+00	2.23E+00	9.40E-01
DRUP01230005T	1.28E+01	1.39E+00	1.91E+00	2.17E+01	8.96E+00	9.38E+00	1.68E+00	4.26E+00	6.63E-01	1.53E+00	7.44E+00	2.17E+00	2.46E+00	1.72E+00
DRUP01340010T	1.32E+00	1.03E+00	2.52E+00	1.59E+00	1.28E+00	1.36E+00	2.05E+00	2.87E+00	1.14E+00	1.98E+00	2.91E+00	2.29E+00	2.58E+00	8.44E-01
WIDE01010419T	1.02E+00	1.43E+00	1.97E+00	2.29E+00	7.13E-01	2.24E+00	1.39E+00	2.24E+00	8.30E-01	9.16E-01	2.31E+00	1.84E+00	2.14E+00	3.76E-01
WIDE01010403T	2.74E+00	1.73E+00	1.97E+00	3.58E+00	1.90E+00	2.57E+00	1.81E+00	1.78E+00	8.20E-01	1.04E+00	2.32E+00	1.86E+00	1.71E+00	1.14E+00
WIDE01010398T	1.02E+01	1.38E+00	1.88E+00	1.27E+01	9.01E+00	1.04E+01	2.04E+00	4.22E+00	1.36E+00	1.46E+00	2.32E+00	1.73E+00	2.01E+00	1.35E+00
WIDE01010422T	2.16E+01	3.38E+00	3.23E+00	3.14E+01	1.55E+01	1.22E+01	1.83E+00	6.64E+00	1.42E+00	2.07E+00	1.18E+01	4.31E+00	7.48E+00	1.87E+00
WIDE01010390T	1.49E+01	1.75E+00	2.67E+00	2.59E+01	1.23E+01	1.40E+01	1.94E+00	4.32E+00	1.20E+00	1.37E+00	5.81E+00	2.84E+00	2.62E+00	1.74E+00
DRUP01010149T	4.63E-01	5.36E-01	1.29E+00	1.22E+00	8.38E-01	1.08E+00	1.21E+00	1.39E+00	9.35E-01	5.57E-01	1.69E+00	1.73E+00	1.26E+00	6.80E-01
WIDE01010449T	3.06E+00	1.10E+00	2.26E+00	3.30E+00	8.83E-01	2.14E+00	1.53E+00	2.43E+00	1.28E+00	1.16E+00	2.84E+00	8.14E-01	1.83E+00	8.53E-01
WIDE01010238TII	1.38E+01	2.48E+00	1.32E+00	1.25E+01	1.13E+01	1.21E+01	7.23E+00	4.86E+00	3.63E+00	1.78E+00	4.27E+00	3.67E+00	3.91E+00	2.13E+00
WIDE01010417T	1.39E+00	7.08E-01	1.81E+00	1.74E+00	1.10E+00	1.65E+00	1.56E+00	1.62E+00	8.22E-01	8.69E-01	2.19E+00	2.12E+00	2.16E+00	1.16E+00
CPCT02370031T	5.01E+00	8.54E-01	1.28E+00	5.58E+00	2.26E+00	2.93E+00	2.09E+00	2.08E+00	1.35E+00	1.31E+00	2.83E+00	1.26E+00	2.27E+00	8.18E-01
