Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
CPCT02080295T	220	535	28	226	30	18	78	26	65	27	274	19	0	0	16	21	15	29	20
CPCT02020916T	65	0	45	40	31	202	105	23	0	33	23	45	20	0	11	177	22	100	25
CPCT02020915T	58	36	11	159	11	16	62	0	103	9	2	14	0	0	19	10	25	7	18
CPCT02160036T	39	80	13	92	0	0	50	25	42	82	13	23	5	0	62	4	31	0	5
CPCT02120184T	120	98	0	48	228	95	0	16	53	6	65	75	181	0	35	51	45	0	24
CPCT02050315T	5	20	4	82	1	20	0	8	93	51	10	20	86	0	3	25	14	20	9
CPCT02120182T	56	64	11	105	33	60	0	16	30	28	18	25	0	0	15	16	14	122	17
CPCT02020940T	7	0	0	63	33	18	6	0	12	20	35	10	152	0	19	66	39	8	7
CPCT02010712T	387	411	25	424	0	2	0	20	87	107	50	7	15	299	59	5	32	0	163
CPCT02070294T	22	53	0	23	0	0	126	6	38	88	0	15	49	0	45	0	28	89	19
CPCT02070299T	398	138	39	200	36	367	32	11	104	94	69	67	0	0	38	35	21	25	23
CPCT02050437T	287	586	15	114	8	48	0	59	15	43	46	87	84	76	17	73	0	0	36
CPCT02050436T	49	35	115	94	90	702	0	26	172	36	38	268	46	0	30	7	34	0	20
CPCT02020952T	265	183	22	128	10	0	0	21	99	9	20	137	82	0	23	21	43	0	27
CPCT02020642TII	359	289	30	0	859	67	0	576	188	124	139	206	0	0	388	40	0	0	322
CPCT02020958T	23	32	79	48	9	337	0	14	139	12	26	50	0	0	33	22	20	7	20
CPCT02020684T	0	0	2	0	63	19	16	0	4	93	6	5	5	30	20	17	6	12	1
WIDE01010111T	26	157	30	135	28	269	27	144	62	21	41	18	39	0	84	39	24	175	0
CPCT02020958TII	26	26	91	62	20	331	0	10	139	16	25	44	0	0	16	17	20	31	18
CPCT02020972T	534	283	42	86	25	17	0	76	72	68	4	266	23	402	6	34	5	0	20
CPCT02020971T	16	27	4	27	14	119	47	14	0	18	13	30	0	129	3	20	0	0	2
CPCT02330103T	190	140	0	0	52	2	0	19	0	66	2	39	0	246	39	53	27	184	11
WIDE01010148T	338	249	24	298	56	3	0	27	68	35	389	4	67	0	0	27	44	95	21
CPCT02070480T	71	22	0	63	24	17	72	52	9	32	19	19	44	0	9	15	15	0	30
CPCT02360014T	17	16	7	186	332	5	37	1323	16	306	41	28	0	227	85	0	4	0	182
CPCT02140107T	103	189	15	0	452	41	0	123	49	44	0	110	79	0	460	76	9	0	28
CPCT02070485T	342	217	24	29	76	84	53	62	42	38	23	88	0	0	34	49	49	245	10
WIDE01010202T	218	204	10	69	23	45	0	24	25	37	37	33	16	110	2	0	34	159	32
CPCT02020583TII	320	557	12	276	31	98	38	19	111	69	52	134	0	0	41	39	31	87	16
CPCT02020703T	17	97	9	41	99	198	71	30	100	179	16	86	29	0	17	15	24	91	13
CPCT02020973T	89	213	43	38	17	253	0	15	31	35	51	39	36	58	13	24	30	0	13
CPCT02020940TII	18	3	6	164	6	5	0	2	32	33	46	24	183	0	40	78	49	1	3
WIDE01010230T	26	111	16	120	0	1	0	3	31	21	6	35	59	0	6	22	3	0	11
CPCT02320002T	53	74	0	0	89	0	173	37	80	71	33	28	68	0	0	23	46	0	9
CPCT02050351T	41	37	0	82	11	29	0	12	0	54	4	26	42	0	52	54	23	44	3
CPCT02020979T	62	100	0	125	28	19	128	43	19	18	14	11	0	0	26	14	23	0	10
CPCT02080315T	66	142	18	81	258	150	58	78	103	47	45	79	0	0	142	49	20	0	59
