Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
SP116345	22	129	0	4	38	103	2	15	0
SP116365	3	8	310	0	347	0	0	0	0
SP116375	101	144	23	52	26	85	2	53	11
SP116335	65	33	65	0	44	302	0	0	0
SP116355	8	6	136	0	147	0	0	70	6
SP116347	0	42	9	37	11	32	0	19	6
SP116367	41	46	49	48	65	52	1	81	11
SP116339	26	197	11	40	30	50	1	38	0
SP116349	0	38	13	64	17	46	4	10	8
SP116357	12	0	158	0	123	4	0	35	0
SP116359	14	19	301	0	219	5	2	53	17
SP116369	25	96	823	186	107	20	31	46	9
SP116377	52	159	34	29	39	126	4	101	23
SP116379	25	109	18	35	36	58	0	11	0
SP7692	170	213	55	0	69	218	7	102	7
SP5052	22	7	703	0	639	0	12	130	3
SP7785	32	238	586	135	54	59	23	121	0
SP3415	9	17	194	33	107	29	2	53	17
SP2799	5	54	16	38	19	35	0	24	4
SP9979	0	2	7	49	39	35	3	17	6
SP5393	102	91	41	23	38	237	0	43	10
SP11292	0	5	77	0	43	4	0	22	6
SP13036	200	288	38	150	52	121	0	72	34
SP7421	52	93	52	38	53	69	0	58	29
SP4875	30	21	468	0	357	166	12	69	15
SP8795	95	347	38	76	30	167	4	35	14
SP4820	0	49	832	245	70	46	49	47	14
SP4593	6	17	7	60	29	23	2	19	1
SP8085	45	68	22	28	18	107	3	23	8
SP11235	25	65	27	73	0	31	3	11	7
SP6730	49	209	17	85	51	65	0	16	8
SP10635	0	30	7	48	17	10	3	25	5
SP5381	8	21	9	2	9	50	1	8	1
SP10084	74	15	54	114	49	192	2	163	15
SP9251	3	22	28	85	19	36	1	38	0
SP3016	87	61	178	60	42	193	6	45	41
SP11045	3	34	11	15	14	22	0	16	3
SP2826	20	31	51	0	194	20	7	2	2
SP11171	14	37	208	0	201	5	5	35	23
SP5784	54	77	42	92	34	71	1	81	3
SP8564	27	80	28	28	53	167	1	44	8
SP5844	93	82	19	20	64	233	3	45	24
SP6519	4	58	24	36	22	35	3	10	0
SP6766	1	41	34	41	13	21	7	21	7
SP5448	38	137	5	48	47	67	6	61	20
SP12049	35	6	707	0	552	1	0	84	6
SP2714	43	31	542	0	377	5	10	71	35
SP2801	6	86	32	158	56	97	1	38	0
SP8891	34	38	356	15	125	22	0	56	20
SP9481	7	27	2	33	33	35	1	6	0
SP5808	60	160	276	19	176	94	8	73	9
SP6429	58	36	337	78	147	71	27	41	22
SP5017	39	305	18	102	17	22	0	21	8
SP8229	9	53	17	81	27	28	0	25	9
SP8157	3	23	46	45	18	67	1	10	0
SP5279	226	229	42	38	44	214	2	72	0
SP8660	8	28	565	23	94	51	7	28	7
SP11878	4	32	29	81	44	60	3	66	11
SP9433	22	51	14	17	9	43	1	56	1
SP2881	107	189	59	74	45	82	17	186	25
SP7378	26	35	26	20	38	36	2	13	3
SP9816	17	19	259	0	352	2	2	61	24
SP4265	13	28	67	0	102	21	0	34	8
SP2793	153	184	1029	0	468	7	26	31	25
SP6825	190	364	88	96	52	140	0	42	7
SP4523	9	106	25	100	19	14	4	36	0
SP9930	39	42	413	0	273	0	4	48	3
SP5820	7	142	0	70	27	56	2	32	5
SP10470	21	3	450	0	230	0	1	67	22
SP9648	39	24	435	0	286	0	20	100	125
SP4535	0	10	13	60	32	32	0	24	6
SP11808	49	123	0	18	41	60	8	29	12
SP96163	13	27	412	0	276	0	0	13	4
SP11948	2	52	442	0	411	0	0	0	0
SP4557	5	85	27	46	34	77	2	21	13
SP96147	0	26	17	121	18	27	4	43	0
SP10150	118	129	16	0	30	100	0	60	5
SP4472	18	59	467	0	260	0	5	2	7
SP6813	43	98	31	3	37	125	4	88	11
SP96511	28	7	857	47	85	42	15	109	21
SP5636	36	92	13	46	15	54	2	5	3
SP5559	12	60	0	0	179	1018	0	0	4
SP3631	8	45	0	0	47	37	4	179	3
SP5473	88	50	45	68	50	82	2	81	16
SP8394	27	43	1	58	35	79	4	40	9
SP6115	2	63	15	97	14	23	6	17	7
SP7291	34	96	9	55	33	77	7	0	8
SP2997	11	68	15	0	49	55	5	39	2
SP8831	70	162	1448	0	201	40	41	2	82
SP2731	14	65	8	0	30	33	1	39	1
SP6223	9	29	187	51	167	32	0	55	21
SP7171	14	67	23	127	21	67	2	26	8
SP10563	13	105	19	53	28	41	2	37	2
SP8987	41	88	680	32	145	59	6	51	18
SP5980	29	4	549	0	443	0	0	63	23
SP12186	47	62	7	16	25	60	1	55	2
SP10944	36	92	42	91	49	98	7	92	0
SP2766	28	29	389	0	274	0	0	56	10
SP6673	58	158	1326	0	354	147	86	233	36
SP117698	13	58	12	27	37	35	0	25	4
SP124201	0	11	0	119	140	40	2	64	0
SP2143	0	12	0	42	27	20	5	5	1
SP124191	0	50	6	52	24	18	0	16	6
SP117247	0	66	17	44	26	23	4	21	0
