Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
SP111000	5.09E+00	5.81E+00	5.36E+00	4.33E+00	5.34E-01	2.37E+00	2.14E-01	1.67E+00
SP111045	6.08E+00	6.58E+00	4.34E+00	5.00E+00	8.75E-01	2.00E+00	2.31E+00	2.33E+00
SP110861	2.66E+00	4.27E+00	4.04E+00	5.61E+00	1.37E+00	2.33E+00	1.73E+00	2.63E+00
SP111047	3.31E+00	6.96E+00	6.11E+00	1.09E+01	3.23E-01	1.25E+00	1.77E+00	4.00E+00
SP111088	3.65E+00	5.38E+00	3.84E+00	8.10E+00	4.95E-01	2.46E+00	1.55E+00	2.69E+00
SP111056	3.68E+00	4.51E+00	5.08E+00	5.65E+00	9.50E-01	3.24E+00	1.66E+00	2.05E+00
SP111089	2.25E+00	3.80E+00	4.00E+00	5.89E+00	3.76E-01	1.24E+00	1.45E+00	2.77E+00
SP111038	6.88E+00	7.55E+00	5.19E+00	6.27E+00	1.48E+00	2.17E+00	1.86E+00	3.02E+00
SP110849	4.05E+00	5.09E+00	4.48E+00	6.31E+00	6.03E-01	1.74E+00	1.18E+00	1.86E+00
SP111164	4.97E+00	5.32E+00	6.57E+00	6.34E+00	4.42E-01	2.02E+00	1.43E+00	2.43E+00
SP111057	3.76E+00	3.64E+00	3.38E+00	3.71E+00	4.47E-01	1.14E+00	1.33E+00	1.64E+00
SP111119	7.12E+00	1.07E+01	7.60E+00	1.53E+01	6.88E-01	4.15E+00	2.23E+00	4.76E+00
SP111095	5.18E+00	6.16E+00	4.97E+00	6.59E+00	6.85E-01	2.09E+00	2.05E+00	2.11E+00
SP111064	4.31E+00	5.98E+00	3.96E+00	6.10E+00	3.91E-01	2.14E+00	1.50E+00	2.46E+00
CPCT02030245T	2.45E+00	3.53E+00	3.40E+00	4.57E+00	2.90E+00	1.65E+00	3.06E+00	2.64E+00
CPCT02030257T	6.36E+00	5.28E+00	5.66E+00	9.27E+00	5.19E+00	2.36E+00	1.96E+00	2.50E+00
CPCT02070015T	8.29E+00	9.25E+00	7.32E+00	1.65E+01	6.44E+00	4.31E+00	4.00E-01	1.90E+00
CPCT02040043T	2.73E+00	3.82E+00	3.57E+00	4.34E+00	3.43E+00	1.75E+00	1.46E+00	2.16E+00
CPCT02100032T	2.64E+00	3.04E+00	2.35E+00	4.24E+00	2.52E+00	8.76E-01	2.73E+00	2.38E+00
CPCT02160007T	2.35E+00	3.05E+00	3.87E+00	5.07E+00	2.41E+00	9.73E-01	3.40E+00	2.11E+00
CPCT02030286T	6.48E+00	5.46E+00	4.90E+00	1.03E+01	5.48E+00	1.96E+00	1.57E+00	2.38E+00
CPCT02100140T	8.37E+00	7.67E+00	4.38E+00	1.05E+01	5.79E+00	3.99E+00	2.57E+00	2.66E+00
CPCT02100141T	7.77E+00	6.59E+00	5.20E+00	1.24E+01	6.06E+00	2.87E+00	1.79E+00	2.94E+00
CPCT02330072TII	8.34E+00	8.05E+00	5.41E+00	1.52E+01	7.33E+00	5.35E+00	1.57E+00	2.98E+00
CPCT02330132T	8.65E+00	6.65E+00	7.83E+00	1.11E+01	6.58E+00	2.72E+00	3.80E+00	3.55E+00
CPCT02130030T	4.50E+00	6.59E+00	3.74E+00	1.15E+01	6.55E+00	2.31E+00	1.57E+00	1.66E+00
CPCT02060183T	9.44E+00	8.61E+00	7.31E+00	1.69E+01	7.06E+00	4.66E+00	2.46E+00	2.08E+00
CPCT02130033T	5.33E+00	5.63E+00	4.73E+00	1.05E+01	5.61E+00	1.98E+00	1.70E+00	1.77E+00
CPCT02300031T	4.33E+00	4.33E+00	3.61E+00	6.54E+00	4.66E+00	1.89E+00	1.74E+00	1.92E+00
CPCT02180054T	9.20E+00	1.04E+01	6.46E+00	1.94E+01	1.01E+01	3.52E+00	1.80E+00	2.47E+00
CPCT02090037T	6.58E+00	5.97E+00	4.72E+00	1.40E+01	6.87E+00	3.36E+00	2.31E+00	2.43E+00
CPCT02130041T	4.91E+00	5.16E+00	5.78E+00	6.96E+00	6.65E+00	4.48E+00	1.97E+00	2.27E+00
CPCT02060200T	5.32E+00	7.05E+00	3.66E+00	5.64E+00	4.76E+00	9.24E+00	1.75E+00	2.70E+00
WIDE01010009T	5.75E+00	4.84E+00	3.44E+00	9.05E+00	4.11E+00	1.21E+00	1.51E+00	1.33E+00
