Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
CPCT02060081T	138	32	194	11	42	52	33	39	13	13
CPCT02110035T	7	8	19	53	32	29	55	21	9	14
CPCT02080118T	6	41	115	25	31	29	16	24	10	31
CPCT02010589T	0	2	16	64	12	21	41	14	0	6
CPCT02030349T	50239	420	2582	2571	0	0	0	147	5	0
CPCT02110039T	74	18	236	0	0	30	110	11	11	29
CPCT02030353T	296	36	377	0	1287	223	53	32	64	0
CPCT02020540T	127	728	133	230	86	29	77	21	77	0
CPCT02010611T	0	3	5	22	9	15	37	11	0	0
CPCT02010608T	36	22	21	40	22	65	27	14	17	0
CPCT02330041T	618	286	417	0	20	901	0	174	792	0
CPCT02380013T	12	0	11	41	13	11	32	14	14	13
CPCT02010613T	5	5	9	74	18	45	45	15	7	8
CPCT02010577T	1	6	30	50	32	31	106	23	17	17
CPCT02050202T	30	16	84	22	18	65	104	21	16	17
CPCT02020559T	99	43	109	47	86	81	106	519	11	13
CPCT02050213T	7	32	82	104	35	22	126	6	7	0
CPCT02020568T	9	40	112	56	51	28	33	7	3	2
CPCT02030364T	3	36	29	63	24	8	100	7	10	21
CPCT02050192T	7	6	9	37	35	12	193	14	7	11
CPCT02010596T	0	0	8	64	11	20	97	6	8	7
CPCT02030365T	9	3	13	14	24	19	99	5	8	16
DRUP01010036T	4	23	26	131	65	4	165	24	3	6
CPCT02230043T	145	30	260	19	40	102	47	56	28	18
CPCT02080135T	162	87	93	268	224	68	173	38	56	30
CPCT02050229T	0	8	70	21	17	8	76	4	9	7
CPCT02010632T	7	13	17	37	28	4	72	11	3	5
CPCT02020579T	31	26	43	41	34	31	86	4	7	0
CPCT02020587T	4	105	0	458	280	18	184	33	0	12
CPCT02070040T	571	1	496	0	26	105	194	63	173	36
CPCT02070050T	371	28	657	81	31	104	60	24	124	28
CPCT02300004T	27	41	144	31	37	55	65	28	8	4
CPCT02020424T	4	21	25	7	16	70	34	4	4	4
CPCT02020433T	2	33	11	64	0	33	30	6	14	13
CPCT02010466T	14	3	20	53	8	42	43	20	1	8
CPCT02010454T	10	15	21	61	2	14	29	9	12	6
CPCT02140036T	209	31	319	100	13	98	15	32	89	0
CPCT02010350T	9	22	104	41	18	12	33	14	6	2
CPCT02100039T	539	17	473	0	93	220	37	42	776	50
CPCT02050106T	206	90	306	259	259	8	26	27	20	38
CPCT02020415T	9	10	64	12	30	36	36	4	4	0
CPCT02180014T	49	54	237	105	53	30	25	22	20	12
CPCT02090006T	12	24	45	41	24	43	48	13	6	9
CPCT02020444T	0	70	0	396	189	51	96	11	0	25
CPCT02030314T	19	37	17	6	18	64	22	21	20	7
CPCT02190010T	65	21	112	43	1	42	42	19	7	12
DRUP01010013T	16	39	139	57	18	31	29	4	6	15
CPCT02080086T	42	3231	47	0	54	193	32	75	98	0
CPCT02010438T	0	26	0	82	2	13	31	14	10	1
CPCT02190012T	42	120	219	146	180	156	37	25	26	4
CPCT02010486T	1	18	64	24	2	20	58	23	10	17
CPCT02060077T	45	19	165	76	33	90	35	22	20	25
CPCT02020491T	243	4999	1073	260	0	0	50	97	139	141
CPCT02010538T	13	15	0	54	55	54	54	11	7	0
CPCT02170001T	12	36	197	107	52	14	22	50	23	23
CPCT02170002T	49	15	101	38	25	59	40	13	15	0
CPCT02050142T	2	10	119	103	38	12	45	18	26	17
CPCT02080071T	424	192	437	0	32	169	22	54	804	21
CPCT02020499T	5	14	116	72	62	16	60	10	9	4
CPCT02340008T	59	20	298	50	28	41	37	18	17	7
CPCT02020505T	15	72	8	381	206	15	34	38	10	17
CPCT02080158T	13	77	81	70	20	83	117	15	34	3
CPCT02010571T	7	36	6	28	41	18	189	14	18	0
CPCT02380010T	393	26	613	0	20	68	69	34	78	39
CPCT02110047T	1106	36	960	0	6	55	122	64	97	58
CPCT02030425T	125	251	326	42	80	74	76	45	47	2
CPCT02080168T	0	10	25	83	36	15	33	5	3	8
CPCT02020641T	7	21	24	70	59	14	117	14	10	2
CPCT02230065T	27	13	87	29	20	110	103	27	20	6
CPCT02330074T	472	75	686	301	462	11	163	59	16	52
CPCT02010697T	22	21	33	32	5	11	118	7	4	0
CPCT02090028T	469	34	125	447	298	76	143	53	1199	59
CPCT02450008T	160	30	231	162	20	37	122	48	28	33
CPCT02010688T	1	7	24	43	28	21	45	6	3	10
CPCT02020646T	5	36	54	100	70	0	45	7	25	8
CPCT02010704T	14	17	13	0	25	45	157	11	13	0
CPCT02010705T	9	1	74	14	4	82	113	10	4	3
CPCT02250003T	0	0	2	0	119	0	20	19	100	4167
CPCT02010698T	4	11	92	104	69	2	52	11	10	10
WIDE01010622T	61	172	252	78	142	104	48	11	54	7
WIDE01010631T	191	9	359	65	26	76	20	101	69	27
WIDE01010635T	169	3	184	170	0	85	57	137	119	39
WIDE01010636T	108	539	331	52	73	89	32	32	22	0
WIDE01010658T	20	534	60	117	46	103	25	15	31	36
WIDE01010504T	16	7	70	0	14	67	27	12	7	24
WIDE01010493T	3	13	191	23	23	17	39	0	7	22
WIDE01010304T	1	12	20	32	0	31	23	9	16	8
WIDE01010568T	17	21	24	135	116	0	22	31	19	8
WIDE01010464T	72	44	418	0	51	493	71	34	13	0
WIDE01010467T	6	28	14	28	0	23	16	4	10	6
WIDE01010486T	13	34	13	41	10	25	16	7	5	12
WIDE01010516T	270	28	546	127	14	19	34	23	22	15
WIDE01010510T	207	8	319	358	0	85	15	13	19	0
WIDE01010583T	12	8	58	54	87	81	21	6	21	6
WIDE01010566T	601	19	297	67	44	46	36	149	29	24
WIDE01010578T	21662	23	902	940	0	0	42	535	44	0
WIDE01010599T	121	49	499	0	56	66	47	18	12	37
WIDE01010604T	111	13	449	84	34	153	55	49	20	62
WIDE01010614T	455	27	619	0	0	35	34	33	223	61
WIDE01010662T	59	17	330	18	1	124	97	21	25	12
WIDE01010672T	167	5	161	3	33	23	40	30	10	30
WIDE01010686T	1	4	4	17	10	37	36	5	17	6
WIDE01010532T	250	48	311	57	110	89	25	23	15	51
WIDE01010703T	12	26	11	0	35	59	40	13	12	0
WIDE01010712T	41	10	7	122	23	52	27	5	24	0
WIDE01010721T	40	33	132	100	46	91	37	32	15	20
WIDE01010663T	49	7	114	60	58	38	32	8	18	20
